Rank,Athlete,Nation,D,E,ND,year,round,Total
1,carlos edriel yulo,PHI,6.2,8.366,0.0,2019,final,14.565999999999999
2,hibiki arayashiki,JPN,5.9,8.6,0.0,2019,final,14.5
3,rayderley zapata,ESP,6.1,8.4,0.0,2019,final,14.5
3,dominick cunningham,none,6.1,8.4,0.0,2019,final,14.5
5,kim han-sol,SKR,6.2,8.0,0.0,2019,final,14.2
6,casimir schmidt,NED,6.1,7.733,0.0,2019,final,13.832999999999998
7,christopher remkes,AUS,6.9,6.833,0.0,2019,final,13.733
8,ahmet önder,TUR,5.9,7.266,0.0,2019,final,13.166
1,ahmet önder,TUR,5.9,8.366,0.0,2019,qual,14.266
2,rayderley zapata,ESP,6.1,8.225,-0.1,2019,qual,14.424999999999999
3,carlos edriel yulo,PHI,6.2,8.033,-0.1,2019,qual,14.333
4,kim han-sol,SKR,6.2,7.933,0.0,2019,qual,14.133
5,hibiki arayashiki,JPN,5.9,8.2,0.0,2019,qual,14.1
6,dominick cunningham,none,5.8,8.266,0.0,2019,qual,14.065999999999999
7,casimir schmidt,NED,5.9,8.066,0.0,2019,qual,13.966000000000001
8,christopher remkes,AUS,6.3,7.633,-0.1,2019,qual,14.033
9,arthur zanetti,BRA,5.8,7.966,0.0,2019,qual,13.766
10,milad karimi,KAZ,6.0,7.733,0.0,2019,qual,13.733
11,alexander shatilov,ISR,5.4,8.266,0.0,2019,qual,13.666
12,heikki saarenketo,FIN,6.0,7.666,0.0,2019,qual,13.666
13,bram verhofstad,NED,5.9,7.733,-0.1,2019,qual,13.732999999999999
14,akim mussayev,KAZ,6.0,7.233,-0.3,2019,qual,13.533000000000001
15,zhou caisong,CHN,6.0,6.866,0.0,2019,qual,12.866
16,hung shih-tung,none,5.4,7.633,-0.2,2019,qual,13.233
17,rok klavora,SLO,5.7,7.133,0.0,2019,qual,12.833
18,loris frasca,FRA,5.8,7.033,0.0,2019,qual,12.833
19,daniel villafane,ARG,5.6,7.2,0.0,2019,qual,12.8
20,valgard reinhardsson,ISL,5.3,7.466,0.0,2019,qual,12.766
21,lincoln liqht man,SIN,4.8,7.833,0.0,2019,qual,12.633
22,heath thorpe,AUS,5.7,6.933,0.0,2019,qual,12.633
23,tomomasa hasegawa,JPN,5.4,7.233,-0.1,2019,qual,12.732999999999999
24,shin jea-hwan,SKR,5.4,7.333,-0.3,2019,qual,13.033000000000001
25,wei an terry tay,SIN,5.5,6.7,0.0,2019,qual,12.2
26,yazan al souliman,SYR,4.9,6.8,0.0,2019,qual,11.7
1,abdelrahman magdy elgamal,TUR,6.0,8.733,0.0,2020,qual,14.733
2,kirill prokopev,RUS,6.2,8.533,0.0,2020,qual,14.733
3,milad karimi,KAZ,6.3,8.366,0.0,2020,qual,14.666
4,ryu sung-hyun,SKR,6.5,8.033,-0.1,2020,qual,14.633
5,kazuki minami,JPN,6.4,7.966,0.0,2020,qual,14.366
6,dmitriy patanin,KAZ,6.0,8.266,0.0,2020,qual,14.266
