Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
1,6.2,8.366,0.0,14.566,2019,0,62,55,True,False
2,5.9,8.6,0.0,14.5,2019,0,122,40,True,False
3,6.1,8.4,0.0,14.5,2019,1,262,25,True,False
3,6.1,8.4,0.0,14.5,2019,0,90,80,True,False
5,6.2,8.0,0.0,14.2,2019,0,168,63,True,False
6,6.1,7.733,0.0,13.833,2019,0,63,50,True,False
7,6.9,6.833,0.0,13.733,2019,0,66,4,True,False
8,5.9,7.266,0.0,13.166,2019,0,13,73,True,False
1,5.9,8.366,0.0,14.266,2019,0,13,73,False,True
2,6.1,8.225,-0.1,14.225,2019,1,262,25,False,True
3,6.2,8.033,-0.1,14.133,2019,0,62,55,False,True
4,6.2,7.933,0.0,14.133,2019,0,168,63,False,True
5,5.9,8.2,0.0,14.1,2019,0,122,40,False,True
6,5.8,8.266,0.0,14.066,2019,0,90,80,False,True
7,5.9,8.066,0.0,13.966,2019,0,63,50,False,True
8,6.3,7.633,-0.1,13.833,2019,0,66,4,False,True
9,5.8,7.966,0.0,13.766,2019,0,40,9,False,True
10,6.0,7.733,0.0,13.733,2019,0,216,41,False,True
11,5.4,8.266,0.0,13.666,2019,0,20,36,False,True
12,6.0,7.666,0.0,13.666,2019,0,121,26,False,True
13,5.9,7.733,-0.1,13.533,2019,0,56,50,False,True
14,6.0,7.233,-0.3,12.933,2019,0,15,41,False,True
15,6.0,6.866,0.0,12.866,2019,0,339,13,False,True
16,5.4,7.633,-0.2,12.833,2019,0,125,80,False,True
17,5.7,7.133,0.0,12.833,2019,0,273,64,False,True
18,5.8,7.033,0.0,12.833,2019,0,186,27,False,True
19,5.6,7.2,0.0,12.8,2019,0,77,2,False,True
20,5.3,7.466,0.0,12.766,2019,0,315,35,False,True
21,4.8,7.833,0.0,12.633,2019,0,184,62,False,True
22,5.7,6.933,0.0,12.633,2019,0,120,4,False,True
23,5.4,7.233,-0.1,12.533,2019,0,313,40,False,True
24,5.4,7.333,-0.3,12.433,2019,0,291,63,False,True
25,5.5,6.7,0.0,12.2,2019,0,324,62,False,True
26,4.9,6.8,0.0,11.7,2019,0,329,69,False,True
1,6.0,8.733,0.0,14.733,2020,0,0,73,False,True
2,6.2,8.533,0.0,14.733,2020,0,170,61,False,True
3,6.3,8.366,0.0,14.666,2020,0,216,41,False,True
4,6.5,8.033,-0.1,14.433,2020,0,276,63,False,True
5,6.4,7.966,0.0,14.366,2020,0,163,40,False,True
6,6.0,8.266,0.0,14.266,2020,0,89,41,False,True
7,6.3,7.933,0.0,14.233,2020,0,119,81,False,True
8,5.9,8.266,0.0,14.166,2020,0,311,12,False,True
9,5.5,8.566,0.0,14.066,2020,0,21,61,False,True
10,5.9,8.1,0.0,14.0,2020,0,63,50,False,True
11,5.6,8.333,0.0,13.933,2020,0,273,64,False,True
