Rank,Athlete,Nation,D,E,ND,year,round,Total
1,hidetaka miyachi,JPN,6.2,8.533,0.0,2019,final,14.733
2,epke zonderland,NED,6.5,8.233,0.0,2019,final,14.733
3,zhang chenglong,CHN,6.5,7.833,0.0,2019,final,14.333
4,mitchell morgans,AUS,6.0,8.033,0.0,2019,final,14.033
5,tyson bull,AUS,5.8,8.166,0.0,2019,final,13.966000000000001
6,ahmet önder,TUR,5.6,8.3,0.0,2019,final,13.9
7,tin srbic,CRO,6.1,7.466,-0.3,2019,final,13.866
8,milad karimi,KAZ,5.4,6.8,0.0,2019,final,12.2
1,hidetaka miyachi,JPN,5.9,8.733,0.0,2019,qual,14.633000000000001
2,tin srbic,CRO,5.9,8.733,0.0,2019,qual,14.633000000000001
3,zhang chenglong,CHN,6.5,7.9,0.0,2019,qual,14.4
4,tyson bull,AUS,5.6,8.566,0.0,2019,qual,14.166
5,milad karimi,KAZ,6.0,8.033,0.0,2019,qual,14.033
5,mitchell morgans,AUS,6.0,8.033,0.0,2019,qual,14.033
7,ahmet önder,TUR,5.6,8.366,0.0,2019,qual,13.966
8,epke zonderland,NED,6.3,7.166,0.0,2019,qual,13.466000000000001
9,alexander shatilov,ISR,5.2,8.233,0.0,2019,qual,13.433
10,tang chia-hung,none,5.6,7.5,0.0,2019,qual,13.1
11,valgard reinhardsson,ISL,4.8,8.166,0.0,2019,qual,12.966000000000001
12,bram verhofstad,NED,5.5,7.2,0.0,2019,qual,12.7
13,hung shih-tung,none,5.0,7.633,0.0,2019,qual,12.633
14,lincoln liqht man,SIN,4.5,7.9,0.0,2019,qual,12.4
15,mikhail koudinov,NZL,5.1,6.8,0.0,2019,qual,11.899999999999999
16,lim kae-son,SKR,3.1,8.333,0.0,2019,qual,11.433
17,david vecsernyes,HUN,4.8,6.666,-0.3,2019,qual,11.766000000000002
1,umit samiloglu,TUR,5.7,8.566,0.0,2020,qual,14.266000000000002
2,epke zonderland,NED,6.1,8.133,0.0,2020,qual,14.232999999999999
2,alexey rostov,RUS,6.1,8.133,0.0,2020,qual,14.232999999999999
4,tyson bull,AUS,5.8,8.3,0.0,2020,qual,14.100000000000001
5,sergei eltsov,RUS,5.7,8.3,0.0,2020,qual,14.0
6,taha serhani,SUI,5.8,8.2,0.0,2020,qual,14.0
7,francisco barretto,BRA,5.8,7.8,0.0,2020,qual,13.6
8,nikolaos iliopoulos,GRE,5.5,8.0,0.0,2020,qual,13.5
9,milad karimi,KAZ,6.1,7.1,0.0,2020,qual,13.2
10,mikhail koudinov,NZL,4.9,8.266,0.0,2020,qual,13.166
11,aghamurad gahramanov,AZE,5.0,8.133,0.0,2020,qual,13.133
12,takaaki sugino,JPN,5.5,7.5,0.0,2020,qual,13.0
13,ioane jimsheleishvili,GEO,4.5,8.066,0.0,2020,qual,12.566
14,alexander myakinin,ISR,5.9,6.666,0.0,2020,qual,12.566
15,ivan tikhonov,AZE,5.2,7.266,0.0,2020,qual,12.466000000000001
16,thierno diallo,ESP,5.0,7.433,0.0,2020,qual,12.433
17,sebastian gawronski,POL,5.0,7.3,0.0,2020,qual,12.3
18,mitchell morgans,AUS,5.4,6.833,0.0,2020,qual,12.233
19,dmitriy patanin,KAZ,4.1,7.9,0.0,2020,qual,12.0
20,yordan aleksandrov,BUL,5.0,6.933,0.0,2020,qual,11.933
21,bidzina sitchinava,GEO,4.3,6.8,0.0,2020,qual,11.1
22,filip sasnal,POL,3.9,7.166,0.0,2020,qual,11.066
23,ahmet önder,TUR,5.5,5.258,0.0,2020,qual,10.758
24,oskar kirmes,FIN,4.0,6.666,0.0,2020,qual,10.666
25,julian jato,ARG,4.3,5.6,0.0,2020,qual,9.899999999999999
1,epke zonderland,NED,6.8,8.3,0.0,2018,final,15.100000000000001
2,kohei uchimura,JPN,6.4,8.4,0.0,2018,final,14.8
3,samuel mikulak,USA,6.1,8.433,0.0,2018,final,14.533
4,tin srbic,CRO,6.4,8.1,0.0,2018,final,14.5
5,tang chia-hung,none,6.1,8.166,0.0,2018,final,14.266
6,deng shudi,CHN,6.4,7.666,0.0,2018,final,14.066
7,xiao ruoteng,CHN,6.1,7.8,0.0,2018,final,13.899999999999999
8,artur dalaloyan,RUS,5.2,7.466,0.0,2018,final,12.666
1,kohei uchimura,JPN,6.4,8.2,0.0,2018,qual,14.6
2,samuel mikulak,USA,6.1,8.466,0.0,2018,qual,14.565999999999999
3,xiao ruoteng,CHN,6.1,8.333,0.0,2018,qual,14.433
4,epke zonderland,NED,6.2,8.2,0.0,2018,qual,14.399999999999999
5,tin srbic,CRO,6.0,8.3,0.0,2018,qual,14.3
6,deng shudi,CHN,6.1,8.2,0.0,2018,qual,14.299999999999999
7,tang chia-hung,none,6.0,8.2,0.0,2018,qual,14.2
8,artur dalaloyan,RUS,5.7,8.466,0.0,2018,qual,14.166
9,manrique larduet,CUB,6.3,7.866,0.0,2018,qual,14.166
10,yusuke tanaka,JPN,6.0,8.133,0.0,2018,qual,14.133
11,tyson bull,AUS,5.9,8.166,0.0,2018,qual,14.066
12,bart deurloo,NED,6.1,7.933,0.0,2018,qual,14.033
13,umit samiloglu,TUR,5.9,8.1,0.0,2018,qual,14.0
14,sun wei,CHN,6.0,8.0,0.0,2018,qual,14.0
15,francisco barretto,BRA,6.1,7.9,0.0,2018,qual,14.0
16,nikita nagornyy,RUS,5.8,8.166,0.0,2018,qual,13.966000000000001
17,lin chaopan,CHN,6.2,7.766,0.0,2018,qual,13.966000000000001
18,david belyavskiy,RUS,5.6,8.333,0.0,2018,qual,13.933
19,randy leru,CUB,6.1,7.833,0.0,2018,qual,13.933
20,nestor abad,ESP,5.7,8.166,0.0,2018,qual,13.866
21,jossimar calvo,COL,6.3,7.566,0.0,2018,qual,13.866
22,marios georgiou,CYP,5.8,8.0,0.0,2018,qual,13.8
23,caio souza,BRA,5.9,7.9,0.0,2018,qual,13.8
24,david vecsernyes,HUN,5.7,8.066,0.0,2018,qual,13.766000000000002
25,eddy yusof,SUI,5.5,8.233,0.0,2018,qual,13.733
26,cory paterson,CAN,5.7,8.0,0.0,2018,qual,13.7
27,paul degouy,FRA,5.9,7.8,0.0,2018,qual,13.7
28,rene cournoyer,CAN,5.4,8.2,0.0,2018,qual,13.6
29,nicolas cordoba,ARG,5.8,7.8,0.0,2018,qual,13.6
29,christian baumann,SUI,5.8,7.8,0.0,2018,qual,13.6
31,samuel zakutney,CAN,5.4,8.133,0.0,2018,qual,13.533
32,ilias georgiou,CYP,5.0,8.5,0.0,2018,qual,13.5
33,joe fraser,none,5.3,8.166,0.0,2018,qual,13.466000000000001
33,petro pakhniuk,UKR,5.3,8.166,0.0,2018,qual,13.466000000000001
35,arthur mariano,BRA,5.8,7.666,0.0,2018,qual,13.466000000000001
36,julien gobaux,FRA,5.1,8.333,0.0,2018,qual,13.433
37,andrey likhovitskiy,BLR,5.5,7.933,0.0,2018,qual,13.433
38,lukas dauser,none,5.6,7.833,0.0,2018,qual,13.433
38,carlo macchini,ITA,5.6,7.833,0.0,2018,qual,13.433
38,yerbol jantykov,KAZ,5.6,7.833,0.0,2018,qual,13.433
41,anton kovacevic,CRO,5.9,7.533,0.0,2018,qual,13.433
42,tomas kuzmickas,LTU,5.1,8.3,0.0,2018,qual,13.4
43,ludovico edalli,ITA,5.6,7.733,0.0,2018,qual,13.332999999999998
44,oliver hegi,SUI,6.2,7.133,0.0,2018,qual,13.333
45,kazuma kaya,JPN,5.5,7.8,0.0,2018,qual,13.3
45,nikolai kuksenkov,RUS,5.5,7.8,0.0,2018,qual,13.3
47,andrei muntean,ROU,4.9,8.333,0.0,2018,qual,13.233
48,zachary clay,CAN,5.0,8.233,0.0,2018,qual,13.233
49,botond kardos,HUN,5.1,8.133,0.0,2018,qual,13.232999999999999
50,colin van wicklen,USA,5.2,8.0,0.0,2018,qual,13.2
51,akash modi,USA,5.8,7.366,0.0,2018,qual,13.166
52,pablo brägger,SUI,5.9,7.266,0.0,2018,qual,13.166
53,le thanh tung,VIE,5.0,8.133,0.0,2018,qual,13.133
54,milad karimi,KAZ,5.9,7.233,0.0,2018,qual,13.133
55,kenzo shirai,JPN,6.1,7.033,0.0,2018,qual,13.133
56,oskar kirmes,FIN,5.0,8.1,0.0,2018,qual,13.1
57,bae ga-ram,SKR,5.9,7.166,0.0,2018,qual,13.066
58,frank rijken,NED,5.3,7.7,0.0,2018,qual,13.0
59,ryan sheppard,HUN,5.0,7.966,0.0,2018,qual,12.966000000000001
60,vladyslav hryko,UKR,5.2,7.766,0.0,2018,qual,12.966000000000001
61,nikolaos iliopoulos,GRE,5.6,7.366,0.0,2018,qual,12.966
62,antoine borello,FRA,5.4,7.533,0.0,2018,qual,12.933
63,stian skjerahaug,NOR,4.5,8.4,0.0,2018,qual,12.9
