Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
1,6.5,8.766,0.0,15.266,2019,1,173,78,True,False
2,6.5,8.733,0.0,15.233,2019,0,319,13,True,False
3,6.5,8.166,0.0,14.666,2019,0,303,40,True,False
4,6.1,7.6,0.0,13.7,2019,0,297,11,True,False
5,5.9,7.233,0.0,13.133,2019,0,98,72,True,False
6,6.2,6.566,0.0,12.766,2019,0,50,50,True,False
7,5.6,7.1,0.0,12.7,2019,0,16,41,True,False
8,6.2,5.833,0.0,12.033,2019,0,68,26,True,False
1,6.2,8.833,0.0,15.033,2019,0,319,13,False,True
2,6.2,8.7,0.0,14.9,2019,1,173,78,False,True
3,6.5,8.233,0.0,14.733,2019,0,303,40,False,True
4,6.1,8.133,0.0,14.233,2019,0,297,11,False,True
5,6.0,8.2,0.0,14.2,2019,0,16,41,False,True
6,5.7,8.033,0.0,13.733,2019,0,98,72,False,True
7,5.9,7.733,0.0,13.633,2019,0,50,50,False,True
8,5.8,7.8,0.0,13.6,2019,0,68,26,False,True
9,5.8,7.666,0.0,13.466,2019,0,195,16,False,True
10,5.9,7.533,0.0,13.433,2019,0,218,41,False,True
11,5.3,7.733,0.0,13.033,2019,0,14,72,False,True
12,6.1,6.6,0.0,12.7,2019,0,117,40,False,True
13,6.0,6.333,0.0,12.333,2019,0,62,4,False,True
14,5.3,6.666,0.0,11.966,2019,0,22,36,False,True
15,5.1,6.633,0.0,11.733,2019,0,181,26,False,True
16,5.4,6.2,0.0,11.6,2019,0,206,4,False,True
17,5.2,6.366,0.0,11.566,2019,0,121,78,False,True
18,5.8,5.466,0.0,11.266,2019,0,135,16,False,True
1,6.6,8.833,0.0,15.433,2020,0,319,13,False,True
2,6.3,8.3,0.0,14.6,2020,0,292,40,False,True
3,6.1,8.4,0.0,14.5,2020,0,273,32,False,True
4,6.0,8.466,0.0,14.466,2020,0,315,61,False,True
5,6.1,8.333,0.0,14.433,2020,0,218,41,False,True
6,6.2,8.233,0.0,14.433,2020,0,297,11,False,True
7,6.3,7.966,0.0,14.266,2020,0,166,61,False,True
8,5.9,8.266,0.0,14.166,2020,0,101,16,False,True
9,5.9,8.166,0.0,14.066,2020,0,33,28,False,True
10,6.5,7.533,0.0,14.033,2020,0,149,79,False,True
11,5.9,8.033,0.0,13.933,2020,0,31,8,False,True
12,5.7,7.9,0.0,13.6,2020,0,102,9,False,True
13,5.3,8.166,0.0,13.466,2020,0,0,72,False,True
14,5.8,7.466,0.0,13.266,2020,0,133,6,False,True
15,5.7,7.466,0.0,13.166,2020,0,21,36,False,True
16,5.5,7.566,0.0,13.066,2020,0,236,25,False,True
17,5.7,7.266,0.0,12.966,2020,0,279,64,False,True
18,5.2,7.7,0.0,12.9,2020,0,136,4,False,True
19,6.0,6.833,0.0,12.833,2020,0,231,66,False,True
20,4.7,8.033,0.0,12.733,2020,0,178,27,False,True
21,5.4,7.333,0.0,12.733,2020,0,125,41,False,True
22,5.5,7.1,0.0,12.6,2020,0,78,10,False,True
