Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
1,6.4,8.766,0.0,15.166,2019.0,1,180,13,True,False
2,6.4,8.733,0.0,15.133,2019.0,0,316,13,True,False
3,6.2,8.766,0.0,14.966,2019.0,0,36,9,True,False
4,6.2,8.4,0.0,14.6,2019.0,0,159,40,True,False
5,6.4,8.2,0.0,14.6,2019.0,0,65,76,True,False
6,6.3,8.266,0.0,14.566,2019.0,0,122,70,True,False
7,6.2,8.2,0.0,14.4,2019.0,0,21,22,True,False
8,6.1,7.9,0.0,14.0,2019.0,0,262,11,True,False
1,6.4,8.6,0.0,15.0,2019.0,1,180,13,False,True
2,6.4,8.333,0.0,14.733,2019.0,0,316,13,False,True
3,6.1,8.6,0.0,14.7,2019.0,0,36,9,False,True
4,6.4,8.3,0.0,14.7,2019.0,0,65,76,False,True
5,6.3,8.333,0.0,14.633,2019.0,0,122,70,False,True
6,6.2,7.966,0.0,14.166,2019.0,0,21,22,False,True
7,6.1,8.0,0.0,14.1,2019.0,0,262,11,False,True
8,6.2,7.833,0.0,14.033,2019.0,0,159,40,False,True
9,5.8,8.0,0.0,13.8,2019.0,0,11,69,False,True
10,5.9,7.666,0.0,13.566,2019.0,0,99,2,False,True
11,5.7,7.666,0.0,13.366,2019.0,0,57,50,False,True
12,5.9,7.466,0.0,13.366,2019.0,0,72,2,False,True
13,5.8,7.2,0.0,13.0,2019.0,0,267,26,False,True
14,4.9,7.6,0.0,12.5,2019.0,0,119,76,False,True
15,5.0,7.1,0.0,12.1,2019.0,0,205,4,False,True
16,4.3,4.466,0.0,8.766,2019.0,0,306,61,False,True
1,6.3,8.8,0.0,15.1,,1,92,28,False,False
2,6.4,8.6,0.0,15.0,,1,180,13,False,False
3,6.4,8.533,0.0,14.933,,0,171,13,False,False
4,6.2,8.566,0.0,14.766,,0,36,9,False,False
5,6.2,8.433,0.0,14.633,,0,65,77,False,False
6,6.0,8.6,0.0,14.6,,0,122,70,False,False
7,6.2,8.233,0.0,14.433,,0,21,22,False,False
8,6.0,8.133,0.0,14.133,,0,217,30,False,False
9,6.1,7.758,0.0,13.858,,0,169,28,False,False
10,5.9,7.933,0.0,13.833,,0,320,69,False,False
11,5.5,8.266,0.0,13.766,,0,20,60,False,False
12,5.7,8.033,0.0,13.733,,0,0,69,False,False
13,5.9,7.8,0.0,13.7,,0,99,2,False,False
14,6.2,7.266,0.0,13.466,,0,189,33,False,False
15,6.0,7.433,0.0,13.433,,0,138,6,False,False
16,4.9,8.333,0.0,13.233,,0,211,4,False,False
17,5.7,7.533,0.0,13.233,,0,194,64,False,False
18,5.0,8.066,0.0,13.066,,0,255,50,False,False
19,5.3,7.6,0.0,12.9,,0,283,40,False,False
20,5.7,7.133,0.0,12.833,,0,134,6,False,False
21,4.6,8.133,0.0,12.733,,0,272,55,False,False
22,5.1,7.633,0.0,12.733,,0,57,50,False,False
23,4.5,8.066,0.0,12.566,,0,87,41,False,False
24,5.3,7.0,0.0,12.3,,0,179,77,False,False
25,4.2,7.633,0.0,11.833,,0,101,55,False,False
26,3.6,8.0,0.0,11.6,,0,168,27,False,False
27,4.4,6.333,0.0,10.733,,0,294,77,False,False
1,6.3,9.066,0.0,15.366,2018.0,1,92,28,True,False
2,6.2,8.9,0.0,15.1,2018.0,0,36,9,True,False
3,6.3,8.6,0.0,14.9,2018.0,0,193,37,True,False
4,6.1,8.666,0.0,14.766,2018.0,0,39,3,True,False
5,6.0,8.733,0.0,14.733,2018.0,0,222,60,True,False
6,6.1,8.633,0.0,14.733,2018.0,0,296,3,True,False
7,6.0,8.266,0.0,14.266,2018.0,0,223,6,True,False
8,6.3,7.833,0.0,14.133,2018.0,0,122,70,True,False
1,6.3,8.966,0.0,15.266,2018.0,1,92,28,False,True
2,6.2,8.833,0.0,15.033,2018.0,0,36,9,False,True
3,6.1,8.766,0.0,14.866,2018.0,0,39,3,False,True
4,6.3,8.433,0.0,14.733,2018.0,0,122,70,False,True
5,6.1,8.566,0.0,14.666,2018.0,0,296,3,False,True
6,6.3,8.366,0.0,14.666,2018.0,0,193,37,False,True
7,6.0,8.633,0.0,14.633,2018.0,0,223,6,False,True
7,6.0,8.633,0.0,14.633,2018.0,0,222,60,False,True
9,6.2,8.333,0.0,14.533,2018.0,0,81,7,False,True
9,6.2,8.333,0.0,14.533,2018.0,0,121,69,False,True
11,6.0,8.433,0.0,14.433,2018.0,0,52,9,False,True
12,5.9,8.466,0.0,14.366,2018.0,0,97,47,False,True
13,6.1,8.2,0.0,14.3,2018.0,0,86,60,False,True
14,5.6,8.6,0.0,14.2,2018.0,0,268,72,False,True
15,6.0,8.166,0.0,14.166,2018.0,0,79,13,False,True
16,5.7,8.433,0.0,14.133,2018.0,0,309,13,False,True
17,5.8,8.333,0.0,14.133,2018.0,0,192,76,False,True
17,5.8,8.333,0.0,14.133,2018.0,0,23,76,False,True
17,5.8,8.333,0.0,14.133,2018.0,0,67,75,False,True
20,6.1,8.033,0.0,14.133,2018.0,0,299,5,False,True
21,5.8,8.3,0.0,14.1,2018.0,0,136,76,False,True
22,5.9,8.2,0.0,14.1,2018.0,0,37,60,False,True
23,6.0,8.0,0.0,14.0,2018.0,0,305,40,False,True
24,6.1,7.866,0.0,13.966,2018.0,0,158,40,False,True
25,5.9,8.033,0.0,13.933,2018.0,0,281,13,False,True
26,5.6,8.3,0.0,13.9,2018.0,0,219,76,False,True
27,5.7,8.2,0.0,13.9,2018.0,0,22,37,False,True
28,5.9,8.0,0.0,13.9,2018.0,0,167,40,False,True
29,5.3,8.566,0.0,13.866,2018.0,0,38,3,False,True
30,6.0,7.866,0.0,13.866,2018.0,0,11,69,False,True
31,5.9,7.958,0.0,13.858,2018.0,0,24,59,False,True
32,5.5,8.333,0.0,13.833,2018.0,0,195,37,False,True
33,5.6,8.233,0.0,13.833,2018.0,0,178,13,False,True
34,5.4,8.4,0.0,13.8,2018.0,0,153,26,False,True
35,5.6,8.166,0.0,13.766,2018.0,0,12,72,False,True
36,5.7,8.066,0.0,13.766,2018.0,0,232,62,False,True
37,5.9,7.866,0.0,13.766,2018.0,0,99,2,False,True
38,6.1,7.666,0.0,13.766,2018.0,0,83,14,False,True
39,5.7,8.033,0.0,13.733,2018.0,0,160,40,False,True
40,5.4,8.3,0.0,13.7,2018.0,0,141,76,False,True
41,5.5,8.2,0.0,13.7,2018.0,0,56,54,False,True
41,5.5,8.2,0.0,13.7,2018.0,0,66,59,False,True
43,5.2,8.466,0.0,13.666,2018.0,0,216,24,False,True
44,5.1,8.5,0.0,13.6,2018.0,0,51,76,False,True
45,5.3,8.3,0.0,13.6,2018.0,0,43,50,False,True
46,5.5,8.033,0.0,13.533,2018.0,0,261,24,False,True
46,5.5,8.033,0.0,13.533,2018.0,0,74,60,False,True
48,5.5,8.0,0.0,13.5,2018.0,0,214,69,False,True
48,5.5,8.0,0.0,13.5,2018.0,0,16,72,False,True
50,5.9,7.6,0.0,13.5,2018.0,0,72,2,False,True
51,5.4,8.066,0.0,13.466,2018.0,0,88,76,False,True
52,5.7,7.766,0.0,13.466,2018.0,0,249,24,False,True
53,5.8,7.666,0.0,13.466,2018.0,0,270,11,False,True
53,5.8,7.666,0.0,13.466,2018.0,0,318,76,False,True
55,4.9,8.533,0.0,13.433,2018.0,0,182,26,False,True
56,5.2,8.233,0.0,13.433,2018.0,0,145,7,False,True
57,5.5,7.933,0.0,13.433,2018.0,0,57,50,False,True
58,5.1,8.3,0.0,13.4,2018.0,0,58,64,False,True
59,5.3,8.1,0.0,13.4,2018.0,0,252,11,False,True
60,5.5,7.9,0.0,13.4,2018.0,0,90,64,False,True
61,4.9,8.466,0.0,13.366,2018.0,0,227,70,False,True
62,5.1,8.266,0.0,13.366,2018.0,0,165,8,False,True
63,5.3,8.066,0.0,13.366,2018.0,0,82,52,False,True
64,4.6,8.733,0.0,13.333,2018.0,0,231,64,False,True
65,5.0,8.333,0.0,13.333,2018.0,0,186,76,False,True
66,5.1,8.233,0.0,13.333,2018.0,0,221,24,False,True
67,5.5,7.833,0.0,13.333,2018.0,0,304,70,False,True
68,5.0,8.3,0.0,13.3,2018.0,0,196,18,False,True
69,5.1,8.166,0.0,13.266,2018.0,0,239,70,False,True
70,4.7,8.533,0.0,13.233,2018.0,0,225,28,False,True
71,5.1,8.133,0.0,13.233,2018.0,0,251,38,False,True
72,5.2,8.033,0.0,13.233,2018.0,0,245,59,False,True
73,5.7,7.533,0.0,13.233,2018.0,0,319,72,False,True
74,5.5,7.725,0.0,13.225,2018.0,0,113,76,False,True
75,4.6,8.6,0.0,13.2,2018.0,0,124,18,False,True
76,4.7,8.5,0.0,13.2,2018.0,0,259,44,False,True
76,4.7,8.5,0.0,13.2,2018.0,0,104,50,False,True
78,4.8,8.4,0.0,13.2,2018.0,0,184,37,False,True
79,4.9,8.3,0.0,13.2,2018.0,0,307,66,False,True
