Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_0,round_final,round_qual,tot_final,tot_fin_d,tot_fin_ddiv,tot_fin_ddiv_rank
1.0,6.2,8.266,0.0,14.466,2019,1,66,43,False,True,False,15.466,95.8892,1483.0223672,1484.0223672
2.0,5.6,7.833,0.0,13.433,2019,0,78,22,False,True,False,14.433,80.8248,1166.5443384,1168.5443384
3.0,5.2,8.1,0.0,13.3,2019,1,126,22,False,True,False,14.3,74.36,1063.348,1066.348
4.0,5.4,7.933,-0.1,13.233,2019,0,94,31,False,True,False,14.233,76.85820000000001,1093.9227606000002,1097.9227606000002
5.0,5.0,8.2,0.0,13.2,2019,0,93,13,False,True,False,14.2,71.0,1008.1999999999999,1013.1999999999999
6.0,5.1,8.0,0.0,13.1,2019,0,127,35,False,True,False,14.1,71.91,1013.9309999999999,1019.9309999999999
7.0,5.2,7.833,0.0,13.033,2019,0,75,16,False,True,False,14.033,72.9716,1024.0104628,1031.0104628
8.0,4.8,7.9,-0.3,12.4,2019,0,33,13,False,True,False,13.4,64.32,861.8879999999999,869.8879999999999
1.0,5.9,8.2,-0.1,14.0,2019,1,66,43,False,False,True,14.0,82.60000000000001,1156.4,1157.4
2.0,5.0,8.2,0.0,13.2,2019,0,93,13,False,False,True,13.2,66.0,871.1999999999999,873.1999999999999
3.0,5.2,8.0,0.0,13.2,2019,0,75,16,False,False,True,13.2,68.64,906.048,909.048
4.0,5.3,7.866,0.0,13.166,2019,0,78,22,False,False,True,13.166,69.7798,918.7208468,922.7208468
5.0,5.1,7.966,0.0,13.066,2019,0,127,35,False,False,True,13.066,66.6366,870.6738156,875.6738156
6.0,5.2,7.933,-0.1,13.033,2019,0,94,31,False,False,True,13.033,67.7716,883.2672628,889.2672628
7.0,5.3,7.833,-0.1,13.033,2019,1,126,22,False,False,True,13.033,69.0749,900.2531716999999,907.2531716999999
8.0,4.8,8.033,0.0,12.833,2019,0,33,13,False,False,True,12.833,61.5984,790.4922672,798.4922672
9.0,5.0,7.833,0.0,12.833,2019,0,112,14,False,False,True,12.833,64.165,823.4294450000001,832.4294450000001
10.0,4.7,8.066,0.0,12.766,2019,0,40,42,False,False,True,12.766,60.0002,765.9625532,775.9625532
12.0,5.0,7.833,-0.1,12.733,2019,0,5,9,False,False,True,12.733,63.665000000000006,810.6464450000001,822.6464450000001
13.0,5.0,7.6,0.0,12.6,2019,0,102,41,False,False,True,12.6,63.0,793.8,806.8
14.0,5.1,7.466,-0.1,12.466,2019,0,108,33,False,False,True,12.466,63.57659999999999,792.5458955999999,806.5458955999999
15.0,4.7,7.833,-0.1,12.433,2019,0,12,10,False,False,True,12.433,58.4351,726.5235983,741.5235983
16.0,4.4,8.0,0.0,12.4,2019,0,0,36,False,False,True,12.4,54.56000000000001,676.5440000000001,692.5440000000001
20.0,5.1,7.1,0.0,12.2,2019,0,129,8,False,False,True,12.2,62.21999999999999,759.0839999999998,779.0839999999998
21.0,4.7,7.3,0.0,12.0,2019,0,77,40,False,False,True,12.0,56.400000000000006,676.8000000000001,697.8000000000001
23.0,4.4,7.433,-0.1,11.733,2019,0,35,18,False,False,True,11.733,51.62520000000001,605.7184716000002,628.7184716000002
24.0,4.6,6.9,0.0,11.5,2019,0,37,41,False,False,True,11.5,52.9,608.35,632.35
26.0,4.6,7.166,-0.3,11.466,2019,0,107,44,False,False,True,11.466,52.743599999999994,604.7581175999999,630.7581175999999
28.0,4.5,6.933,-0.3,11.133,2019,0,60,31,False,False,True,11.133,50.098499999999994,557.7466004999999,585.7466004999999
29.0,4.1,6.666,0.0,10.766,2019,0,92,4,False,False,True,10.766,44.1406,475.2176996,504.2176996
