Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
109.0,jana abdelsalam,EGY,4.4,7.466,0.1,11.766,2022,qual
131.0,jana abdelsalam,EGY,4.5,7.2,0.3,11.4,2023,qual
22.0,jana abdelsalam,EGY,4.5,7.366,0.0,11.866,2023,qual
16.0,ondine achampong,GBR,5.3,8.033,0.0,13.333,2022,qual
12.0,ondine achampong,GBR,5.2,7.6,0.3,12.5,2022,qual
25.0,ondine achampong,GBR,5.3,7.566,0.2,12.666,2022,qual
17.0,ondine achampong,GBR,5.3,7.4,0.0,12.7,2023,AAfinal
33.0,ondine achampong,GBR,5.3,7.566,0.0,12.866,2023,qual
8.0,ondine achampong,GBR,5.2,6.75,0.0,11.95,2023,final
4.0,ondine achampong,GBR,5.3,7.9,0.0,13.2,2023,qual
8.0,ondine achampong,GBR,5.3,7.866,0.0,13.166,2023,qual
1.0,ondine achampong,ENG,5.3,8.05,0.0,13.35,2022,AAfinal
2.0,ondine achampong,ENG,5.3,7.733,0.0,13.033,2022,final
11.0,ondine achampong,ENG,5.3,7.25,0.0,12.55,2022,qual
10.0,barbara achondo andino,CHI,4.5,7.833,0.0,12.333,2023,AAfinal
8.0,barbara achondo andino,CHI,4.4,7.9,0.1,12.2,2023,final
10.0,barbara achondo andino,CHI,4.6,8.033,0.0,12.633,2023,qual
127.0,thelma adalsteinsdottir,ISL,3.7,7.733,0.0,11.433,2022,qual
91.0,thelma adalsteinsdottir,ISL,3.6,7.533,0.0,11.133,2022,qual
62.0,thelma adalsteinsdottir,ISL,4.8,7.7,0.0,12.5,2023,qual
78.0,thelma adalsteinsdottir,ISL,4.5,7.066,0.0,11.566,2023,qual
21.0,lobar amrillaeva,UZB,4.9,7.166,0.1,11.966,2023,qual
18.0,lobar amrillaeva,UZB,4.6,6.333,0.0,10.933,2023,qual
12.0,changok an,PRK,5.1,7.566,0.1,12.566,2023,qual
14.0,changok an,PRK,5.0,6.4,0.3,11.1,2023,AAfinal
15.0,yeonjeong an,KOR,5.2,7.2,0.0,12.4,2023,qual
8.0,yeonjeong an,KOR,5.2,6.933,0.0,12.133,2023,AAfinal
7.0,anastasija ananjeva,LAT,4.4,7.45,0.0,11.85,2022,final
8.0,anastasija ananjeva,LAT,4.1,7.55,0.0,11.65,2022,qual
101.0,anastasija ananjeva,LAT,4.4,6.4,0.0,10.8,2022,qual
