Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_TeamFinal,round_TeamQual,round_final,round_qual
54.0,4.0,8.566,0.0,12.566,2023,236,67,False,False,False,False,True
13.0,5.5,8.3,0.0,13.8,2022,527,30,True,False,False,False,False
48.0,5.5,7.9,0.0,13.4,2022,527,30,False,False,False,False,True
86.0,5.4,7.133,0.1,12.433,2022,527,30,False,False,False,False,True
21.0,5.5,8.666,0.0,14.166,2023,527,30,False,False,False,False,True
24.0,5.4,7.233,0.0,12.633,2023,527,30,True,False,False,False,False
94.0,4.6,8.0,0.1,12.5,2023,527,30,False,False,False,False,True
17.0,5.1,8.466,0.0,13.566,2022,763,48,True,False,False,False,False
34.0,5.1,8.566,0.0,13.666,2022,763,48,False,False,False,False,True
0.0,5.1,8.633,0.0,13.733,2022,763,48,False,True,False,False,False
19.0,5.4,8.433,0.0,13.833,2022,763,48,False,False,False,False,True
8.0,5.4,8.466,0.0,13.866,2023,763,48,True,False,False,False,False
64.0,5.4,8.433,0.3,13.533,2023,763,48,False,False,False,False,True
0.0,5.4,8.5,0.0,13.9,2023,763,48,False,True,False,False,False
11.0,5.5,8.033,0.0,13.533,2023,763,48,False,False,False,False,True
11.0,5.5,8.266,0.0,13.766,2023,763,48,True,False,False,False,False
11.0,5.5,8.466,0.0,13.966,2023,763,48,False,False,False,False,True
113.0,5.2,7.2,0.4,12.0,2022,0,27,False,False,False,False,True
116.0,5.4,7.433,0.9,11.933,2022,16,27,False,False,False,False,True
9.0,5.4,7.966,0.1,13.266,2022,16,27,False,False,False,False,True
117.0,5.3,7.366,0.1,12.566,2023,16,27,False,False,False,False,True
33.0,5.1,7.266,0.3,12.066,2023,16,27,False,False,False,False,True
38.0,5.2,6.333,0.4,11.133,2023,16,27,False,False,False,False,True
26.0,4.7,7.967,0.0,12.667,2023,600,97,False,False,False,False,True
28.0,5.1,6.966,0.3,11.766,2022,636,36,False,False,False,False,True
21.0,5.4,7.033,0.0,12.433,2022,636,36,False,False,False,False,True
104.0,5.3,6.3,0.0,11.6,2022,636,36,False,False,False,False,True
27.0,4.9,7.866,0.0,12.766,2023,636,36,False,False,False,False,True
28.0,5.3,7.733,0.0,13.033,2023,636,36,False,False,False,False,True
33.0,5.2,6.533,0.0,11.733,2023,636,36,False,False,False,False,True
14.0,4.3,8.2,0.0,12.5,2023,228,18,True,False,False,False,False
19.0,4.3,8.0,0.0,12.3,2023,228,18,False,False,False,False,True
