Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_TeamFinal,round_TeamQual,round_final,round_qual
18.0,3.9,8.266,0.0,12.166,2022,234,63,False,False,False,False,True
18.0,3.9,8.266,0.0,12.166,2022,234,63,False,False,False,False,True
39.0,4.6,6.7,0.0,11.3,2023,234,63,False,False,False,False,True
44.0,4.6,8.166,0.0,12.766,2023,234,63,False,False,False,False,True
10.0,5.3,8.133,0.0,13.433,2022,512,28,True,False,False,False,False
48.0,5.0,8.166,0.0,13.166,2022,512,28,False,False,False,False,True
0.0,5.3,7.833,0.0,13.133,2022,512,28,False,True,False,False,False
10.0,5.3,8.5,0.0,13.8,2022,512,28,False,False,False,False,True
10.0,5.3,8.1,0.0,13.4,2022,512,28,False,True,False,False,False
66.0,4.8,8.233,0.0,13.033,2023,512,28,False,False,False,False,True
9.0,5.3,8.1,0.0,13.4,2023,512,28,True,False,False,False,False
4.0,5.3,8.366,0.0,13.666,2023,512,28,False,False,False,True,False
5.0,5.3,8.433,0.0,13.733,2023,512,28,False,False,False,False,True
1.0,5.3,8.5,0.0,13.8,2023,512,28,False,False,False,True,False
1.0,5.3,8.35,0.0,13.65,2023,512,28,False,False,False,False,True
24.0,5.1,5.1,0.3,9.9,2022,731,45,True,False,False,False,False
27.0,5.6,8.0,0.0,13.6,2022,731,45,False,False,False,False,True
0.0,5.6,8.033,0.0,13.633,2022,731,45,False,True,False,False,False
11.0,5.6,8.2,0.0,13.8,2022,731,45,False,False,False,False,True
6.0,5.6,8.166,0.0,13.766,2022,731,45,False,True,False,False,False
6.0,5.9,8.133,0.0,14.033,2023,731,45,True,False,False,False,False
11.0,5.9,8.133,0.0,14.033,2023,731,45,False,False,False,False,True
0.0,5.9,8.133,0.0,14.033,2023,731,45,False,True,False,False,False
10.0,5.3,8.233,0.0,13.533,2023,731,45,False,False,False,False,True
4.0,5.3,8.166,0.0,13.466,2023,731,45,True,False,False,False,False
90.0,5.3,6.833,0.0,12.133,2023,731,45,False,False,False,False,True
68.0,4.6,8.166,0.0,12.766,2022,1,25,False,False,False,False,True
15.0,4.8,7.2,0.0,12.0,2022,1,25,False,False,False,False,True
26.0,4.6,8.0,0.0,12.6,2023,1,25,False,False,False,False,True
61.0,4.4,8.566,0.0,12.966,2022,17,25,False,False,False,False,True
82.0,4.4,8.4,0.0,12.8,2023,17,25,False,False,False,False,True
39.0,4.6,8.666,0.0,13.266,2022,576,91,False,False,False,False,True
27.0,4.3,8.133,0.0,12.433,2023,576,91,False,False,False,False,True
13.0,4.8,8.466,0.0,13.266,2022,576,91,False,False,False,False,True
17.0,4.2,7.633,0.0,11.833,2022,576,91,False,False,False,False,True
5.0,4.9,8.3,0.0,13.2,2023,576,91,False,False,False,True,False
7.0,4.6,9.066,0.0,13.666,2023,576,91,False,False,False,False,True
44.0,4.6,8.666,0.0,13.266,2023,576,91,False,False,False,False,True
27.0,4.5,8.033,0.0,12.533,2023,576,91,False,False,False,False,True
8.0,4.3,8.0,0.0,12.3,2023,576,91,False,False,False,True,False
5.0,4.6,8.75,0.0,13.35,2023,576,91,False,False,False,False,True
101.0,3.8,7.266,0.0,11.066,2022,611,34,False,False,False,False,True
26.0,4.9,6.733,0.0,11.633,2023,0,39,False,False,False,False,True
10.0,4.2,7.95,0.0,12.15,2023,225,17,True,False,False,False,False
7.0,4.2,7.65,0.0,11.85,2023,225,17,False,False,False,True,False
8.0,4.2,8.0,0.0,12.2,2023,225,17,False,False,False,False,True
34.0,2.8,7.35,0.0,10.15,2022,380,13,False,False,False,False,True
77.0,4.6,8.033,0.0,12.633,2022,497,25,False,False,False,False,True
96.0,4.8,7.7,0.0,12.5,2023,497,25,False,False,False,False,True
35.0,4.2,7.266,0.0,11.466,2023,497,25,False,False,False,False,True
0.0,4.1,8.4,0.0,12.5,2023,625,1,False,False,True,False,False
31.0,4.1,8.3,0.0,12.4,2023,625,1,False,False,False,False,True
26.0,4.7,7.4,0.0,12.1,2023,373,90,True,False,False,False,False
35.0,1.8,5.15,4.0,2.95,2022,642,6,False,False,False,False,True
55.0,3.6,6.933,0.0,10.533,2023,503,58,False,False,False,False,True
119.0,4.8,6.866,0.0,11.666,2022,195,50,False,False,False,False,True
19.0,4.5,6.8,0.0,11.3,2022,195,50,False,False,False,False,True
29.0,4.6,4.4,0.0,9.0,2023,195,50,False,False,False,False,True
16.0,4.8,7.65,0.0,12.45,2023,195,50,False,False,False,False,True
18.0,4.7,7.7,0.0,12.4,2023,145,66,True,False,False,False,False
30.0,4.7,7.733,0.0,12.433,2023,145,66,False,False,False,False,True
0.0,4.7,7.367,0.0,12.067,2023,186,66,False,False,True,False,False
63.0,5.2,7.766,0.0,12.966,2022,723,11,False,False,False,False,True
3.0,5.2,8.5,0.0,13.7,2022,723,11,False,False,False,True,False
3.0,5.0,8.3,0.0,13.3,2022,723,11,False,False,False,False,True
16.0,5.2,7.55,0.0,12.75,2023,723,11,False,False,False,False,True
17.0,5.2,8.433,0.0,13.633,2022,723,11,False,False,False,False,True
6.0,5.2,8.15,0.0,13.35,2022,723,11,False,False,False,False,True
3.0,5.2,8.3,0.0,13.5,2022,723,11,False,False,False,True,False
16.0,5.3,7.7,0.0,13.0,2022,723,11,False,False,False,False,True
100.0,5.1,7.366,0.0,12.466,2023,723,11,False,False,False,False,True
11.0,5.3,7.45,0.0,12.75,2023,723,11,False,False,False,False,True
46.0,5.1,7.766,0.0,12.866,2023,723,11,False,False,False,False,True
2.0,5.3,8.433,0.0,13.733,2023,723,11,False,False,False,True,False
1.0,5.3,8.45,0.0,13.75,2023,723,11,False,False,False,False,True
50.0,3.4,8.35,0.0,11.75,2023,627,90,True,False,False,False,False
6.0,4.8,8.233,0.0,13.033,2023,428,1,False,False,False,True,False
11.0,4.9,8.4,0.0,13.3,2023,428,1,False,False,False,False,True
0.0,4.9,8.267,0.0,13.167,2023,429,1,False,True,False,False,False
0.0,4.9,6.933,0.0,11.833,2023,429,1,False,False,True,False,False
33.0,4.5,7.05,0.0,11.55,2023,313,90,True,False,False,False,False
45.0,3.6,7.033,0.0,10.633,2023,303,87,False,False,False,False,True
106.0,4.9,7.4,0.0,12.3,2023,20,0,False,False,False,False,True
18.0,4.6,8.233,0.0,12.833,2023,20,0,False,False,False,False,True
57.0,3.9,8.766,0.0,12.666,2022,222,69,False,False,False,False,True
31.0,4.3,8.033,0.0,12.333,2023,198,60,False,False,False,False,True
90.0,5.0,7.366,0.0,12.366,2022,331,14,False,False,False,False,True
111.0,5.3,6.866,0.0,12.166,2023,331,14,False,False,False,False,True
14.0,5.0,7.666,0.0,12.666,2023,331,14,True,False,False,False,False
19.0,5.0,7.9,0.0,12.9,2023,331,14,False,False,False,False,True
11.0,4.7,7.566,0.0,12.266,2023,508,80,True,False,False,False,False
0.0,4.8,7.9,0.0,12.7,2023,79,10,False,True,False,False,False
0.0,5.0,8.233,0.0,13.233,2023,79,10,False,False,True,False,False
22.0,4.2,8.9,0.0,13.1,2023,180,90,True,False,False,False,False
10.0,4.2,8.7,0.0,12.9,2023,180,90,True,False,False,False,False
55.0,4.9,8.166,0.0,13.066,2022,245,20,False,False,False,False,True
39.0,4.8,8.433,0.0,13.233,2022,245,20,False,False,False,False,True
10.0,4.6,8.7,0.0,13.3,2022,245,20,False,False,False,False,True
35.0,5.1,8.0,0.0,13.1,2023,245,20,False,False,False,False,True
70.0,4.8,7.633,0.0,12.433,2023,245,20,False,False,False,False,True
9.0,4.6,8.35,0.0,12.95,2022,245,20,True,False,False,False,False
12.0,4.6,8.65,0.0,13.25,2022,245,20,False,False,False,False,True
26.0,4.2,6.6,0.0,10.8,2023,717,92,False,False,False,False,True
0.0,4.2,6.033,0.0,10.233,2023,718,92,False,False,True,False,False
30.0,3.9,8.3,0.0,12.2,2023,487,95,False,False,False,False,True
14.0,3.9,8.0,0.0,11.9,2023,488,71,False,False,False,False,True
0.0,3.9,8.167,0.0,12.067,2023,486,71,False,True,False,False,False
0.0,4.0,8.167,0.0,12.167,2023,486,71,False,False,True,False,False
64.0,4.4,8.533,0.0,12.933,2022,219,88,False,False,False,False,True
43.0,4.7,8.433,0.0,13.133,2022,219,88,False,False,False,False,True
19.0,4.7,8.0,0.0,12.7,2022,219,88,False,True,False,False,False
84.0,4.1,8.633,0.0,12.733,2023,219,88,False,False,False,False,True
47.0,4.4,8.433,0.0,12.833,2023,219,88,False,False,False,False,True
26.0,4.4,8.55,0.0,12.95,2023,219,88,False,False,False,False,True
57.0,4.1,5.666,0.0,9.766,2023,618,39,False,False,False,False,True
36.0,4.2,7.766,0.0,11.966,2023,363,14,False,False,False,False,True
0.0,4.2,6.933,0.0,11.133,2023,420,14,False,False,True,False,False
95.0,3.8,7.833,0.0,11.633,2022,448,4,False,False,False,False,True
0.0,5.0,8.0,0.0,13.0,2022,482,90,False,False,False,False,True
0.0,5.0,7.3,0.0,12.3,2022,482,90,False,False,False,True,False
30.0,4.7,7.0,0.0,11.7,2023,482,90,True,False,False,False,False
36.0,5.0,5.1,0.0,10.1,2022,482,90,True,False,False,False,False
26.0,5.0,7.85,0.0,12.85,2023,482,90,True,False,False,False,False
0.0,5.0,8.1,0.0,13.1,2023,482,90,False,False,False,False,True
0.0,5.0,7.7,0.0,12.7,2023,482,90,False,False,False,True,False
16.0,4.8,7.85,0.0,12.65,2023,482,90,True,False,False,False,False
76.0,4.1,5.8,0.0,9.9,2023,60,90,True,False,False,False,False
28.0,5.0,8.566,0.0,13.566,2022,9,88,False,False,False,False,True
2.0,5.0,9.05,0.0,14.05,2022,9,88,False,False,False,True,False
2.0,5.1,8.7,0.0,13.8,2022,9,88,False,False,False,False,True
6.0,5.4,8.5,0.0,13.9,2023,9,88,False,False,False,False,True
5.0,5.4,8.366,0.0,13.766,2023,9,88,False,False,False,True,False
60.0,4.7,7.933,0.0,12.633,2022,9,88,False,False,False,False,True
3.0,5.4,8.5,0.0,13.9,2022,9,88,False,True,False,False,False
40.0,5.1,8.266,0.0,13.366,2023,9,88,False,False,False,False,True
4.0,5.4,8.366,0.0,13.766,2023,9,88,False,False,False,True,False
7.0,5.0,8.633,0.0,13.633,2023,9,88,False,False,False,False,True
12.0,5.4,8.4,0.0,13.8,2023,9,88,False,False,False,False,True
5.0,4.7,8.733,0.0,13.433,2023,9,88,True,False,False,False,False
21.0,4.7,8.5,0.0,13.2,2023,9,88,False,False,False,False,True
14.0,5.0,8.5,0.0,13.5,2023,9,88,False,False,False,False,True
27.0,4.3,6.2,0.0,10.5,2023,587,65,False,False,False,False,True
43.0,4.5,6.766,0.0,11.266,2023,587,65,False,False,False,False,True
0.0,4.4,7.067,0.0,11.467,2023,586,65,False,False,True,False,False
31.0,3.2,4.25,0.0,7.45,2023,316,31,False,False,False,False,True
65.0,4.0,7.666,0.0,11.666,2023,63,91,False,False,False,False,True
13.0,3.9,8.266,0.0,12.166,2023,63,91,True,False,False,False,False
87.0,4.7,7.733,0.0,12.433,2022,3,91,False,False,False,False,True
17.0,4.4,8.333,0.0,12.733,2023,3,91,False,False,False,False,True
18.0,4.7,8.466,0.0,13.166,2023,3,91,False,False,False,False,True
61.0,4.9,8.2,0.0,13.1,2023,3,91,False,False,False,False,True
121.0,4.4,7.1,0.0,11.5,2022,278,50,False,False,False,False,True
15.0,4.5,8.367,0.0,12.867,2023,278,50,False,False,False,False,True
20.0,4.2,7.133,0.0,11.333,2022,278,50,False,False,False,False,True
36.0,4.4,7.2,0.0,11.6,2023,278,50,False,False,False,False,True
23.0,3.0,5.0,3.0,5.0,2022,278,50,False,False,False,False,True
13.0,4.7,8.633,0.0,13.333,2023,278,50,False,False,False,False,True
75.0,4.7,8.2,0.0,12.9,2023,278,50,False,False,False,False,True
20.0,4.8,7.766,0.0,12.566,2023,278,50,False,False,False,False,True
31.0,4.4,6.366,0.0,10.766,2023,278,50,False,False,False,False,True
31.0,4.7,8.533,0.0,13.233,2023,278,50,False,False,False,False,True
11.0,4.7,8.433,0.0,13.133,2023,278,50,True,False,False,False,False
6.0,5.5,7.766,0.0,13.266,2023,239,52,False,False,False,True,False
12.0,5.1,7.133,0.0,12.233,2023,239,52,True,False,False,False,False
83.0,4.2,8.033,0.0,12.233,2023,146,21,False,False,False,False,True
6.0,4.5,8.75,0.0,13.25,2022,230,75,True,False,False,False,False
8.0,4.4,7.5,0.0,11.9,2022,230,75,False,False,False,True,False
11.0,4.5,8.75,0.0,13.25,2022,230,75,False,False,False,False,True
7.0,5.7,8.1,0.0,13.8,2022,406,38,True,False,False,False,False
13.0,5.7,8.4,0.0,14.1,2022,406,38,False,False,False,False,True
22.0,4.9,6.6,0.0,11.5,2022,406,38,False,False,False,False,True
26.0,4.4,4.833,0.0,9.233,2022,406,38,False,False,False,False,True
9.0,5.0,7.366,0.0,12.366,2022,406,38,False,False,False,False,True
8.0,5.1,6.466,0.0,11.566,2022,406,38,False,False,False,True,False
3.0,5.3,8.35,0.0,13.65,2023,406,38,False,False,False,False,True
7.0,5.3,7.55,0.0,12.85,2023,406,38,False,False,False,True,False
9.0,5.3,8.25,0.0,13.55,2023,406,38,False,False,False,False,True
14.0,5.6,8.133,0.0,13.733,2022,406,38,False,False,False,False,True
5.0,5.6,8.266,0.0,13.866,2022,406,38,False,True,False,False,False
4.0,5.3,8.35,0.0,13.65,2022,406,38,False,False,False,False,True
2.0,5.6,8.533,0.0,14.133,2022,406,38,False,False,False,True,False
93.0,5.8,6.733,0.0,12.533,2023,406,38,False,False,False,False,True
8.0,5.1,7.4,0.0,12.5,2023,406,38,False,False,False,True,False
4.0,5.5,8.366,0.0,13.866,2023,406,38,False,False,False,False,True
52.0,4.4,6.566,0.0,10.966,2023,651,85,False,False,False,False,True
6.0,4.4,8.466,0.0,12.866,2023,651,85,True,False,False,False,False
16.0,4.2,8.15,0.0,12.35,2022,574,31,False,False,False,False,True
20.0,4.0,8.0,0.0,12.0,2023,574,31,False,False,False,False,True
15.0,3.9,8.45,0.0,12.35,2022,196,31,False,False,False,False,True
26.0,5.5,6.9,0.0,12.4,2022,227,10,False,False,False,False,True
0.0,2.9,5.367,0.0,8.267,2023,210,9,False,False,True,False,False
36.0,4.4,8.866,0.0,13.266,2022,518,45,False,False,False,False,True
20.0,4.4,8.266,0.0,12.666,2022,518,45,False,True,False,False,False
46.0,3.4,7.0,0.0,10.4,2023,76,60,False,False,False,False,True
49.0,3.8,7.233,0.0,11.033,2023,76,60,False,False,False,False,True
53.0,5.5,7.733,0.0,13.233,2023,128,81,False,False,False,False,True
0.0,5.5,8.366,0.0,13.866,2023,128,81,False,True,False,False,False
4.0,5.2,8.4,0.0,13.6,2023,128,81,False,False,False,True,False
2.0,5.2,8.4,0.0,13.6,2023,128,81,False,False,False,False,True
14.0,4.6,8.1,0.0,12.7,2022,339,21,False,False,False,False,True
24.0,4.6,7.0,0.0,11.6,2023,131,31,False,False,False,False,True
16.0,5.4,7.55,0.0,12.95,2022,236,90,True,False,False,False,False
10.0,5.0,8.4,0.0,13.4,2023,236,90,True,False,False,False,False
0.0,5.4,6.35,0.0,11.75,2023,236,90,False,False,False,False,True
0.0,5.5,6.0,0.0,11.5,2023,236,90,False,False,False,True,False
54.0,5.3,7.8,0.0,13.1,2022,32,4,False,False,False,False,True
11.0,5.3,8.05,0.0,13.35,2023,32,4,False,False,False,False,True
31.0,5.1,8.266,0.0,13.366,2022,32,4,False,False,False,False,True
28.0,4.6,7.15,0.0,11.75,2022,32,4,False,False,False,False,True
98.0,4.8,7.133,0.0,11.933,2023,32,4,False,False,False,False,True
0.0,4.4,7.4,0.0,11.8,2022,474,90,False,False,False,False,True
0.0,4.4,8.25,0.0,12.65,2022,474,90,False,False,False,True,False
0.0,4.4,8.05,0.0,12.45,2023,474,90,False,False,False,False,True
0.0,4.4,7.65,0.0,12.05,2023,474,90,False,False,False,True,False
17.0,4.2,8.4,0.0,12.6,2023,474,90,True,False,False,False,False
112.0,4.3,7.566,0.0,11.866,2022,104,30,False,False,False,False,True
74.0,4.2,8.166,0.0,12.366,2022,104,30,False,False,False,False,True
32.0,3.7,8.1,0.0,11.8,2023,366,67,False,False,False,False,True
38.0,3.8,7.966,0.0,11.766,2023,366,67,False,False,False,False,True
28.0,3.8,8.133,0.0,11.933,2023,366,67,False,False,False,False,True
15.0,3.8,8.6,0.0,12.4,2023,366,67,False,False,False,False,True
17.0,4.4,7.3,0.0,11.7,2023,693,92,False,False,False,False,True
0.0,4.6,7.3,0.0,11.9,2023,694,92,False,False,True,False,False
18.0,4.4,7.9,0.0,12.3,2022,92,31,False,False,False,False,True
17.0,4.8,8.0,0.0,12.8,2022,92,94,False,False,False,False,True
38.0,4.7,8.166,0.0,12.866,2023,709,35,False,False,False,False,True
0.0,5.5,7.7,0.0,13.2,2022,319,90,False,False,False,False,True
0.0,5.5,7.7,0.0,13.2,2022,319,90,False,False,False,True,False
24.0,4.9,7.75,0.0,12.65,2022,319,90,False,False,False,False,True
17.0,5.4,7.45,0.0,12.85,2022,319,90,True,False,False,False,False
14.0,5.6,7.7,0.0,13.3,2023,319,90,True,False,False,False,False
0.0,5.3,7.75,0.0,13.05,2023,319,90,False,False,False,False,True
0.0,5.2,7.75,0.0,12.95,2023,319,90,False,False,False,True,False
24.0,5.3,6.15,0.0,11.45,2023,319,90,True,False,False,False,False
7.0,5.4,8.35,0.0,13.75,2023,430,10,False,False,False,False,True
2.0,5.7,8.566,0.0,14.266,2023,430,10,False,False,False,True,False
16.0,4.6,7.0,0.0,11.6,2023,216,12,False,False,False,False,True
7.0,4.8,7.4,0.0,12.2,2022,216,12,False,False,False,True,False
6.0,4.8,8.35,0.0,13.15,2022,216,12,False,False,False,False,True
0.0,4.0,7.433,0.0,11.433,2023,216,12,False,True,False,False,False
0.0,4.3,8.3,0.0,12.6,2023,216,12,False,False,True,False,False
0.0,4.7,8.8,0.0,13.5,2022,411,90,False,False,False,False,True
0.0,4.7,8.6,0.0,13.3,2022,411,90,False,False,False,True,False
25.0,4.1,8.0,0.0,12.1,2023,411,90,True,False,False,False,False
21.0,4.3,8.3,0.0,12.6,2022,411,90,True,False,False,False,False
0.0,4.8,7.2,0.0,12.0,2023,411,90,False,False,False,False,True
0.0,4.9,7.95,0.0,12.85,2023,411,90,False,False,False,True,False
9.0,4.6,8.6,0.0,13.2,2023,411,90,True,False,False,False,False
29.0,4.8,8.5,0.0,13.3,2023,411,90,False,False,False,False,True
0.0,5.2,7.1,0.0,12.3,2022,103,90,False,False,False,False,True
0.0,5.2,8.35,0.0,13.55,2022,103,90,False,False,False,True,False
16.0,4.9,7.75,0.0,12.65,2023,103,90,True,False,False,False,False
7.0,5.2,8.25,0.0,13.45,2023,103,90,True,False,False,False,False
0.0,5.2,8.2,0.0,13.4,2023,103,90,False,False,False,False,True
0.0,5.2,8.7,0.0,13.9,2023,103,90,False,False,False,True,False
5.0,5.1,8.45,0.0,13.55,2023,103,90,True,False,False,False,False
16.0,5.1,7.366,0.0,12.466,2023,103,90,True,False,False,False,False
4.0,5.2,8.566,0.0,13.766,2023,103,90,False,False,False,True,False
4.0,5.2,8.6,0.0,13.8,2023,103,90,False,False,False,False,True
42.0,3.7,7.7,0.0,11.4,2023,405,16,False,False,False,False,True
18.0,5.6,7.6,0.0,13.2,2023,138,90,True,False,False,False,False
0.0,5.7,8.25,0.0,13.95,2023,138,90,False,False,False,False,True
0.0,5.7,8.3,0.0,14.0,2023,138,90,False,False,False,True,False
25.0,4.9,7.8,0.0,12.7,2023,425,45,False,False,False,False,True
22.0,5.6,7.833,0.0,13.433,2023,425,45,False,False,False,False,True
5.0,5.4,8.5,0.0,13.9,2023,425,45,True,False,False,False,False
54.0,2.8,7.9,0.0,10.7,2023,571,85,False,False,False,False,True
17.0,5.8,7.35,0.0,13.15,2023,183,30,False,False,False,False,True
82.0,3.9,8.4,0.0,12.3,2023,572,56,False,False,False,False,True
0.0,6.0,7.75,0.0,13.75,2022,240,90,False,False,False,False,True
0.0,6.0,5.1,0.0,11.1,2022,240,90,False,False,False,True,False
30.0,4.6,7.05,0.0,11.65,2022,240,90,True,False,False,False,False
29.0,5.1,4.25,0.0,9.35,2023,240,90,True,False,False,False,False
117.0,4.7,7.033,0.0,11.733,2022,552,35,False,False,False,False,True
14.0,5.4,8.533,0.0,13.933,2023,552,35,False,False,False,False,True
0.0,5.4,8.4,0.0,13.8,2023,552,35,False,True,False,False,False
23.0,5.0,7.8,0.0,12.8,2023,552,35,False,False,False,False,True
11.0,5.0,8.2,0.0,13.2,2023,552,35,False,False,False,False,True
12.0,5.0,8.233,0.0,13.233,2023,552,35,True,False,False,False,False
22.0,5.0,8.2,0.0,13.2,2023,552,35,False,False,False,False,True
29.0,5.0,7.85,0.0,12.85,2023,552,32,False,False,False,False,True
2.0,6.1,7.55,0.0,13.65,2023,88,90,True,False,False,False,False
0.0,5.8,8.0,0.0,13.8,2023,88,90,False,False,False,False,True
0.0,6.1,7.3,0.0,13.4,2023,88,90,False,False,False,True,False
30.0,3.0,8.2,0.0,11.2,2022,262,31,False,False,False,False,True
51.0,4.2,7.55,0.0,11.75,2023,265,90,True,False,False,False,False
36.0,4.3,7.166,0.0,11.466,2023,393,78,False,False,False,False,True
29.0,4.5,7.233,0.0,11.733,2023,393,78,False,False,False,False,True
86.0,4.5,7.733,0.0,12.233,2023,393,78,False,False,False,False,True
8.0,5.9,7.866,0.0,13.766,2022,686,3,False,False,False,True,False
8.0,5.9,8.433,0.0,14.333,2022,686,3,False,False,False,False,True
2.0,5.6,8.15,0.0,13.75,2023,686,3,False,False,False,False,True
1.0,5.9,8.5,0.0,14.4,2023,686,3,False,False,False,True,False
5.0,5.6,8.35,0.0,13.95,2023,686,3,False,False,False,False,True
7.0,5.9,7.7,0.0,13.6,2023,686,3,False,False,False,True,False
13.0,5.6,8.366,0.0,13.966,2023,686,3,False,False,False,False,True
