Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_TeamFinal,round_TeamQual,round_final,round_qual
23.0,3.9,6.9,0.0,10.8,2022,236,61,False,False,False,False,True
23.0,3.9,6.9,0.0,10.8,2022,236,61,False,False,False,False,True
54.0,4.4,8.066,0.0,12.466,2023,236,61,False,False,False,False,True
12.0,5.8,8.4,0.0,14.2,2022,531,26,True,False,False,False,False
26.0,5.8,8.5,0.0,14.3,2022,531,26,False,False,False,False,True
9.0,5.8,8.6,0.0,14.4,2022,531,26,False,False,False,False,True
10.0,5.8,8.266,0.0,14.066,2022,531,26,False,True,False,False,False
59.0,5.8,8.3,0.3,13.8,2023,531,26,False,False,False,False,True
10.0,5.8,8.033,0.0,13.833,2023,531,26,True,False,False,False,False
23.0,5.8,8.1,0.0,13.9,2023,531,26,False,False,False,False,True
20.0,5.3,7.766,0.0,13.066,2022,748,43,True,False,False,False,False
52.0,5.3,8.4,0.0,13.7,2022,748,43,False,False,False,False,True
91.0,4.7,7.333,0.0,12.033,2022,748,43,False,False,False,False,True
13.0,5.5,8.433,0.0,13.933,2023,748,43,True,False,False,False,False
41.0,5.5,8.5,0.0,14.0,2023,748,43,False,False,False,False,True
8.0,5.3,8.7,0.0,14.0,2023,748,43,True,False,False,False,False
40.0,5.3,8.2,0.0,13.5,2023,748,43,False,False,False,False,True
122.0,4.3,8.1,0.0,12.4,2022,1,23,False,False,False,False,True
92.0,5.2,7.8,0.0,13.0,2022,18,23,False,False,False,False,True
132.0,4.3,7.466,0.0,11.766,2023,18,23,False,False,False,False,True
12.0,5.2,8.266,0.0,13.466,2023,18,23,False,False,False,False,True
44.0,3.9,7.966,0.0,11.866,2023,39,56,False,False,False,False,True
28.0,6.0,8.233,0.0,14.233,2022,594,89,False,False,False,False,True
24.0,5.3,8.1,0.0,13.4,2023,594,89,False,False,False,False,True
26.0,5.8,6.533,0.0,12.333,2022,594,89,False,False,False,False,True
7.0,5.5,8.533,0.0,14.033,2022,594,89,False,False,False,False,True
5.0,5.8,8.3,0.0,14.1,2022,594,89,False,False,False,True,False
17.0,5.1,6.733,0.0,11.833,2022,594,89,False,False,False,False,True
33.0,5.2,7.5,0.0,12.7,2023,594,89,False,False,False,False,True
96.0,5.5,7.5,0.0,13.0,2023,594,89,False,False,False,False,True
7.0,5.9,8.366,0.0,14.266,2023,594,89,False,False,False,True,False
8.0,5.9,8.366,0.0,14.266,2023,594,89,False,False,False,False,True
1.0,5.5,8.733,0.0,14.233,2023,594,89,False,False,False,True,False
1.0,5.5,9.0,0.0,14.5,2023,594,89,False,False,False,False,True
19.0,5.1,6.466,0.0,11.566,2022,626,32,False,False,False,False,True
