Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_TeamFinal,round_TeamQual,round_final,round_qual
73.0,3.5,8.366,0.0,11.866,2023,242,62,False,False,False,False,True
12.0,5.3,7.933,0.0,13.233,2022,523,27,True,False,False,False,False
90.0,4.9,7.666,0.0,12.566,2022,523,27,False,False,False,False,True
0.0,5.3,8.5,0.0,13.8,2022,523,27,False,True,False,False,False
23.0,5.3,8.366,0.0,13.666,2022,523,27,False,False,False,False,True
6.0,5.3,8.333,0.0,13.633,2022,523,27,False,True,False,False,False
33.0,5.3,8.3,0.0,13.6,2023,523,27,False,False,False,False,True
17.0,5.3,8.466,0.0,13.766,2023,523,27,False,False,False,False,True
4.0,5.3,8.366,0.0,13.666,2023,523,27,True,False,False,False,False
2.0,5.7,8.35,0.0,14.05,2023,523,27,False,False,False,False,True
2.0,5.7,8.3,0.0,14.0,2023,523,27,False,False,False,True,False
13.0,4.7,8.466,0.0,13.166,2022,748,44,True,False,False,False,False
60.0,4.7,8.3,0.0,13.0,2022,748,44,False,False,False,False,True
0.0,4.7,8.333,0.0,13.033,2022,748,44,False,True,False,False,False
13.0,5.0,8.366,0.0,13.366,2022,748,44,False,True,False,False,False
10.0,4.7,8.6,0.0,13.3,2023,748,44,True,False,False,False,False
41.0,4.7,8.8,0.0,13.5,2023,748,44,False,False,False,False,True
0.0,4.7,8.566,0.0,13.266,2023,748,44,False,True,False,False,False
26.0,4.7,8.8,0.0,13.5,2023,748,44,False,False,False,False,True
10.0,4.7,8.566,0.0,13.266,2023,748,44,True,False,False,False,False
14.0,5.2,8.166,0.0,13.366,2023,39,57,False,False,False,False,True
46.0,4.8,5.133,0.0,9.933,2023,39,57,False,False,False,False,True
26.0,4.1,8.467,0.0,12.567,2023,593,90,False,False,False,False,True
16.0,4.1,8.4,0.0,12.5,2023,593,90,False,False,False,False,True
14.0,4.7,8.233,0.0,12.933,2022,631,33,False,False,False,False,True
8.0,5.0,8.066,0.0,13.1,2022,631,33,False,False,False,False,True
8.0,4.7,7.533,0.0,12.233,2022,631,33,False,False,False,True,False
55.0,4.7,8.333,0.0,13.033,2022,631,33,False,False,False,False,True
10.0,4.0,7.8,0.0,11.8,2023,234,17,True,False,False,False,False
20.0,4.0,7.7,0.0,11.7,2023,234,17,False,False,False,False,True
33.0,3.2,7.1,0.3,10.0,2022,389,13,False,False,False,False,True
62.0,4.9,8.066,0.0,12.966,2022,507,24,False,False,False,False,True
95.0,5.1,7.6,0.0,12.7,2023,507,24,False,False,False,False,True
26.0,4.9,7.9,0.0,12.8,2023,507,24,False,False,False,False,True
35.0,2.7,5.85,4.3,4.25,2022,513,64,False,False,False,False,True
0.0,4.7,8.2,0.0,12.9,2023,647,1,False,True,False,False,False
0.0,4.7,8.233,0.0,12.933,2023,647,1,False,False,True,False,False
15.0,4.7,8.3,0.0,13.0,2023,647,1,False,False,False,False,True
2.0,6.0,8.5,0.0,14.5,2023,457,40,False,False,False,True,False
2.0,6.0,8.5,0.0,14.5,2023,457,40,False,False,False,False,True
2.0,6.0,8.766,0.0,14.766,2023,457,40,False,False,False,True,False
2.0,6.0,8.666,0.0,14.666,2023,457,40,False,False,False,False,True
6.0,6.0,8.6,0.0,14.6,2023,457,40,False,False,False,True,False
5.0,6.0,8.666,0.0,14.666,2023,457,40,False,False,False,False,True
8.0,6.0,7.766,0.0,13.766,2023,457,40,False,False,False,True,False
6.0,6.0,8.6,0.0,14.6,2023,457,40,False,False,False,False,True
12.0,6.0,7.4,0.0,13.4,2023,457,40,False,False,False,False,True
34.0,2.3,7.6,5.3,4.6,2022,662,6,False,False,False,False,True
48.0,4.3,7.033,0.0,11.333,2023,515,57,False,False,False,False,True
118.0,3.8,7.966,0.0,11.766,2022,204,49,False,False,False,False,True
27.0,3.8,8.4,0.0,12.2,2023,204,49,False,False,False,False,True
