Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_AAqual,round_TeamFinal,round_TeamQual,round_final,round_qual
69.0,4.0,8.966,0.0,12.966,2023,241,67,False,False,False,False,False,True
20.0,4.8,9.033,0.1,13.733,2022,502,30,True,False,False,False,False,False
97.0,4.8,9.0,0.3,13.5,2022,502,30,False,False,False,False,False,True
36.0,5.2,9.2,0.3,14.1,2022,502,30,False,False,False,False,False,True
126.0,5.2,8.0,0.0,13.2,2023,502,30,False,False,False,False,False,True
22.0,5.2,7.9,0.1,13.0,2023,502,30,True,False,False,False,False,False
69.0,4.8,9.0,0.1,13.7,2023,502,30,False,False,False,False,False,True
18.0,4.8,9.066,0.0,13.866,2022,711,49,True,False,False,False,False,False
84.0,4.8,8.9,0.1,13.6,2022,711,49,False,False,False,False,False,True
18.0,4.8,9.1,0.0,13.9,2023,711,49,True,False,False,False,False,False
80.0,4.8,9.166,0.0,13.966,2023,711,49,False,False,False,False,False,True
18.0,4.8,8.866,0.1,13.566,2023,711,49,True,False,False,False,False,False
64.0,4.8,8.933,0.0,13.733,2023,711,49,False,False,False,False,False,True
50.0,5.2,8.766,0.0,13.966,2022,15,27,False,False,False,False,False,True
0.0,5.2,8.65,0.1,13.75,2023,15,27,False,False,False,False,False,True
59.0,5.2,8.933,0.0,14.133,2023,15,27,False,False,False,False,False,True
0.0,5.2,8.166,0.0,13.366,2023,15,27,False,False,False,False,False,True
17.0,5.6,7.833,0.0,13.433,2023,15,27,False,False,False,False,False,True
17.0,5.2,7.9,0.0,13.1,2023,15,27,False,False,False,False,False,True
96.0,5.2,7.966,0.3,12.866,2022,598,36,False,False,False,False,False,True
0.0,5.0,9.15,0.0,14.15,2022,532,28,False,True,False,False,False,False
14.0,4.0,9.0,0.0,13.0,2023,232,18,True,False,False,False,False,False
22.0,4.0,8.9,0.0,12.9,2023,232,18,False,False,False,False,False,True
0.0,2.8,8.8,0.0,11.6,2022,381,13,False,True,False,False,False,False
79.0,4.8,8.966,0.1,13.666,2022,486,27,False,False,False,False,False,True
99.0,4.8,9.066,0.1,13.766,2023,486,27,False,False,False,False,False,True
18.0,2.4,7.8,0.0,10.2,2022,492,69,False,False,False,False,False,True
0.0,4.8,7.333,0.1,12.033,2023,613,1,False,False,True,False,False,False
0.0,5.2,8.7,0.0,13.9,2023,613,1,False,False,False,True,False,False
0.0,3.2,8.85,0.1,11.95,2022,628,6,False,True,False,False,False,False
17.0,2.4,8.95,0.0,11.35,2022,628,6,False,False,False,False,False,True
10.0,5.2,8.866,0.0,14.066,2022,494,61,False,False,False,False,False,True
10.0,5.2,8.8,0.1,13.9,2022,494,61,False,False,False,False,False,True
7.0,5.2,9.266,0.0,14.466,2022,494,61,False,False,False,False,True,False
8.0,5.2,8.966,0.0,14.166,2022,494,61,False,False,False,False,False,True
7.0,5.2,7.833,0.3,12.733,2022,494,61,False,False,False,False,True,False
8.0,5.2,7.633,0.1,12.733,2022,494,61,False,False,False,False,False,True
4.0,5.2,9.0,0.0,14.2,2023,494,61,False,False,False,False,False,True
6.0,5.2,7.833,0.1,12.933,2023,494,61,False,False,False,False,True,False
4.0,5.2,9.366,0.0,14.566,2023,494,61,False,False,False,False,False,True
6.0,5.2,9.1,0.0,14.3,2023,494,61,False,False,False,False,True,False
18.0,5.2,8.9,0.0,14.1,2023,494,61,False,False,False,False,False,True
18.0,5.2,8.2,0.0,13.4,2023,494,61,False,False,False,False,False,True
7.0,5.2,8.433,0.1,13.533,2022,494,61,False,False,False,False,True,False
7.0,5.2,8.7,0.0,13.9,2022,494,61,False,False,False,False,False,True
112.0,5.2,8.0,0.1,13.1,2022,192,54,False,False,False,False,False,True
5.0,5.2,9.15,0.0,14.35,2022,192,54,False,False,False,False,True,False
8.0,5.2,9.25,0.0,14.45,2022,192,54,False,False,False,False,False,True
5.0,5.2,7.85,0.0,13.05,2022,192,54,False,False,False,False,True,False
8.0,5.2,8.0,0.1,13.1,2022,192,54,False,False,False,False,False,True
3.0,5.2,8.966,0.0,14.166,2023,192,54,False,False,False,False,True,False
5.0,5.2,8.75,0.0,13.95,2023,192,54,False,False,False,False,False,True
5.0,5.2,9.0,0.0,14.2,2023,192,54,False,False,False,False,False,True
3.0,5.2,9.2,0.0,14.4,2023,192,54,False,False,False,False,True,False
5.0,5.2,7.933,0.1,13.033,2023,192,54,False,False,False,False,True,False
4.0,5.2,9.1,0.1,14.2,2023,192,54,False,False,False,False,False,True
5.0,5.2,8.966,0.0,14.166,2023,192,54,False,False,False,False,True,False
4.0,5.2,8.95,0.0,14.15,2023,192,54,False,False,False,False,False,True
20.0,5.2,7.866,0.3,12.766,2023,139,71,True,False,False,False,False,False
0.0,5.2,7.8,0.1,12.9,2023,181,71,False,False,False,True,False,False
109.0,4.8,8.5,0.1,13.2,2022,708,11,False,False,False,False,False,True
59.0,4.8,9.033,0.0,13.833,2022,708,11,False,False,False,False,False,True
139.0,4.4,7.633,0.3,11.733,2023,708,11,False,False,False,False,False,True
71.0,4.8,8.9,0.0,13.7,2023,708,11,False,False,False,False,False,True
67.0,3.2,9.25,0.0,12.45,2023,615,93,True,False,False,False,False,False
25.0,4.4,9.05,0.0,13.45,2023,318,93,True,False,False,False,False,False
87.0,5.2,7.966,0.1,13.066,2022,229,74,False,False,False,False,False,True
12.0,4.8,8.7,0.3,13.2,2023,200,63,False,False,False,False,False,True
12.0,5.2,7.866,0.1,12.966,2023,200,63,False,False,False,False,False,True
73.0,4.8,8.9,0.0,13.7,2022,337,15,False,False,False,False,False,True
105.0,4.8,8.833,0.0,13.633,2023,337,15,False,False,False,False,False,True
12.0,4.8,8.933,0.0,13.733,2023,337,15,True,False,False,False,False,False
11.0,4.8,8.8,0.1,13.5,2023,497,84,True,False,False,False,False,False
16.0,4.8,8.733,0.1,13.433,2023,497,84,False,False,False,False,False,True
16.0,2.8,9.166,0.0,11.966,2023,497,84,False,False,False,False,False,True
