Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_aafinal,round_final,round_qual,round_teamfinal,round_teamqual
100.0,4.8,6.2,0.0,11.0,2022,305,25,False,False,True,False,False
14.0,4.8,5.966,0.0,10.766,2022,305,25,False,False,True,False,False
144.0,4.8,5.866,0.0,10.666,2023,305,25,False,False,True,False,False
22.0,4.8,6.733,0.0,11.533,2023,305,25,False,False,True,False,False
8.0,4.8,6.566,0.0,11.366,2023,305,25,False,True,False,False,False
9.0,4.7,7.466,0.0,12.166,2023,305,25,False,False,True,False,False
4.0,5.0,8.0,0.0,13.0,2023,305,25,False,True,False,False,False
6.0,5.0,7.933,0.0,12.933,2023,305,25,False,False,True,False,False
41.0,3.7,6.5,0.0,10.2,2022,104,31,False,False,True,False,False
36.0,3.9,5.2,0.0,9.1,2022,383,78,False,False,True,False,False
116.0,4.6,5.9,0.0,10.5,2022,306,25,False,False,True,False,False
35.0,4.7,5.8,0.0,10.5,2023,306,25,False,False,True,False,False
0.0,3.9,6.2,0.0,10.1,2023,722,23,False,False,False,False,True
15.0,5.7,7.266,0.0,12.966,2022,560,31,False,False,True,False,False
0.0,5.7,8.0,0.0,13.7,2022,560,31,False,False,False,True,False
4.0,5.1,7.7,0.0,12.8,2022,560,31,False,True,False,False,False
1.0,5.9,7.75,0.0,13.65,2022,560,31,False,False,True,False,False
2.0,5.5,7.9,0.0,13.4,2022,560,31,False,True,False,False,False
7.0,5.5,7.766,0.0,13.266,2022,560,31,False,False,True,False,False
4.0,5.7,8.0,0.0,13.7,2022,560,31,False,False,False,True,False
5.0,5.9,7.7,0.0,13.6,2023,560,31,True,False,False,False,False
16.0,5.6,7.833,0.0,13.433,2023,560,31,False,False,True,False,False
0.0,6.2,7.733,0.0,13.933,2023,560,31,False,False,False,True,False
1.0,5.7,8.1,0.0,13.8,2023,560,31,False,True,False,False,False
2.0,5.5,8.3,0.0,13.8,2023,560,31,False,False,True,False,False
4.0,5.9,7.633,0.0,13.533,2023,560,31,False,True,False,False,False
4.0,5.7,7.666,0.0,13.366,2023,560,31,False,False,True,False,False
4.0,5.7,6.8,0.0,12.5,2022,560,26,True,False,False,False,False
4.0,5.7,7.6,0.0,13.3,2022,560,26,False,False,True,False,False
0.0,3.6,7.433,0.1,10.933,2023,106,14,False,False,False,False,True
