Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_aafinal,round_final,round_qual,round_teamfinal,round_teamqual
109.0,4.4,7.466,0.1,11.766,2022,309,25,False,False,True,False,False
24.0,4.5,6.6,0.1,11.0,2023,309,25,False,False,True,False,False
131.0,4.5,7.2,0.3,11.4,2023,309,25,False,False,True,False,False
22.0,4.5,7.366,0.0,11.866,2023,309,25,False,False,True,False,False
39.0,2.9,4.45,0.0,7.35,2022,386,79,False,False,True,False,False
74.0,4.4,7.866,0.0,12.266,2022,310,25,False,False,True,False,False
27.0,4.4,6.65,0.4,10.65,2023,310,25,False,False,True,False,False
0.0,5.0,7.467,0.1,12.367,2023,711,23,False,False,False,False,True
16.0,5.3,8.033,0.0,13.333,2022,556,31,False,False,True,False,False
12.0,5.2,7.6,0.3,12.5,2022,556,31,False,False,True,False,False
25.0,5.3,7.566,0.2,12.666,2022,556,31,False,False,True,False,False
17.0,5.3,7.4,0.0,12.7,2023,556,31,True,False,False,False,False
33.0,5.3,7.566,0.0,12.866,2023,556,31,False,False,True,False,False
8.0,5.2,6.75,0.0,11.95,2023,556,31,False,True,False,False,False
4.0,5.3,7.9,0.0,13.2,2023,556,31,False,False,True,False,False
8.0,5.3,7.866,0.0,13.166,2023,556,31,False,False,True,False,False
1.0,5.3,8.05,0.0,13.35,2022,556,26,True,False,False,False,False
2.0,5.3,7.733,0.0,13.033,2022,556,26,False,True,False,False,False
11.0,5.3,7.25,0.0,12.55,2022,556,26,False,False,True,False,False
13.0,4.7,7.333,0.1,11.933,2023,112,14,False,False,True,False,False
0.0,4.2,8.1,0.0,12.3,2023,112,14,False,False,False,False,True
10.0,4.5,7.833,0.0,12.333,2023,112,14,True,False,False,False,False
8.0,4.4,7.9,0.1,12.2,2023,112,14,False,True,False,False,False
10.0,4.6,8.033,0.0,12.633,2023,112,14,False,False,True,False,False
127.0,3.7,7.733,0.0,11.433,2022,672,44,False,False,True,False,False
91.0,3.6,7.533,0.0,11.133,2022,672,44,False,False,True,False,False
62.0,4.8,7.7,0.0,12.5,2023,672,44,False,False,True,False,False
78.0,4.5,7.066,0.0,11.566,2023,672,44,False,False,True,False,False
52.0,4.0,6.45,0.0,10.45,2022,323,31,False,False,True,False,False
0.0,4.1,7.3,0.1,11.3,2023,364,69,False,False,False,True,False
0.0,4.0,7.233,0.0,11.233,2023,364,69,False,False,False,False,True
0.0,4.5,7.55,0.1,11.95,2022,172,88,False,False,True,False,False
0.0,4.5,6.85,0.0,11.35,2022,172,88,False,True,False,False,False
6.0,4.5,7.7,0.0,12.2,2023,172,88,True,False,False,False,False
19.0,5.0,6.85,0.0,11.85,2022,172,88,True,False,False,False,False
44.0,4.3,6.2,0.1,10.4,2023,21,69,False,False,True,False,False
23.0,4.5,6.766,0.0,11.266,2023,22,69,True,False,False,False,False
0.0,4.1,6.467,0.0,10.567,2023,338,47,False,False,False,False,True
38.0,3.5,5.967,0.0,9.467,2023,520,57,False,False,True,False,False
31.0,4.3,6.7,0.0,11.0,2023,493,31,False,False,True,False,False
22.0,4.7,6.567,0.0,11.267,2023,425,89,False,False,True,False,False
12.0,4.8,7.933,0.0,12.733,2023,425,89,False,False,True,False,False
21.0,4.9,7.166,0.1,11.966,2023,425,89,False,False,True,False,False
18.0,4.6,6.333,0.0,10.933,2023,425,89,False,False,True,False,False
12.0,5.1,7.566,0.1,12.566,2023,153,68,False,False,True,False,False
14.0,5.0,6.4,0.3,11.1,2023,153,68,True,False,False,False,False
15.0,5.2,7.2,0.0,12.4,2023,715,50,False,False,True,False,False
8.0,5.2,6.933,0.0,12.133,2023,715,50,True,False,False,False,False
7.0,4.4,7.45,0.0,11.85,2022,58,51,False,True,False,False,False
8.0,4.1,7.55,0.0,11.65,2022,58,51,False,False,True,False,False
101.0,4.4,6.4,0.0,10.8,2022,58,51,False,False,True,False,False
145.0,4.4,6.166,0.0,10.566,2023,58,51,False,False,True,False,False
64.0,4.3,7.5,0.0,11.8,2023,58,51,False,False,True,False,False
61.0,4.7,7.8,0.0,12.5,2023,129,72,False,False,True,False,False
2.0,6.1,8.3,0.0,14.4,2022,584,11,True,False,False,False,False
3.0,5.9,7.833,0.0,13.733,2022,584,11,False,True,False,False,False
2.0,6.1,8.1,0.0,14.2,2022,584,11,False,False,True,False,False
0.0,5.9,8.166,0.0,14.066,2022,584,11,False,False,False,True,False
2.0,6.2,8.166,0.3,14.066,2023,584,11,True,False,False,False,False
2.0,6.1,8.4,0.0,14.5,2023,584,11,False,True,False,False,False
3.0,6.1,7.933,0.0,14.033,2023,584,11,False,False,True,False,False
0.0,6.1,8.566,0.0,14.666,2023,584,11,False,False,False,True,False
3.0,5.8,8.066,0.0,13.866,2022,69,46,False,True,False,False,False
3.0,5.6,8.033,0.0,13.633,2022,69,46,False,False,True,False,False
11.0,5.5,7.5,0.0,13.0,2023,69,46,False,False,True,False,False
26.0,4.5,4.5,0.0,9.0,2023,409,88,True,False,False,False,False
27.0,4.3,6.3,0.1,10.5,2023,513,29,False,False,True,False,False
41.0,4.6,6.266,0.3,10.566,2023,513,29,False,False,True,False,False
0.0,3.2,6.533,0.0,9.733,2023,95,10,False,False,False,False,True
5.0,4.7,8.2,0.0,12.9,2022,632,31,False,True,False,False,False
7.0,4.7,7.95,0.0,12.65,2022,632,31,False,False,True,False,False
13.0,4.6,6.9,0.0,11.5,2022,632,74,True,False,False,False,False
15.0,4.5,7.9,0.0,12.4,2022,632,74,False,False,True,False,False
4.0,5.0,8.2,0.0,13.2,2023,194,89,False,True,False,False,False
12.0,4.9,7.767,0.1,12.567,2023,194,89,False,False,True,False,False
3.0,4.9,7.966,0.0,12.866,2022,194,89,False,True,False,False,False
3.0,4.9,7.733,0.0,12.633,2022,194,89,False,False,True,False,False
2.0,4.9,7.7,0.0,12.6,2022,194,89,False,True,False,False,False
2.0,4.9,7.833,0.0,12.733,2022,194,89,False,False,True,False,False
1.0,5.0,8.15,0.0,13.15,2022,194,89,False,False,True,False,False
8.0,4.3,7.5,0.3,11.5,2022,194,89,False,True,False,False,False
22.0,4.6,7.4,0.0,12.0,2023,194,89,False,False,True,False,False
56.0,5.0,7.6,0.0,12.6,2023,194,89,False,False,True,False,False
26.0,4.4,6.666,0.0,11.066,2023,194,89,False,False,True,False,False
15.0,4.6,8.0,0.3,12.3,2023,194,89,False,False,True,False,False
4.0,5.0,7.566,0.0,12.566,2023,194,89,False,True,False,False,False
2.0,5.0,7.866,0.0,12.866,2023,194,89,False,False,True,False,False
12.0,4.3,7.7,0.0,12.0,2023,692,90,False,False,True,False,False
0.0,4.2,6.733,0.0,10.933,2023,693,90,False,False,False,False,True
44.0,5.0,7.733,0.0,12.733,2023,653,21,False,False,True,False,False
13.0,4.8,7.766,0.1,12.466,2023,653,21,False,False,True,False,False
90.0,4.6,6.933,0.3,11.233,2023,653,21,False,False,True,False,False
10.0,4.5,8.166,0.0,12.666,2023,688,48,False,False,True,False,False
41.0,4.3,7.05,0.0,11.35,2022,46,31,False,False,True,False,False
33.0,4.2,6.3,0.6,9.9,2023,518,25,False,False,True,False,False
128.0,4.0,7.333,0.0,11.333,2022,670,20,False,False,True,False,False
94.0,4.3,7.1,0.3,11.1,2022,670,20,False,False,True,False,False
16.0,4.2,6.55,0.0,10.75,2022,670,20,True,False,False,False,False
32.0,4.2,6.5,0.1,10.6,2022,670,20,False,False,True,False,False
123.0,4.1,7.433,0.0,11.533,2022,178,39,False,False,True,False,False
40.0,4.2,7.15,0.0,11.35,2022,602,31,False,False,True,False,False
39.0,4.4,5.8,0.1,10.1,2023,602,31,False,False,True,False,False
27.0,4.7,7.1,0.1,11.7,2022,633,31,False,False,True,False,False
16.0,4.6,7.1,0.0,11.7,2023,633,31,False,False,True,False,False
106.0,4.4,6.266,0.0,10.666,2023,7,81,False,False,True,False,False
11.0,4.2,7.933,0.0,12.133,2023,280,39,False,False,True,False,False
34.0,4.3,7.1,0.0,11.4,2023,261,11,False,False,True,False,False
37.0,5.6,7.533,0.3,12.833,2023,306,11,False,False,True,False,False
3.0,5.6,7.833,0.0,13.433,2023,306,11,True,False,False,False,False
5.0,5.5,7.833,0.0,13.333,2023,306,11,False,False,True,False,False
22.0,5.2,6.733,0.0,11.933,2022,50,71,True,False,False,False,False
19.0,5.6,7.7,0.0,13.3,2022,50,71,False,False,True,False,False
1.0,5.3,8.0,0.0,13.3,2022,50,71,False,False,True,False,False
1.0,5.3,7.9,0.3,12.9,2022,50,71,False,True,False,False,False
1.0,5.4,7.933,0.0,13.333,2023,50,71,False,True,False,False,False
1.0,5.4,7.966,0.0,13.366,2023,50,71,False,False,True,False,False
4.0,5.6,8.033,0.0,13.633,2022,50,71,False,True,False,False,False
10.0,5.4,7.866,0.0,13.266,2022,50,71,False,False,True,False,False
23.0,5.3,6.6,0.3,11.6,2023,50,71,True,False,False,False,False
22.0,5.5,7.7,0.0,13.2,2023,50,71,False,False,True,False,False
19.0,5.3,6.733,0.0,12.033,2023,50,71,True,False,False,False,False
7.0,5.5,7.3,0.0,12.8,2023,50,71,False,True,False,False,False
7.0,5.5,7.733,0.0,13.233,2023,50,71,False,False,True,False,False
13.0,5.4,7.2,0.0,12.6,2022,662,88,True,False,False,False,False
13.0,5.2,6.75,0.0,11.95,2023,662,69,False,False,True,False,False
0.0,5.0,7.467,0.0,12.467,2023,664,69,False,False,False,False,True
12.0,5.0,7.4,0.1,12.3,2022,179,87,False,False,True,False,False
4.0,4.6,7.666,0.0,12.266,2022,179,87,False,True,False,False,False
3.0,4.8,7.766,0.0,12.566,2022,179,87,False,False,True,False,False
10.0,4.6,6.8,0.0,11.4,2022,179,87,False,False,True,False,False
2.0,4.9,7.766,0.0,12.666,2022,179,87,False,True,False,False,False
5.0,4.8,7.366,0.0,12.166,2022,179,87,False,False,True,False,False
69.0,4.5,7.833,0.0,12.333,2022,13,49,False,False,True,False,False
14.0,4.5,7.967,0.0,12.467,2023,13,49,False,False,True,False,False
11.0,4.7,7.633,0.0,12.333,2022,13,49,False,False,True,False,False
7.0,4.7,7.166,0.3,11.566,2022,13,49,False,True,False,False,False
6.0,4.5,7.666,0.1,12.066,2022,13,49,False,False,True,False,False
6.0,4.3,7.4,0.0,11.7,2022,13,49,False,True,False,False,False
7.0,4.5,7.433,0.0,11.933,2022,13,49,False,False,True,False,False
4.0,4.6,8.0,0.0,12.6,2022,13,49,False,False,True,False,False
4.0,4.5,7.8,0.0,12.3,2022,13,49,False,True,False,False,False
14.0,4.7,8.0,0.0,12.7,2023,13,49,False,False,True,False,False
149.0,3.7,6.4,0.0,10.1,2023,13,49,False,False,True,False,False
15.0,4.7,7.5,0.1,12.1,2023,13,49,False,False,True,False,False
4.0,4.7,7.833,0.0,12.533,2023,13,49,False,True,False,False,False
3.0,4.7,8.033,0.0,12.733,2023,13,49,False,False,True,False,False
15.0,4.7,7.2,0.4,11.5,2023,13,49,False,False,True,False,False
16.0,4.8,7.566,0.1,12.266,2023,13,49,False,False,True,False,False
6.0,5.0,7.9,0.0,12.9,2023,13,49,True,False,False,False,False
18.0,5.3,7.966,0.0,13.266,2023,96,46,False,False,True,False,False
0.0,5.3,7.833,0.0,13.133,2023,96,46,False,False,False,True,False
2.0,5.3,7.8,0.3,12.8,2023,96,46,False,True,False,False,False
7.0,5.3,7.533,0.4,12.433,2023,96,46,False,False,True,False,False
22.0,4.3,7.15,0.0,11.45,2023,217,31,False,False,True,False,False
