Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_aafinal,round_final,round_qual,round_teamfinal,round_teamqual
52.0,4.8,8.0,0.0,12.8,2022,288,25,False,False,True,False,False
6.0,4.6,6.266,0.0,10.866,2022,288,25,False,True,False,False,False
7.0,4.6,6.633,0.0,11.233,2022,288,25,False,False,True,False,False
14.0,4.6,7.6,0.0,12.2,2023,288,25,False,False,True,False,False
152.0,3.8,4.433,0.0,8.233,2023,288,25,False,False,True,False,False
29.0,4.5,6.266,0.0,10.766,2023,288,25,False,False,True,False,False
21.0,3.8,5.533,0.0,9.333,2023,288,25,False,False,True,False,False
45.0,3.5,6.7,0.0,10.2,2022,102,31,False,False,True,False,False
39.0,1.2,4.3,0.0,5.5,2022,363,77,False,False,True,False,False
113.0,4.4,6.5,0.0,10.9,2022,289,25,False,False,True,False,False
0.0,4.5,7.233,0.0,11.733,2023,677,23,False,False,False,False,True
51.0,5.8,7.033,0.0,12.833,2022,528,31,False,False,True,False,False
5.0,5.6,7.3,0.0,12.9,2022,528,31,False,True,False,False,False
7.0,5.6,7.5,0.0,13.1,2022,528,31,False,False,True,False,False
43.0,5.8,6.433,0.0,12.233,2022,528,31,False,False,True,False,False
24.0,5.6,6.833,0.0,12.433,2022,528,31,False,False,False,True,False
20.0,4.9,7.633,0.0,12.533,2023,528,31,True,False,False,False,False
56.0,4.9,7.833,0.0,12.733,2023,528,31,False,False,True,False,False
5.0,5.8,8.3,0.0,14.1,2023,528,31,False,True,False,False,False
2.0,5.7,8.0,0.0,13.7,2023,528,31,False,False,True,False,False
3.0,6.0,7.25,0.0,13.25,2022,528,26,True,False,False,False,False
4.0,6.0,7.433,0.0,13.433,2022,528,26,False,True,False,False,False
2.0,6.1,7.65,0.0,13.75,2022,528,26,False,False,True,False,False
0.0,4.1,6.933,0.3,10.733,2023,105,14,False,False,False,False,True
24.0,3.4,4.866,0.0,8.266,2023,105,14,True,False,False,False,False
26.0,4.2,7.233,0.0,11.433,2023,105,14,False,False,True,False,False
108.0,4.2,6.833,0.0,11.033,2022,643,44,False,False,True,False,False
57.0,4.1,7.633,0.0,11.733,2022,643,44,False,False,True,False,False
79.0,4.3,7.866,0.0,12.166,2023,643,44,False,False,True,False,False
54.0,4.3,7.933,0.0,12.233,2023,643,44,False,False,True,False,False
24.0,3.7,7.6,0.0,11.3,2022,301,31,False,False,True,False,False
0.0,4.1,6.3,0.0,10.4,2023,343,68,False,False,False,True,False
0.0,4.5,7.85,0.0,12.35,2022,156,86,False,False,True,False,False
0.0,4.5,7.95,0.0,12.45,2022,156,86,False,True,False,False,False
11.0,4.6,7.85,0.0,12.45,2023,156,86,True,False,False,False,False
11.0,4.6,8.3,0.0,12.9,2022,156,86,True,False,False,False,False
37.0,3.6,7.333,0.0,10.933,2023,18,68,False,False,True,False,False
21.0,3.5,7.1,0.0,10.6,2023,19,68,True,False,False,False,False
0.0,3.1,6.933,0.0,10.033,2023,316,47,False,False,False,False,True
35.0,3.4,6.5,0.0,9.9,2023,462,31,False,False,True,False,False
30.0,3.6,6.033,0.0,9.633,2023,403,87,False,False,True,False,False
32.0,4.3,6.166,0.0,10.466,2023,403,87,False,False,True,False,False
28.0,3.6,6.3,0.0,9.9,2023,403,87,False,False,True,False,False
16.0,4.3,6.133,0.0,10.433,2023,403,87,False,False,True,False,False
1.0,6.1,8.166,0.0,14.266,2023,141,67,False,True,False,False,False
3.0,6.0,7.933,0.0,13.933,2023,141,67,False,False,True,False,False
2.0,6.1,7.533,0.0,13.633,2023,141,67,True,False,False,False,False
19.0,4.3,7.033,0.0,11.333,2023,680,50,False,False,True,False,False
6.0,4.2,7.366,0.0,11.566,2023,680,50,True,False,False,False,False
111.0,2.7,5.933,0.0,8.633,2022,54,51,False,False,True,False,False
148.0,3.4,6.066,0.0,9.466,2023,54,51,False,False,True,False,False
103.0,3.4,6.7,0.0,10.1,2023,54,51,False,False,True,False,False
71.0,5.1,7.4,0.0,12.5,2023,121,70,False,False,True,False,False
5.0,4.7,7.1,0.0,11.8,2023,121,70,False,True,False,False,False
5.0,4.7,7.167,0.0,11.867,2023,121,70,False,False,True,False,False
5.0,6.2,7.6,0.0,13.8,2022,555,11,True,False,False,False,False
8.0,5.7,7.1,0.0,12.8,2022,555,11,False,True,False,False,False
3.0,6.1,8.566,0.0,14.666,2022,555,11,False,False,True,False,False
0.0,6.2,8.433,0.0,14.633,2022,555,11,False,False,False,True,False
1.0,6.2,8.4,0.0,14.6,2023,555,11,False,False,True,False,False
2.0,6.1,8.55,0.0,14.65,2023,555,11,False,True,False,False,False
5.0,6.1,8.4,0.0,14.5,2023,555,11,True,False,False,False,False
15.0,6.2,7.666,0.0,13.866,2023,555,11,False,False,True,False,False
0.0,6.2,8.2,0.0,14.4,2023,555,11,False,False,False,True,False
2.0,6.1,8.233,0.0,14.333,2023,555,11,False,True,False,False,False
