Rank,D_Score,E_Score,Penalty,Score,year,Name,nation,Round_AAfinal,Round_TeamFinal,Round_TeamQual,Round_final,Round_qual
110.0,4.2,8.433,0.3,12.333,2022,278,24,False,False,False,False,True
131.0,4.2,8.5,0.3,12.4,2023,278,24,False,False,False,False,True
138.0,3.2,8.4,0.0,11.6,2022,279,24,False,False,False,False,True
0.0,4.6,8.067,0.1,12.567,2023,644,22,False,False,True,False,False
0.0,5.0,9.366,0.0,14.366,2022,508,30,False,True,False,False,False
3.0,5.0,9.466,0.0,14.466,2022,508,30,False,False,False,False,True
1.0,5.0,9.25,0.0,14.25,2022,508,30,False,False,False,False,True
4.0,5.0,8.933,0.0,13.933,2022,508,30,False,False,False,False,True
7.0,5.0,8.9,0.0,13.9,2022,508,30,False,True,False,False,False
4.0,5.0,9.133,0.0,14.133,2023,508,30,True,False,False,False,False
0.0,5.0,9.166,0.0,14.166,2023,508,30,False,True,False,False,False
9.0,5.0,9.3,0.0,14.3,2023,508,30,False,False,False,False,True
16.0,5.0,9.3,0.0,14.3,2023,508,30,False,False,False,False,True
6.0,5.0,8.966,0.0,13.966,2023,508,30,False,False,False,False,True
1.0,5.0,8.9,0.0,13.9,2022,508,25,True,False,False,False,False
24.0,3.2,8.2,0.0,11.4,2023,99,13,True,False,False,False,False
126.0,3.8,8.266,0.0,12.066,2022,613,43,False,False,False,False,True
69.0,3.8,8.533,0.0,12.333,2022,613,43,False,False,False,False,True
135.0,4.2,8.4,0.3,12.3,2023,613,43,False,False,False,False,True
82.0,3.8,8.5,0.0,12.3,2023,613,43,False,False,False,False,True
44.0,3.6,8.4,0.0,12.0,2022,290,30,False,False,False,False,True
0.0,3.8,8.233,0.0,12.033,2023,475,22,False,False,True,False,False
23.0,3.2,8.6,0.0,11.8,2023,539,47,False,False,False,False,True
23.0,1.6,8.566,0.0,10.166,2023,539,47,False,False,False,False,True
0.0,3.2,8.067,0.0,11.267,2023,328,69,False,True,False,False,False
0.0,4.6,7.65,0.3,11.95,2022,160,88,False,False,False,False,True
0.0,4.6,8.7,0.1,13.2,2022,160,88,False,False,False,True,False
0.0,4.6,8.7,0.1,13.2,2022,160,88,True,False,False,False,False
17.0,4.2,8.433,0.0,12.633,2023,19,69,True,False,False,False,False
0.0,3.2,7.433,0.3,10.333,2023,304,46,False,False,True,False,False
30.0,3.4,8.7,0.0,12.1,2023,446,30,False,False,False,False,True
9.0,3.8,8.566,0.0,12.366,2023,385,89,False,False,False,False,True
9.0,3.4,8.733,0.0,12.133,2023,385,89,False,False,False,False,True
1.0,5.6,8.2,0.3,13.5,2023,140,68,True,False,False,False,False
1.0,5.0,9.033,0.1,13.933,2023,140,68,False,False,False,True,False
1.0,5.6,8.366,0.1,13.866,2023,140,68,False,False,False,False,True
1.0,5.6,8.666,0.1,14.166,2023,140,68,False,False,False,True,False
1.0,5.0,8.9,0.1,13.8,2023,140,68,False,False,False,False,True
6.0,4.2,8.533,0.0,12.733,2023,648,50,True,False,False,False,False
8.0,3.8,8.25,0.0,12.05,2022,49,51,False,False,False,False,True
8.0,3.6,8.2,0.1,11.7,2022,49,51,False,False,False,True,False
8.0,3.4,8.6,0.0,12.0,2022,49,51,False,False,False,True,False
8.0,3.4,8.4,0.0,11.8,2022,49,51,False,False,False,False,True
87.0,3.8,8.266,0.0,12.066,2022,49,51,False,False,False,False,True
24.0,3.8,8.266,0.0,12.066,2022,49,51,False,False,False,False,True
24.0,3.4,8.5,0.0,11.9,2022,49,51,False,False,False,False,True
128.0,3.8,8.633,0.0,12.433,2023,49,51,False,False,False,False,True
29.0,3.8,8.633,0.0,12.433,2023,49,51,False,False,False,False,True
29.0,3.4,8.633,0.0,12.033,2023,49,51,False,False,False,False,True
93.0,3.8,8.633,0.3,12.133,2023,49,51,False,False,False,False,True
15.0,3.8,8.633,0.3,12.133,2023,49,51,False,False,False,False,True
