Name,Country,Date,Gender,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Total_Score
Fredrik AAS,NOR,2022-02-27,m,2022 Cottbus World Cup,qual,"Cottbus, Germany",HB,18.0,3.9,8.266,0.0,12.166,12.166
Fredrik AAS,NOR,2022-02-27,m,2022 Cottbus World Cup,qual,"Cottbus, Germany",HB,18.0,3.9,8.266,0.0,12.166,12.166
Fredrik AAS,NOR,2022-02-27,m,2022 Cottbus World Cup,qual,"Cottbus, Germany",PB,23.0,3.9,6.9,0.0,10.8,10.8
Fredrik AAS,NOR,2022-02-27,m,2022 Cottbus World Cup,qual,"Cottbus, Germany",PB,23.0,3.9,6.9,0.0,10.8,10.8
Fredrik AAS,NOR,2022-02-27,m,2022 Cottbus World Cup,qual,"Cottbus, Germany",PH,33.0,4.2,6.666,0.0,10.866,10.866
Fredrik AAS,NOR,2022-02-27,m,2022 Cottbus World Cup,qual,"Cottbus, Germany",PH,33.0,4.2,6.666,0.0,10.866,10.866
Fredrik AAS,NOR,2023-02-26,m,2023 Cottbus World Cup,qual,"Cottbus, Germany",HB,39.0,4.6,6.7,0.0,11.3,11.3
Fredrik AAS,NOR,2023-02-26,m,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,44.0,4.4,7.8,0.0,12.2,12.2
Fredrik AAS,NOR,2023-08-05,m,2023 FISU World University Games,qual,"Chengdu, China",FX,54.0,4.0,8.566,0.0,12.566,12.566
Fredrik AAS,NOR,2023-08-05,m,2023 FISU World University Games,qual,"Chengdu, China",HB,44.0,4.6,8.166,0.0,12.766,12.766
Fredrik AAS,NOR,2023-08-05,m,2023 FISU World University Games,qual,"Chengdu, China",PB,54.0,4.4,8.066,0.0,12.466,12.466000000000001
Fredrik AAS,NOR,2023-08-05,m,2023 FISU World University Games,qual,"Chengdu, China",PH,58.0,4.4,7.266,0.0,11.666,11.666
Fredrik AAS,NOR,2023-08-05,m,2023 FISU World University Games,qual,"Chengdu, China",SR,73.0,3.5,8.366,0.0,11.866,11.866
Fredrik AAS,NOR,2023-08-05,m,2023 FISU World University Games,qual,"Chengdu, China",VT1,69.0,4.0,8.966,0.0,12.966,12.966
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,13.0,5.5,8.3,0.0,13.8,13.8
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,48.0,5.5,7.9,0.0,13.4,13.4
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",HB,10.0,5.3,8.133,0.0,13.433,13.433
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,48.0,5.0,8.166,0.0,13.166,13.166
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",HB,0.0,5.3,7.833,0.0,13.133,13.133
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PB,12.0,5.8,8.4,0.0,14.2,14.2
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,26.0,5.8,8.5,0.0,14.3,14.3
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PH,21.0,5.1,6.166,0.0,11.266,11.266
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,55.0,5.2,7.566,0.0,12.766,12.766
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",PH,0.0,4.4,7.233,0.0,11.633,11.633
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",SR,12.0,5.3,7.933,0.0,13.233,13.233
Nestor ABAD,ESP,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,90.0,4.9,7.666,0.0,12.566,12.566
