Name,Country,Date,Gender,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Total_Score
Jana ABDELSALAM,EGY,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,100.0,4.8,6.2,0.0,11.0,11.0
Jana ABDELSALAM,EGY,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,109.0,4.4,7.466,0.1,11.766,11.766
Jana ABDELSALAM,EGY,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,52.0,4.8,8.0,0.0,12.8,12.8
Jana ABDELSALAM,EGY,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,110.0,4.2,8.433,0.3,12.333,12.332999999999998
Jana ABDELSALAM,EGY,2022-03-20,w,2022 Cairo World Cup,qual,"Cairo, Egypt",BB,14.0,4.8,5.966,0.0,10.766,10.766
Jana ABDELSALAM,EGY,2022-03-20,w,2022 Cairo World Cup,final,"Cairo, Egypt",UB,6.0,4.6,6.266,0.0,10.866,10.866
Jana ABDELSALAM,EGY,2022-03-20,w,2022 Cairo World Cup,qual,"Cairo, Egypt",UB,7.0,4.6,6.633,0.0,11.233,11.233
Jana ABDELSALAM,EGY,,w,2022 Paris World Challenge Cup,qual,"Paris, France",FX,24.0,4.5,6.6,0.1,11.0,11.0
Jana ABDELSALAM,EGY,,w,2022 Paris World Challenge Cup,qual,"Paris, France",UB,14.0,4.6,7.6,0.0,12.2,12.2
Jana ABDELSALAM,EGY,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,144.0,4.8,5.866,0.0,10.666,10.666
Jana ABDELSALAM,EGY,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,131.0,4.5,7.2,0.3,11.4,11.399999999999999
Jana ABDELSALAM,EGY,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,152.0,3.8,4.433,0.0,8.233,8.233
Jana ABDELSALAM,EGY,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,131.0,4.2,8.5,0.3,12.4,12.399999999999999
Jana ABDELSALAM,EGY,2023-03-12,w,2023 Baku World Cup,qual,"Baku, Azerbaijan",BB,22.0,4.8,6.733,0.0,11.533,11.533
Jana ABDELSALAM,EGY,2023-03-12,w,2023 Baku World Cup,qual,"Baku, Azerbaijan",FX,22.0,4.5,7.366,0.0,11.866,11.866
Jana ABDELSALAM,EGY,2023-04-30,w,2023 Cairo World Cup,final,"Cairo, Egypt",BB,8.0,4.8,6.566,0.0,11.366,11.366
Jana ABDELSALAM,EGY,2023-04-30,w,2023 Cairo World Cup,qual,"Cairo, Egypt",BB,9.0,4.7,7.466,0.0,12.166,12.166
Jana ABDELSALAM,EGY,2023-04-30,w,2023 Cairo World Cup,qual,"Cairo, Egypt",UB,29.0,4.5,6.266,0.0,10.766,10.766
Jana ABDELSALAM,EGY,2023-03-04,w,2023 Doha World Cup,final,"Doha, Qatar",BB,4.0,5.0,8.0,0.0,13.0,13.0
Jana ABDELSALAM,EGY,2023-03-04,w,2023 Doha World Cup,qual,"Doha, Qatar",BB,6.0,5.0,7.933,0.0,12.933,12.933
Jana ABDELSALAM,EGY,2023-03-04,w,2023 Doha World Cup,qual,"Doha, Qatar",UB,21.0,3.8,5.533,0.0,9.333,9.333
Ayesha ABDULLAHI,GBR,2022-03-27,w,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,41.0,3.7,6.5,0.0,10.2,10.2
Ayesha ABDULLAHI,GBR,2022-03-27,w,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,45.0,3.5,6.7,0.0,10.2,10.2
Kumudi Imanya ABEYRATNE,SRI,2022-08-02,w,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",BB,36.0,3.9,5.2,0.0,9.1,9.1
Kumudi Imanya ABEYRATNE,SRI,2022-08-02,w,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,39.0,2.9,4.45,0.0,7.35,7.35
Kumudi Imanya ABEYRATNE,SRI,2022-08-02,w,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",UB,39.0,1.2,4.3,0.0,5.5,5.5
Jana ABOELHASAN,EGY,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,116.0,4.6,5.9,0.0,10.5,10.5
Jana ABOELHASAN,EGY,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,74.0,4.4,7.866,0.0,12.266,12.266
Jana ABOELHASAN,EGY,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,113.0,4.4,6.5,0.0,10.9,10.9
Jana ABOELHASAN,EGY,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,138.0,3.2,8.4,0.0,11.6,11.600000000000001
Jana ABOELHASAN,EGY,,w,2022 Paris World Challenge Cup,qual,"Paris, France",BB,35.0,4.7,5.8,0.0,10.5,10.5
Jana ABOELHASAN,EGY,,w,2022 Paris World Challenge Cup,qual,"Paris, France",FX,27.0,4.4,6.65,0.4,10.65,10.65
Yamilet ABREU,DOM,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",BB,0.0,3.9,6.2,0.0,10.1,10.1
Yamilet ABREU,DOM,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",FX,0.0,5.0,7.467,0.1,12.367,12.366999999999999
Yamilet ABREU,DOM,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",UB,0.0,4.5,7.233,0.0,11.733,11.733
Yamilet ABREU,DOM,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",VT,0.0,4.6,8.067,0.1,12.567,12.567
Ondine ACHAMPONG,GBR,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,15.0,5.7,7.266,0.0,12.966,12.966000000000001
Ondine ACHAMPONG,GBR,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",BB,0.0,5.7,8.0,0.0,13.7,13.7
Ondine ACHAMPONG,GBR,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,16.0,5.3,8.033,0.0,13.333,13.332999999999998
Ondine ACHAMPONG,GBR,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,51.0,5.8,7.033,0.0,12.833,12.833
Ondine ACHAMPONG,GBR,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",VT,0.0,5.0,9.366,0.0,14.366,14.366
Ondine ACHAMPONG,GBR,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,3.0,5.0,9.466,0.0,14.466,14.466
Ondine ACHAMPONG,GBR,2022-03-27,w,2022 British Gymnastics Championships,final,"Liverpool, England",BB,4.0,5.1,7.7,0.0,12.8,12.8
Ondine ACHAMPONG,GBR,2022-03-27,w,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,1.0,5.9,7.75,0.0,13.65,13.65
Ondine ACHAMPONG,GBR,2022-03-27,w,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,12.0,5.2,7.6,0.3,12.5,12.5
Ondine ACHAMPONG,GBR,2022-03-27,w,2022 British Gymnastics Championships,final,"Liverpool, England",UB,5.0,5.6,7.3,0.0,12.9,12.899999999999999
Ondine ACHAMPONG,GBR,2022-03-27,w,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,7.0,5.6,7.5,0.0,13.1,13.1
Ondine ACHAMPONG,GBR,2022-03-27,w,2022 British Gymnastics Championships,qual,"Liverpool, England",VT1,1.0,5.0,9.25,0.0,14.25,14.25
Ondine ACHAMPONG,GBR,2022-08-14,w,2022 Senior European Championships,final,"Munich, Germany",BB,2.0,5.5,7.9,0.0,13.4,13.4
Ondine ACHAMPONG,GBR,2022-08-14,w,2022 Senior European Championships,qual,"Munich, Germany",BB,7.0,5.5,7.766,0.0,13.266,13.266
Ondine ACHAMPONG,GBR,2022-08-14,w,2022 Senior European Championships,TeamFinal,"Munich, Germany",BB,4.0,5.7,8.0,0.0,13.7,13.7
Ondine ACHAMPONG,GBR,2022-08-14,w,2022 Senior European Championships,qual,"Munich, Germany",FX,25.0,5.3,7.566,0.2,12.666,12.666
Ondine ACHAMPONG,GBR,2022-08-14,w,2022 Senior European Championships,qual,"Munich, Germany",UB,43.0,5.8,6.433,0.0,12.233,12.233
Ondine ACHAMPONG,GBR,2022-08-14,w,2022 Senior European Championships,TeamFinal,"Munich, Germany",UB,24.0,5.6,6.833,0.0,12.433,12.433
Ondine ACHAMPONG,GBR,2022-08-14,w,2022 Senior European Championships,qual,"Munich, Germany",VT1,4.0,5.0,8.933,0.0,13.933,13.933
Ondine ACHAMPONG,GBR,2022-08-14,w,2022 Senior European Championships,TeamFinal,"Munich, Germany",VT1,7.0,5.0,8.9,0.0,13.9,13.9
Ondine ACHAMPONG,GBR,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",BB,5.0,5.9,7.7,0.0,13.6,13.600000000000001
Ondine ACHAMPONG,GBR,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,16.0,5.6,7.833,0.0,13.433,13.433
Ondine ACHAMPONG,GBR,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",BB,0.0,6.2,7.733,0.0,13.933,13.933
Ondine ACHAMPONG,GBR,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",FX,17.0,5.3,7.4,0.0,12.7,12.7
Ondine ACHAMPONG,GBR,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,33.0,5.3,7.566,0.0,12.866,12.866
Ondine ACHAMPONG,GBR,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",UB,20.0,4.9,7.633,0.0,12.533,12.533000000000001
Ondine ACHAMPONG,GBR,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,56.0,4.9,7.833,0.0,12.733,12.733
Ondine ACHAMPONG,GBR,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",VT,4.0,5.0,9.133,0.0,14.133,14.133
Ondine ACHAMPONG,GBR,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",VT,0.0,5.0,9.166,0.0,14.166,14.166
Ondine ACHAMPONG,GBR,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,9.0,5.0,9.3,0.0,14.3,14.3
Ondine ACHAMPONG,GBR,2023-03-26,w,2023 British Gymnastics Championships,final,"Liverpool, England",BB,1.0,5.7,8.1,0.0,13.8,13.8
Ondine ACHAMPONG,GBR,2023-03-26,w,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,2.0,5.5,8.3,0.0,13.8,13.8
Ondine ACHAMPONG,GBR,2023-03-26,w,2023 British Gymnastics Championships,final,"Liverpool, England",FX,8.0,5.2,6.75,0.0,11.95,11.95
Ondine ACHAMPONG,GBR,2023-03-26,w,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,4.0,5.3,7.9,0.0,13.2,13.2
Ondine ACHAMPONG,GBR,2023-03-26,w,2023 British Gymnastics Championships,final,"Liverpool, England",UB,5.0,5.8,8.3,0.0,14.1,14.100000000000001
Ondine ACHAMPONG,GBR,2023-03-26,w,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,2.0,5.7,8.0,0.0,13.7,13.7
Ondine ACHAMPONG,GBR,2023-03-26,w,2023 British Gymnastics Championships,qual,"Liverpool, England",VT1,16.0,5.0,9.3,0.0,14.3,14.3
Ondine ACHAMPONG,GBR,2023-04-16,w,2023 Senior European Championships,final,"Antalya, Turkey",BB,4.0,5.9,7.633,0.0,13.533,13.533000000000001
Ondine ACHAMPONG,GBR,2023-04-16,w,2023 Senior European Championships,qual,"Antalya, Turkey",BB,4.0,5.7,7.666,0.0,13.366,13.366
Ondine ACHAMPONG,GBR,2023-04-16,w,2023 Senior European Championships,qual,"Antalya, Turkey",FX,8.0,5.3,7.866,0.0,13.166,13.166
Ondine ACHAMPONG,GBR,2023-04-16,w,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,6.0,5.0,8.966,0.0,13.966,13.966
Ondine ACHAMPONG,ENG,2022-08-02,w,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",BB,4.0,5.7,6.8,0.0,12.5,12.5
