Athlete,fx,hb,pb,ph,sr,vt
adrian de los angeles,14.2,0.0,12.85,12.9,0.0,0.0
akash modi,13.9,13.166,14.533,14.05,14.05,14.2
alec yoder,13.266000000000002,0.0,13.7,15.3,13.5,0.0
alex diab,13.6,12.5,0.0,0.0,14.85,13.85
allan bower,14.2,13.45,0.0,14.55,0.0,0.0
brandon briones,0.0,0.0,0.0,13.7,0.0,0.0
brody malone,0.0,0.0,0.0,13.95,0.0,0.0
cameron bock,14.35,12.45,13.85,13.05,14.05,13.55
colin van wicklen,13.933,13.95,13.7,13.05,14.15,14.225
colt walker,13.1,12.75,13.7,13.45,13.4,14.325
donothan bailey,13.6,0.0,0.0,14.6,0.0,13.925
eddie penev,14.2,0.0,0.0,0.0,0.0,14.375
gage dyer,14.65,13.4,13.85,12.75,12.7,14.325
genki suzuki,0.0,13.35,0.0,0.0,0.0,0.0
genko suzuki,0.0,0.0,0.0,13.85,0.0,0.0
grant breckenridge,0.0,14.1,14.6,13.35,0.0,0.0
ian gunther,13.3,13.45,13.65,13.95,14.0,12.65
isaiah drake,13.65,13.35,13.7,13.4,13.5,14.1
kiwan watts,12.3,13.6,13.85,13.6,13.1,13.525
marvin kimble,0.0,13.85,0.0,14.05,14.6,14.2
matt wenske,0.0,12.5,0.0,13.05,13.65,0.0
michael moran,14.1,0.0,12.45,12.75,0.0,13.425
nicolas kuebler,13.9,13.5,12.95,13.9,13.1,13.4
paul juda,14.25,13.85,13.6,13.75,13.6,13.9
robert neff,13.2,13.0,13.9,14.15,13.15,14.25
sam mikulak,14.6,14.35,14.99,14.5,0.0,0.0
samuel mikulak,14.332999999999998,14.866,15.233,14.333,14.2,0.0
sean melton,13.25,0.0,14.1,13.5,14.4,13.525
shane wiskus,14.2,14.166,14.033,12.866,0.0,14.375
timothy wang,14.0,0.0,13.15,12.85,13.35,13.95
trevor howard,0.0,0.0,0.0,0.0,14.033,0.0
yul moldauer,14.566,13.1,14.5,14.2,14.1,14.4
