iter	Passed	Remaining
0	61	6050
1	62	3041
2	62	2027
3	63	1520
4	64	1219
5	64	1015
6	65	874
7	66	759
8	66	675
9	67	607
10	68	551
11	68	504
12	69	464
13	70	430
14	70	400
15	71	374
16	72	352
17	72	332
18	73	313
19	74	296
20	75	282
21	75	266
22	75	253
23	76	242
24	77	231
25	78	222
26	78	212
27	79	204
28	80	196
29	80	188
30	81	181
31	82	175
32	83	169
33	84	163
34	84	157
35	85	151
36	85	146
37	86	141
38	87	136
39	88	132
40	88	127
41	89	123
42	89	119
43	90	115
44	91	111
45	91	107
46	92	104
47	93	101
48	94	98
49	95	95
50	95	92
51	96	89
52	97	86
53	97	83
54	98	80
55	98	77
56	99	75
57	100	72
58	100	70
59	101	67
60	101	65
61	102	62
62	103	60
63	104	58
64	104	56
65	105	54
66	106	52
67	106	50
68	107	48
69	108	46
70	108	44
71	109	42
72	109	40
73	110	38
74	110	36
75	111	35
76	112	33
77	112	31
78	113	30
79	113	28
80	114	26
81	114	25
82	115	23
83	115	22
84	116	20
85	116	19
86	117	17
87	117	16
88	118	14
89	118	13
90	119	11
91	119	10
92	120	9
93	120	7
94	120	6
95	121	5
96	121	3
97	122	2
98	122	1
99	122	0

