iter	Logloss
0	0.6610955271
1	0.6145708909
2	0.5673725093
3	0.5303975329
4	0.5042370698
5	0.4793317988
6	0.4557885389
7	0.4376101708
8	0.4171111959
9	0.3979571774
10	0.3815161637
11	0.3618061581
12	0.3499256988
13	0.33853688
14	0.3235440548
15	0.3105055049
16	0.3004489548
17	0.2920526766
18	0.2839634653
19	0.2753781402
20	0.2658197756
21	0.2576605
22	0.248926202
23	0.2412104562
24	0.2322909615
25	0.2255036303
26	0.2181932435
27	0.2106488572
28	0.2043438849
29	0.1990736785
30	0.1948116909
31	0.1872116237
32	0.183055689
33	0.1781905195
34	0.1752233632
35	0.1703783595
36	0.1669355611
37	0.1635430235
38	0.1593781838
39	0.1559104494
40	0.1529549695
41	0.1485995866
42	0.1457898987
43	0.1429485524
44	0.1399013135
45	0.1367171801
46	0.1345289248
47	0.1320021467
48	0.1291168872
49	0.1265473868
50	0.1231325332
51	0.1193966406
52	0.1170674198
53	0.1140218601
54	0.1117198833
55	0.1075818066
56	0.1046072501
57	0.1015980589
58	0.09962092191
59	0.09740945274
60	0.09494859725
61	0.09387881703
62	0.09230773231
63	0.09014781556
64	0.08902155552
65	0.08687494301
66	0.0847924599
67	0.08282000902
68	0.08168216835
69	0.07938655256
70	0.07759060976
71	0.07626108044
72	0.07456405529
73	0.07290017903
74	0.07167434853
75	0.06997931028
76	0.06825348038
77	0.06661372922
78	0.06505242747
79	0.06356522381
80	0.06274648981
81	0.06136259408
82	0.0600407399
83	0.05877818103
84	0.05791957765
85	0.05711617212
86	0.05633881418
87	0.0555997621
88	0.05489894901
89	0.0542317943
90	0.05399984633
91	0.05357772233
92	0.05335398872
93	0.0531503184
94	0.05295290582
95	0.0527703608
96	0.0525901525
97	0.05242758204
98	0.05226978482
99	0.05212178548
.04927234028
