iter	Passed	Remaining
0	1	138
1	2	115
2	3	99
3	4	10144	5	9755	5	9366	6	8877	7	8488	7	8099	8	77110	9	75111	9	7212	10	70
13	11	70
14	12	68
15	12	65
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	58
22	17	57
23	17	56
24	18	55
25	19	54
26	20	54
27	20	53
28	21	52
29	22	52
30	23	51
31	23	50
32	24	49
33	25	49
34	26	48
35	26	47
36	27	46
37	28	45
38	28	45
39	29	44
40	30	43
41	31	43
42	32	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	33
54	40	33
55	41	32
56	41	31
57	42	30
58	43	30
59	43	29
60	44	28
61	45	27
62	45	26
63	46	25
64	46	25
65	47	24
66	47	23
67	48	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	54	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	62	6
91	63	5
92	63	4
93	64	4
94	64	3
95	65	2
96	65	2
97	66	1
98	66	0
99	66	0

	71	98	76	0
99	77	0
	0
