Rank,NOC,D,E,Pen.,Total,Name
1,JPN,7.600,8.500,0,16.100 Q,Kenzo SHIRAI
2,CHN,6.700,8.666,0,15.366 Q,Shudi DENG
3,ESP,6.700,8.566,0,15.266 Q,Miguel ZAPATA SANTANA Rayderley
4,KOR,6.800,8.466,0,15.266 Q,Hansol KIM
5,CHI,6.800,8.400,0,15.200 Q,Tomas GONZALEZ
5,GBR,6.800,8.400,0,15.200 Q,Max WHITLOCK
7,CUB,6.800,8.366,0,15.166 Q,Manrique LARDUET
8,GBR,6.500,8.466,0,14.966 Q,Daniel PURVIS
9,MEX,6.400,8.500,0,14.900 R1,Daniel CORRAL
10,BRA,6.400,8.483,0,14.883 R2,Arthur OYAKAWA MARIANO
11,GER,6.400,8.466,0,14.866 R3,Fabian HAMBUECHEN
12,USA,6.700,8.166,0,14.866,Paul RUGGERI III
13,CAN,6.400,8.433,0,14.833,Scott MORGAN
13,SUI,6.400,8.433,0,14.833,Claudio CAPELLI
15,SUI,6.500,8.333,0,14.833,Pablo BRAEGGER
16,JPN,6.300,8.600,0,14.800,Yusuke TANAKA
17,CHN,6.600,8.233,0,14.733,Chaopan LIN
18,BLR,6.100,8.600,0,14.700,Dzmitry BARKALAU
19,NED,6.200,8.466,0,14.666,Bart DEURLOO
20,GBR,6.400,8.533,0,14.633,Kristian THOMAS
21,ESP,6.100,8.533,0,14.633,Nestor ABAD
21,FRA,6.100,8.533,0,14.633,Jim ZONA
21,IRL,6.100,8.533,0,14.633,Kieran BEHAN
24,ESP,6.300,8.333,0,14.633,Adria VERA MORA
25,BEL,6.400,8.233,0,14.633,Siemon VOLKAERT
26,RSA,6.000,8.600,0,14.600,Ryan PATTERSON
26,SUI,6.000,8.600,0,14.600,Oliver HEGI
28,CHN,6.100,8.500,0,14.600,Ruoteng XIAO
28,TPE,6.100,8.500,0,14.600,Kai LEE Chih
30,ESP,6.000,8.566,0,14.566,Alberto TALLON FERNANDEZ
