Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
1,kenzo shirai,JPN,7.6,8.5,0.0,2015,qual,16.1,0
2,shudi deng,CHN,6.7,8.666,0.0,2015,qual,15.366,0
3,miguel zapata santana rayderley,ESP,6.7,8.566,0.0,2015,qual,15.266,1
4,hansol kim,KOR,6.8,8.466,0.0,2015,qual,15.266,0
5,tomas gonzalez,CHI,6.8,8.4,0.0,2015,qual,15.2,0
5,max whitlock,GBR,6.8,8.4,0.0,2015,qual,15.2,0
7,manrique larduet,CUB,6.8,8.366,0.0,2015,qual,15.166,0
8,daniel purvis,GBR,6.5,8.466,0.0,2015,qual,14.966,0
9,daniel corral,MEX,6.4,8.5,0.0,2015,qual,14.9,0
10,arthur oyakawa mariano,BRA,6.4,8.483,0.0,2015,qual,14.883,0
11,fabian hambuechen,GER,6.4,8.466,0.0,2015,qual,14.866,0
12,paul ruggeri iii,USA,6.7,8.166,0.0,2015,qual,14.86,0
13,scott morgan,CAN,6.4,8.433,0.0,2015,qual,14.83,0
13,claudio capelli,SUI,6.4,8.433,0.0,2015,qual,14.83,0
15,pablo braegger,SUI,6.5,8.333,0.0,2015,qual,14.83,0
16,yusuke tanaka,JPN,6.3,8.6,0.0,2015,qual,14.8,0
17,chaopan lin,CHN,6.6,8.233,0.0,2015,qual,14.73,0
18,dzmitry barkalau,BLR,6.1,8.6,0.0,2015,qual,14.7,0
19,bart deurloo,NED,6.2,8.466,0.0,2015,qual,14.66,0
20,kristian thomas,GBR,6.4,8.533,0.0,2015,qual,14.63,0
21,nestor abad,ESP,6.1,8.533,0.0,2015,qual,14.63,0
21,jim zona,FRA,6.1,8.533,0.0,2015,qual,14.63,0
21,kieran behan,IRL,6.1,8.533,0.0,2015,qual,14.63,0
24,adria vera mora,ESP,6.3,8.333,0.0,2015,qual,14.63,0
25,siemon volkaert,BEL,6.4,8.233,0.0,2015,qual,14.63,0
26,ryan patterson,RSA,6.0,8.6,0.0,2015,qual,14.6,0
26,oliver hegi,SUI,6.0,8.6,0.0,2015,qual,14.6,0
28,ruoteng xiao,CHN,6.1,8.5,0.0,2015,qual,14.6,1
28,kai lee chih,TPE,6.1,8.5,0.0,2015,qual,14.6,0
30,alberto tallon fernandez,ESP,6.0,8.566,0.0,2015,qual,14.56,0
30,kazuma kaya,JPN,6.0,8.566,0.0,2015,qual,14.56,0
30,donghyen shin,KOR,6.0,8.566,0.0,2015,qual,14.56,0
33,andreas bretschneider,GER,6.1,8.466,0.0,2015,qual,14.56,0
34,lucas de souza bitencourt,BRA,6.2,8.3,0.0,2015,qual,14.5,0
34,nile wilson,GBR,6.2,8.3,0.0,2015,qual,14.5,0
36,dimitrios markousis,GRE,6.6,7.9,0.0,2015,qual,14.5,0
37,brinn bevan,GBR,6.0,8.466,0.0,2015,qual,14.46,0
38,nikita nagornyy,RUS,6.4,8.366,0.0,2015,qual,14.46,0
39,caio campos souza,BRA,6.5,8.066,0.0,2015,qual,14.46,0
40,nikita ignatyev,RUS,6.2,8.333,0.0,2015,qual,14.43,0
41,alexander naddour,USA,6.4,8.233,0.0,2015,qual,14.43,0
42,kevin cerda gastelum,MEX,6.2,8.3,0.0,2015,qual,14.4,0
43,eddy yusof,SUI,6.3,8.1,0.0,2015,qual,14.4,0
44,casimir schmidt,NED,6.6,7.9,0.0,2015,qual,14.4,0
45,christopher brooks,USA,6.0,8.366,0.0,2015,qual,14.36,0
46,andres martinez moreno,COL,6.2,8.166,0.0,2015,qual,14.36,0
47,danell leyva,USA,6.5,8.066,0.0,2015,qual,14.36,0
48,jeffrey wammes,NED,6.3,8.066,0.0,2015,qual,14.36,0
49,andrey likhovitskiy,BLR,5.6,8.733,0.0,2015,qual,14.33,0
50,paolo principi,ITA,6.0,8.3,0.0,2015,qual,14.3,0
51,christian baumann,SUI,5.7,8.566,0.0,2015,qual,14.26,0
52,arnaud willig,FRA,5.9,8.366,0.0,2015,qual,14.26,0
53,ioan bataga cristian,ROU,6.3,8.066,0.0,2015,qual,14.26,0
54,petro pakhnyuk,AZE,6.4,7.866,0.0,2015,qual,14.26,0
55,oskar kirmes,FIN,5.9,8.433,0.0,2015,qual,14.23,0
56,eleftherios petrounias,GRE,5.8,8.433,0.0,2015,qual,14.23,0
57,rene cournoyer,CAN,6.0,8.233,0.0,2015,qual,14.23,0
58,andrea cingolani,ITA,6.2,8.133,0.0,2015,qual,14.23,0
59,vasile muntean andrei,ROU,6.4,7.833,0.0,2015,qual,14.23,0
60,minsoo park,KOR,6.0,8.2,0.0,2015,qual,14.2,0
61,oleg verniaiev,UKR,6.6,8.0,0.0,2015,qual,14.2,0
62,stian skjerahaug,NOR,5.6,8.566,0.0,2015,qual,14.16,0
63,chenglong zhang,CHN,6.3,7.866,0.0,2015,qual,14.16,0
64,kohei uchimura,JPN,6.9,7.266,0.0,2015,qual,14.16,0
65,hung shek wai,HKG,5.7,8.45,0.0,2015,qual,14.15,0
66,tomas kuzmickas,LTU,6.3,8.133,0.0,2015,qual,14.13,0
67,marcel nguyen,GER,6.0,8.133,0.0,2015,qual,14.13,0
67,andrei ursache alexandru,ROU,6.0,8.133,0.0,2015,qual,14.13,0
69,tarik soto byfield,CRC,6.2,8.033,0.0,2015,qual,14.13,0
70,kevin lytwyn,CAN,6.4,7.733,0.0,2015,qual,14.13,0
71,alexander shatilov,ISR,6.7,7.433,0.0,2015,qual,14.13,0
72,artur davtyan,ARM,5.1,9.008,0.0,2015,qual,14.1,0
73,abdeldjalil bourguieg mohamed,ALG,5.8,8.3,0.0,2015,qual,14.1,0
73,hugh smith jay,CAN,5.8,8.3,0.0,2015,qual,14.1,0
75,eduard shaulov,UZB,6.0,8.1,0.0,2015,qual,14.1,0
76,florian landuyt,BEL,6.2,7.9,0.0,2015,qual,14.1,0
77,reiss beckford,JAM,6.0,8.166,0.0,2015,qual,14.06,0
78,philipp herder,GER,6.0,8.066,0.0,2015,qual,14.06,0
78,mikhail koudinov,NZL,6.0,8.066,0.0,2015,qual,14.06,0
80,anton fokin,UZB,5.5,8.533,0.0,2015,qual,14.03,0
81,cyril tommasone,FRA,5.8,8.333,0.0,2015,qual,14.03,0
82,tristian perez rivera,PUR,5.7,8.333,0.0,2015,qual,14.03,0
83,daniel aguero barrera,PER,6.2,7.833,0.0,2015,qual,14.03,0
84,francisco barretto junior,BRA,5.5,8.5,0.0,2015,qual,14.0,0
85,alexander munoz perez jhonny,COL,5.7,8.3,0.0,2015,qual,14.0,0
86,rafael morales casado,PUR,5.9,8.1,0.0,2015,qual,14.0,0
87,filip ude,CRO,5.5,8.466,0.0,2015,qual,13.96,0
88,gwang ri se,PRK,5.5,8.433,0.0,2015,qual,13.93,0
89,reyland capellan,PHI,6.5,7.733,0.0,2015,qual,13.93,0
90,maksym semiankiv,UKR,5.5,8.5,0.0,2015,qual,13.9,0
91,chih-yu chen,TPE,5.4,8.5,0.0,2015,qual,13.9,0
92,andreas toba,GER,5.7,8.2,0.0,2015,qual,13.9,0
93,donnell whittenburg,USA,6.7,7.2,0.0,2015,qual,13.9,0
94,levente vagner,HUN,5.7,8.166,0.0,2015,qual,13.86,0
95,adam babos,HUN,5.8,8.066,0.0,2015,qual,13.86,0
96,christopher soos,SWE,5.6,8.333,0.0,2015,qual,13.83,0
97,luis rivera,PUR,5.7,8.133,0.0,2015,qual,13.83,0
98,martin angelov,BUL,6.0,7.833,0.0,2015,qual,13.83,0
98,yang liu,CHN,6.0,7.833,0.0,2015,qual,13.83,0
100,vitalijs kardasovs,LAT,5.4,8.4,0.0,2015,qual,13.8,0
101,dzianis sanuvonh,BLR,6.1,7.8,0.0,2015,qual,13.8,0
102,nicola bartolini,ITA,6.3,7.5,0.0,2015,qual,13.8,0
103,mykyta yermak,UKR,5.6,8.191,0.0,2015,qual,13.79,0
104,ruben lopez,ESP,5.7,8.366,0.0,2015,qual,13.76,0
105,david jessen,CZE,5.7,8.066,0.0,2015,qual,13.76,0
106,jimmy verbaeys,BEL,5.9,7.966,0.0,2015,qual,13.76,0
107,andrey medvedev,ISR,6.0,7.766,0.0,2015,qual,13.76,0
108,osvaldo martinez erazun,ARG,5.4,8.333,0.0,2015,qual,13.73,0
108,nikolaos iliopoulos,GRE,5.4,8.333,0.0,2015,qual,13.73,0
110,frank rijken,NED,5.9,7.833,0.0,2015,qual,13.73,0
111,andrew smith,IRL,6.2,7.533,0.0,2015,qual,13.73,0
112,marcus frandsen,DEN,5.3,8.4,0.0,2015,qual,13.7,0
113,martin konecny,CZE,5.5,8.2,0.0,2015,qual,13.7,0
114,aleksandar batinkov,BUL,5.6,8.083,0.0,2015,qual,13.68,0
115,arthur zanetti,BRA,6.2,7.466,0.0,2015,qual,13.66,0
116,marian dragulescu,ROU,6.7,6.966,0.0,2015,qual,13.66,0
117,rokas guscinas,LTU,4.9,8.733,0.0,2015,qual,13.63,0
118,chiang huang ko,TPE,5.4,8.333,0.0,2015,qual,13.63,0
119,ilya yakauleu,BLR,5.6,8.233,0.0,2015,qual,13.63,0
120,junho lee,KOR,6.0,7.633,0.0,2015,qual,13.63,0
121,alexis torres,PUR,6.1,7.533,0.0,2015,qual,13.63,0
122,anderson loran,CAN,5.7,8.216,0.0,2015,qual,13.61,0
123,ashish kumar,IND,6.4,7.416,0.0,2015,qual,13.61,0
124,yordan aleksandrov,BUL,5.4,8.2,0.0,2015,qual,13.6,0
125,ferhat arican,TUR,5.8,7.8,0.0,2015,qual,13.6,0
126,heikki niva,FIN,5.3,8.266,0.0,2015,qual,13.56,0
127,chien hsu ping,TPE,5.4,8.166,0.0,2015,qual,13.56,0
127,ibrahim colak,TUR,5.4,8.166,0.0,2015,qual,13.56,0
129,fabian leimlehner,AUT,5.5,8.066,0.0,2015,qual,13.56,0
130,ivan vargovsky,SVK,5.8,7.866,0.0,2015,qual,13.56,0
131,tee kriangkum robert,THA,5.8,7.766,0.0,2015,qual,13.56,0
132,bernardo da costa almeida,POR,5.4,8.133,0.0,2015,qual,13.53,0
133,artem dolgopyat,ISR,6.4,7.133,0.0,2015,qual,13.53,1
134,nicolas cordoba,ARG,5.4,8.1,0.0,2015,qual,13.5,0
135,audrys nin reyes,DOM,6.2,7.283,0.0,2015,qual,13.48,0
136,federico molinari,ARG,4.9,8.566,0.0,2015,qual,13.46,0
137,michael trane,SWE,5.1,8.366,0.0,2015,qual,13.46,0
138,mohamed ahmed amr essam,EGY,5.3,8.166,0.0,2015,qual,13.46,0
139,ilya kornev,KAZ,5.7,7.741,0.0,2015,qual,13.44,0
140,stepan gorbachev,KAZ,5.5,8.033,0.0,2015,qual,13.43,0
141,maxime gentges,BEL,5.7,7.833,0.0,2015,qual,13.43,0
142,junior rojo mendoza,VEN,5.6,7.833,0.0,2015,qual,13.43,0
143,gustavo palma simoes,POR,5.8,7.733,0.0,2015,qual,13.43,0
