Rank,NOC,D,E,Pen.,Total,Name
1,USA,7.300,8.266,0,15.566 Q,Danell LEYVA
2,JPN,7.100,8.266,0,15.366 Q,Kohei UCHIMURA
3,BRA,6.500,8.800,0,15.300 Q,Arthur OYAKAWA MARIANO
4,GER,6.900,8.300,0,15.200 Q,Fabian HAMBUECHEN
5,GER,6.600,8.466,0,15.066 Q,Andreas BRETSCHNEIDER
6,USA,6.800,8.266,0,15.066 Q,Christopher BROOKS
7,CUB,7.000,8.058,0,15.058 Q,Manrique LARDUET
8,SUI,6.500,8.533,0,15.033 Q,Oliver HEGI
9,SUI,7.000,8.033,0,15.033 R1,Pablo BRAEGGER
10,JPN,6.400,8.600,0,15.000 R2,Ryohei KATO
11,JPN,6.800,8.200,0,15.000,Yusuke TANAKA
12,CHN,7.400,7.600,0,15.000 R3,Chenglong ZHANG
13,RUS,6.400,8.566,0,14.966,David BELYAVSKIY
14,GBR,6.300,8.600,0,14.900,Nile WILSON
15,BRA,6.100,8.766,0,14.866,Lucas de SOUZA BITENCOURT
16,RUS,6.800,8.033,0,14.833,Nikita IGNATYEV
17,RUS,6.800,8.000,0,14.800,Nikolai KUKSENKOV
18,CHN,6.400,8.300,0,14.700,Hao YOU
19,CHN,6.800,7.900,0,14.700,Shudi DENG
20,GBR,6.500,8.166,0,14.666,Kristian THOMAS
21,GER,6.700,7.958,0,14.658,Marcel NGUYEN
22,KOR,6.100,8.500,0,14.600,Wonchul YOO
23,JPN,6.400,8.133,0,14.533,Naoto HAYASAKA
24,JPN,6.600,7.933,0,14.533,Kazuma KAYA
25,CUB,6.900,7.633,0,14.533,Randy LERU
26,CHN,6.800,7.666,0,14.466,Ruoteng XIAO
27,GRE,6.800,7.566,0,14.366,Vlasios MARAS
28,FRA,6.500,7.833,0,14.333,Axel AUGIS
29,FRA,6.200,8.100,0,14.300,Hamilton SABOT
30,UKR,6.500,7.800,0,14.300,Oleg VERNIAIEV
31,NED,7.200,7.100,0,14.300,Epke ZONDERLAND
32,GER,5.600,8.666,0,14.266,Sebastian KRIMMER
33,GBR,5.900,8.366,0,14.266,Daniel PURVIS
34,COL,6.100,8.133,0,14.233,Carlos CALVO
34,ESP,6.100,8.133,0,14.233,Ruben LOPEZ
34,SUI,6.100,8.133,0,14.233,Christian BAUMANN
37,BRA,6.200,8.033,0,14.233,Caio CAMPOS SOUZA
38,MEX,6.300,7.933,0,14.233,Kevin CERDA GASTELUM
39,CRO,6.200,8.000,0,14.200,Marijo MOZNIK
40,CYP,5.600,8.566,0,14.166,Marios GEORGIOU
41,FRA,5.900,8.266,0,14.166,Arnaud WILLIG
,,,,0,Official Results Provider,
,,,,0,Page 1/6,22:07 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
42,SUI,6.000,8.166,0,14.166,Pascal BUCHER
43,FRA,6.100,8.066,0,14.166,Jim ZONA
44,BEL,5.800,8.333,0,14.133,Florian LANDUYT
45,BLR,6.200,7.933,0,14.133,Dzmitry BARKALAU
46,PUR,6.100,8.000,0,14.100,Luis RIVERA
47,AUS,6.400,7.700,0,14.100,Luke WIWATOWSKI
47,TUR,6.400,7.700,0,14.100,Umit SAMILOGLU
49,KOR,6.100,7.966,0,14.066,Minsoo PARK
50,BRA,6.200,7.866,0,14.066,Pericles FOURO da SILVA
51,KOR,6.300,7.766,0,14.066,Sangwook LEE
52,LTU,5.400,8.633,0,14.033,Robert TVOROGAL
53,SLO,6.100,7.933,0,14.033,Alen DIMIC
54,CAN,6.800,7.233,0,14.033,Kevin LYTWYN
55,NED,6.300,7.700,0,14.000,Bart DEURLOO
56,NED,5.900,8.066,0,13.966,Jeffrey WAMMES
57,COL,6.200,7.766,0,13.966,Alexander MUNOZ PEREZ Jhonny
58,ARG,6.400,7.566,0,13.966,Nicolas CORDOBA
58,BLR,6.400,7.566,0,13.966,Andrey LIKHOVITSKIY
58,CZE,6.400,7.566,0,13.966,Martin KONECNY
61,GER,6.600,7.366,0,13.966,Andreas TOBA
62,CHN,6.800,7.166,0,13.966,Chaopan LIN
63,PUR,6.100,7.833,0,13.933,Nestor RODRIGUEZ COLON
64,CAN,5.400,8.433,0,13.833,Rene COURNOYER
64,MEX,5.400,8.433,0,13.833,Daniel CORRAL
66,CRO,5.700,8.133,0,13.833,Filip UDE
67,SVK,5.800,8.033,0,13.833,Samuel PIASECKY
68,ITA,5.900,7.933,0,13.833,Paolo OTTAVI
69,DOM,6.000,7.833,0,13.833,Audrys NIN REYES
69,ITA,6.000,7.833,0,13.833,Paolo PRINCIPI
71,USA,6.700,7.133,0,13.833,Donnell WHITTENBURG
72,COL,5.800,8.000,0,13.800,Jorge GIRALDO
73,IRL,5.000,8.766,0,13.766,Kieran BEHAN
74,CZE,5.600,8.166,0,13.766,David JESSEN
75,BEL,5.700,8.066,0,13.766,Bram LOUWIJE
76,BUL,6.100,7.666,0,13.766,Aleksandar BATINKOV
77,GRE,5.200,8.500,0,13.700,Nikolaos ILIOPOULOS
78,LTU,5.500,8.200,0,13.700,Tomas KUZMICKAS
78,RSA,5.500,8.200,0,13.700,Ryan PATTERSON
80,SRB,5.100,8.566,0,13.666,Bojan DEJANOVIC
81,POR,5.500,8.166,0,13.666,Gustavo PALMA SIMOES
82,COL,5.700,7.966,0,13.666,Andres MARTINEZ MORENO
,,,,0,Official Results Provider,
,,,,0,Page 2/6,22:07 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
83,KOR,5.700,7.933,0,13.633,Junho LEE
83,NOR,5.700,7.933,0,13.633,Pietro GIACHINO
85,ITA,5.900,7.733,0,13.633,Mattia TAMIAZZO
86,ROU,6.200,7.433,0,13.633,Laurentiu NISTOR Ioan
87,USA,5.400,8.200,0,13.600,Brandon WYNN
88,TUR,5.500,8.100,0,13.600,Ferhat ARICAN
89,GBR,6.300,7.300,0,13.600,Max WHITLOCK
90,ESP,5.400,8.166,0,13.566,Alberto TALLON FERNANDEZ
90,POR,5.400,8.166,0,13.566,Bernardo da COSTA ALMEIDA
92,CAN,6.200,7.366,0,13.566,Anderson LORAN
93,PRK,6.300,7.266,0,13.566,Hyok HAN Jong
94,NED,5.300,8.233,0,13.533,Frank RIJKEN
94,NOR,5.300,8.233,0,13.533,Stian SKJERAHAUG
96,CHI,5.400,8.133,0,13.533,Christian BRUNO DECIDET
97,ARG,5.500,8.033,0,13.533,Osvaldo MARTINEZ ERAZUN
98,ITA,6.200,7.333,0,13.533,Ludovico EDALLI
99,AUS,5.300,8.200,0,13.500,Naoya TSUKAHARA
100,SUI,5.500,8.000,0,13.500,Eddy YUSOF
101,AZE,5.900,7.600,0,13.500,Oleg STEPKO
102,ISR,5.300,8.166,0,13.466,Artem DOLGOPYAT
103,FIN,5.500,7.966,0,13.466,Oskar KIRMES
104,ESP,5.900,7.566,0,13.466,Adria VERA MORA
105,ALG,6.000,7.466,0,13.466,Mohamed REGHIB
