Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
1,danell leyva,USA,7.3,8.266,0.0,2015,qual,15.566,0
2,kohei uchimura,JPN,7.1,8.266,0.0,2015,qual,15.366,0
3,arthur oyakawa mariano,BRA,6.5,8.8,0.0,2015,qual,15.3,0
4,fabian hambuechen,GER,6.9,8.3,0.0,2015,qual,15.2,0
5,andreas bretschneider,GER,6.6,8.466,0.0,2015,qual,15.066,0
6,christopher brooks,USA,6.8,8.266,0.0,2015,qual,15.066,0
7,manrique larduet,CUB,7.0,8.058,0.0,2015,qual,15.058,0
8,oliver hegi,SUI,6.5,8.533,0.0,2015,qual,15.033,0
9,pablo braegger,SUI,7.0,8.033,0.0,2015,qual,15.033,0
10,ryohei kato,JPN,6.4,8.6,0.0,2015,qual,15.0,0
11,yusuke tanaka,JPN,6.8,8.2,0.0,2015,qual,15.0,0
12,chenglong zhang,CHN,7.4,7.6,0.0,2015,qual,15.0,0
13,david belyavskiy,RUS,6.4,8.566,0.0,2015,qual,14.96,0
14,nile wilson,GBR,6.3,8.6,0.0,2015,qual,14.9,0
15,lucas de souza bitencourt,BRA,6.1,8.766,0.0,2015,qual,14.86,0
16,nikita ignatyev,RUS,6.8,8.033,0.0,2015,qual,14.83,0
17,nikolai kuksenkov,RUS,6.8,8.0,0.0,2015,qual,14.8,0
18,hao you,CHN,6.4,8.3,0.0,2015,qual,14.7,0
19,shudi deng,CHN,6.8,7.9,0.0,2015,qual,14.7,0
20,kristian thomas,GBR,6.5,8.166,0.0,2015,qual,14.66,0
21,marcel nguyen,GER,6.7,7.958,0.0,2015,qual,14.65,0
22,wonchul yoo,KOR,6.1,8.5,0.0,2015,qual,14.6,0
23,naoto hayasaka,JPN,6.4,8.133,0.0,2015,qual,14.53,0
24,kazuma kaya,JPN,6.6,7.933,0.0,2015,qual,14.53,0
25,randy leru,CUB,6.9,7.633,0.0,2015,qual,14.53,0
26,ruoteng xiao,CHN,6.8,7.666,0.0,2015,qual,14.46,0
27,vlasios maras,GRE,6.8,7.566,0.0,2015,qual,14.36,0
28,axel augis,FRA,6.5,7.833,0.0,2015,qual,14.33,0
29,hamilton sabot,FRA,6.2,8.1,0.0,2015,qual,14.3,0
30,oleg verniaiev,UKR,6.5,7.8,0.0,2015,qual,14.3,0
31,epke zonderland,NED,7.2,7.1,0.0,2015,qual,14.3,0
32,sebastian krimmer,GER,5.6,8.666,0.0,2015,qual,14.26,0
33,daniel purvis,GBR,5.9,8.366,0.0,2015,qual,14.26,0
34,carlos calvo,COL,6.1,8.133,0.0,2015,qual,14.23,0
34,ruben lopez,ESP,6.1,8.133,0.0,2015,qual,14.23,0
34,christian baumann,SUI,6.1,8.133,0.0,2015,qual,14.23,0
37,caio campos souza,BRA,6.2,8.033,0.0,2015,qual,14.23,0
38,kevin cerda gastelum,MEX,6.3,7.933,0.0,2015,qual,14.23,0
39,marijo moznik,CRO,6.2,8.0,0.0,2015,qual,14.2,0
40,marios georgiou,CYP,5.6,8.566,0.0,2015,qual,14.16,0
41,arnaud willig,FRA,5.9,8.266,0.0,2015,qual,14.16,0
42,pascal bucher,SUI,6.0,8.166,0.0,2015,qual,14.16,0
43,jim zona,FRA,6.1,8.066,0.0,2015,qual,14.16,0
44,florian landuyt,BEL,5.8,8.333,0.0,2015,qual,14.13,0
45,dzmitry barkalau,BLR,6.2,7.933,0.0,2015,qual,14.13,0
46,luis rivera,PUR,6.1,8.0,0.0,2015,qual,14.1,0
47,luke wiwatowski,AUS,6.4,7.7,0.0,2015,qual,14.1,0
47,umit samiloglu,TUR,6.4,7.7,0.0,2015,qual,14.1,0
49,minsoo park,KOR,6.1,7.966,0.0,2015,qual,14.06,0
50,pericles fouro da silva,BRA,6.2,7.866,0.0,2015,qual,14.06,0
51,sangwook lee,KOR,6.3,7.766,0.0,2015,qual,14.06,0
52,robert tvorogal,LTU,5.4,8.633,0.0,2015,qual,14.03,0
53,alen dimic,SLO,6.1,7.933,0.0,2015,qual,14.03,0
54,kevin lytwyn,CAN,6.8,7.233,0.0,2015,qual,14.03,0
55,bart deurloo,NED,6.3,7.7,0.0,2015,qual,14.0,0
56,jeffrey wammes,NED,5.9,8.066,0.0,2015,qual,13.96,0
57,alexander munoz perez jhonny,COL,6.2,7.766,0.0,2015,qual,13.96,0
58,nicolas cordoba,ARG,6.4,7.566,0.0,2015,qual,13.96,0
58,andrey likhovitskiy,BLR,6.4,7.566,0.0,2015,qual,13.96,0
58,martin konecny,CZE,6.4,7.566,0.0,2015,qual,13.96,0
61,andreas toba,GER,6.6,7.366,0.0,2015,qual,13.96,0
62,chaopan lin,CHN,6.8,7.166,0.0,2015,qual,13.96,0
63,nestor rodriguez colon,PUR,6.1,7.833,0.0,2015,qual,13.93,0
64,rene cournoyer,CAN,5.4,8.433,0.0,2015,qual,13.83,0
64,daniel corral,MEX,5.4,8.433,0.0,2015,qual,13.83,0
66,filip ude,CRO,5.7,8.133,0.0,2015,qual,13.83,0
67,samuel piasecky,SVK,5.8,8.033,0.0,2015,qual,13.83,0
68,paolo ottavi,ITA,5.9,7.933,0.0,2015,qual,13.83,0
69,audrys nin reyes,DOM,6.0,7.833,0.0,2015,qual,13.83,0
69,paolo principi,ITA,6.0,7.833,0.0,2015,qual,13.83,0
71,donnell whittenburg,USA,6.7,7.133,0.0,2015,qual,13.83,0
72,jorge giraldo,COL,5.8,8.0,0.0,2015,qual,13.8,0
73,kieran behan,IRL,5.0,8.766,0.0,2015,qual,13.76,0
74,david jessen,CZE,5.6,8.166,0.0,2015,qual,13.76,0
75,bram louwije,BEL,5.7,8.066,0.0,2015,qual,13.76,0
76,aleksandar batinkov,BUL,6.1,7.666,0.0,2015,qual,13.76,0
77,nikolaos iliopoulos,GRE,5.2,8.5,0.0,2015,qual,13.7,0
78,tomas kuzmickas,LTU,5.5,8.2,0.0,2015,qual,13.7,0
78,ryan patterson,RSA,5.5,8.2,0.0,2015,qual,13.7,0
80,bojan dejanovic,SRB,5.1,8.566,0.0,2015,qual,13.66,0
81,gustavo palma simoes,POR,5.5,8.166,0.0,2015,qual,13.66,0
82,andres martinez moreno,COL,5.7,7.966,0.0,2015,qual,13.66,0
83,junho lee,KOR,5.7,7.933,0.0,2015,qual,13.63,0
83,pietro giachino,NOR,5.7,7.933,0.0,2015,qual,13.63,0
85,mattia tamiazzo,ITA,5.9,7.733,0.0,2015,qual,13.63,0
86,laurentiu nistor ioan,ROU,6.2,7.433,0.0,2015,qual,13.63,0
87,brandon wynn,USA,5.4,8.2,0.0,2015,qual,13.6,0
88,ferhat arican,TUR,5.5,8.1,0.0,2015,qual,13.6,0
89,max whitlock,GBR,6.3,7.3,0.0,2015,qual,13.6,0
90,alberto tallon fernandez,ESP,5.4,8.166,0.0,2015,qual,13.56,0
90,bernardo da costa almeida,POR,5.4,8.166,0.0,2015,qual,13.56,0
92,anderson loran,CAN,6.2,7.366,0.0,2015,qual,13.56,0
93,hyok han jong,PRK,6.3,7.266,0.0,2015,qual,13.56,0
94,frank rijken,NED,5.3,8.233,0.0,2015,qual,13.53,0
94,stian skjerahaug,NOR,5.3,8.233,0.0,2015,qual,13.53,0
96,christian bruno decidet,CHI,5.4,8.133,0.0,2015,qual,13.53,0
97,osvaldo martinez erazun,ARG,5.5,8.033,0.0,2015,qual,13.53,0
98,ludovico edalli,ITA,6.2,7.333,0.0,2015,qual,13.53,0
99,naoya tsukahara,AUS,5.3,8.2,0.0,2015,qual,13.5,0
100,eddy yusof,SUI,5.5,8.0,0.0,2015,qual,13.5,0
101,oleg stepko,AZE,5.9,7.6,0.0,2015,qual,13.5,0
102,artem dolgopyat,ISR,5.3,8.166,0.0,2015,qual,13.46,0
103,oskar kirmes,FIN,5.5,7.966,0.0,2015,qual,13.46,0
