Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
1,oleg verniaiev,UKR,7.1,9.033,0.0,2015,qual,16.133,0
2,yusuke tanaka,JPN,6.6,9.158,0.0,2015,qual,15.758,0
3,oleg stepko,AZE,7.0,8.7,0.0,2015,qual,15.7,0
4,hao you,CHN,7.3,8.4,0.0,2015,qual,15.7,0
5,manrique larduet,CUB,6.7,8.966,0.0,2015,qual,15.666,0
6,danell leyva,USA,6.9,8.733,0.0,2015,qual,15.633,0
7,shudi deng,CHN,7.1,8.433,0.0,2015,qual,15.533,0
8,nile wilson,GBR,6.6,8.9,0.0,2015,qual,15.5,0
9,axel augis,FRA,6.8,8.7,0.0,2015,qual,15.5,0
10,kohei uchimura,JPN,6.5,8.966,0.0,2015,qual,15.466,0
11,chenglong zhang,CHN,6.5,8.933,0.0,2015,qual,15.43,0
12,chaopan lin,CHN,7.0,8.433,0.0,2015,qual,15.43,0
13,david belyavskiy,RUS,6.6,8.8,0.0,2015,qual,15.4,0
14,wonchul yoo,KOR,6.6,8.775,0.0,2015,qual,15.37,0
15,daniel purvis,GBR,6.5,8.858,0.0,2015,qual,15.35,0
16,nikita nagornyy,RUS,6.4,8.933,0.0,2015,qual,15.33,0
17,epke zonderland,NED,6.5,8.833,0.0,2015,qual,15.33,0
17,daniel berbecar marius,ROU,6.5,8.833,0.0,2015,qual,15.33,0
19,nikolai kuksenkov,RUS,6.6,8.733,0.0,2015,qual,15.33,0
19,pascal bucher,SUI,6.6,8.733,0.0,2015,qual,15.33,0
19,ferhat arican,TUR,6.6,8.733,0.0,2015,qual,15.33,1
22,daniel corral,MEX,6.8,8.533,0.0,2015,qual,15.33,0
23,mikhail koudinov,NZL,6.6,8.666,0.0,2015,qual,15.26,0
24,eddy yusof,SUI,6.4,8.833,0.0,2015,qual,15.23,0
25,hung shek wai,HKG,6.5,8.733,0.0,2015,qual,15.23,0
26,aliaksandr tsarevich,BLR,6.6,8.633,0.0,2015,qual,15.23,0
26,kazuma kaya,JPN,6.6,8.633,0.0,2015,qual,15.23,0
28,jorge giraldo,COL,6.4,8.8,0.0,2015,qual,15.2,0
29,marcel nguyen,GER,6.7,8.5,0.0,2015,qual,15.2,0
29,hung pham phuoc,VIE,6.7,8.5,0.0,2015,qual,15.2,0
31,kenzo shirai,JPN,6.3,8.866,0.0,2015,qual,15.16,0
32,fabian hambuechen,GER,6.1,9.033,0.0,2015,qual,15.13,0
33,pablo braegger,SUI,6.3,8.833,0.0,2015,qual,15.13,0
34,orlando calvo moreno jossimar,COL,6.9,8.233,0.0,2015,qual,15.13,0
35,philipp herder,GER,6.4,8.7,0.0,2015,qual,15.1,0
36,minsoo park,KOR,6.5,8.6,0.0,2015,qual,15.1,0
37,ruoteng xiao,CHN,6.0,9.033,0.0,2015,qual,15.03,0
38,christian baumann,SUI,6.4,8.633,0.0,2015,qual,15.03,0
39,vasile muntean andrei,ROU,6.2,8.8,0.0,2015,qual,15.0,0
40,ruben lopez,ESP,6.5,8.5,0.0,2015,qual,15.0,0
41,francisco barretto junior,BRA,6.4,8.566,0.0,2015,qual,14.96,0
42,hamilton sabot,FRA,6.5,8.466,0.0,2015,qual,14.96,0
43,cyril tommasone,FRA,6.2,8.733,0.0,2015,qual,14.93,0
44,andrey likhovitskiy,BLR,6.0,8.9,0.0,2015,qual,14.9,0
45,nestor abad,ESP,6.4,8.5,0.0,2015,qual,14.9,0
46,nikolaos iliopoulos,GRE,6.0,8.866,0.0,2015,qual,14.86,0
47,jimmy verbaeys,BEL,6.2,8.666,0.0,2015,qual,14.86,0
48,vasili mikhalitsyn,BLR,6.5,8.3,0.0,2015,qual,14.8,0
49,sebastian krimmer,GER,6.1,8.666,0.0,2015,qual,14.76,0
50,sangwook lee,KOR,6.3,8.466,0.0,2015,qual,14.76,0
51,andreas bretschneider,GER,6.5,8.266,0.0,2015,qual,14.76,0
52,kai lee chih,TPE,5.7,9.033,0.0,2015,qual,14.73,0
53,paul ruggeri iii,USA,6.3,8.433,0.0,2015,qual,14.73,0
54,max whitlock,GBR,6.2,8.5,0.0,2015,qual,14.7,0
55,david jessen,CZE,5.8,8.866,0.0,2015,qual,14.66,0
56,carlos calvo,COL,6.2,8.466,0.0,2015,qual,14.66,0
57,florian landuyt,BEL,6.5,8.166,0.0,2015,qual,14.66,0
58,ivan stretovich,RUS,5.9,8.733,0.0,2015,qual,14.63,0
59,jim zona,FRA,6.2,8.433,0.0,2015,qual,14.63,0
60,brandon wynn,USA,6.6,8.033,0.0,2015,qual,14.63,0
61,donnell whittenburg,USA,6.9,7.733,0.0,2015,qual,14.63,0
62,junho lee,KOR,5.8,8.8,0.0,2015,qual,14.6,0
62,donghyen shin,KOR,5.8,8.8,0.0,2015,qual,14.6,0
64,kenneth ikeda,CAN,6.0,8.6,0.0,2015,qual,14.6,0
65,alexander munoz perez jhonny,COL,5.9,8.666,0.0,2015,qual,14.56,0
66,fabian de luna,MEX,6.0,8.566,0.0,2015,qual,14.56,0
67,dzmitry barkalau,BLR,5.7,8.833,0.0,2015,qual,14.53,0
67,kristopher bohorquez cantor,COL,5.7,8.833,0.0,2015,qual,14.53,0
69,arnaud willig,FRA,5.8,8.733,0.0,2015,qual,14.53,0
70,tomas gonzalez,CHI,5.9,8.633,0.0,2015,qual,14.53,0
71,arthur oyakawa mariano,BRA,6.0,8.533,0.0,2015,qual,14.53,0
72,volodymyr okachev,UKR,6.2,8.333,0.0,2015,qual,14.53,0
73,ioan bataga cristian,ROU,5.8,8.7,0.0,2015,qual,14.5,0
74,nestor rodriguez colon,PUR,6.3,8.2,0.0,2015,qual,14.5,0
75,randy leru,CUB,6.7,7.8,0.0,2015,qual,14.5,0
