Rank,NOC,D,E,Pen.,Total,Name
1,GBR,6.900,8.633,0,15.533 Q,Louis SMITH
2,ARM,6.700,8.766,0,15.466 Q,Harutyun MERDINYAN
3,CRO,6.600,8.800,0,15.400 Q,Robert SELIGMAN
4,JPN,6.800,8.500,0,15.300 Q,Kazuma KAYA
5,USA,6.800,8.466,0,15.266 Q,Alexander NADDOUR
6,GBR,7.200,8.066,0,15.266 Q,Max WHITLOCK
7,HUN,6.600,8.566,0,15.166 Q,Vid HIDVEGI
8,UKR,7.000,8.166,0,15.166 Q,Oleg VERNIAIEV
9,JPN,6.200,8.933,0,15.133 R1,Kohei UCHIMURA
10,CHN,6.900,8.233,0,15.133 R2,Ruoteng XIAO
11,HUN,6.300,8.666,0,14.966 R3,Krisztian BERKI
12,RUS,6.300,8.600,0,14.900,David BELYAVSKIY
13,CRO,6.400,8.500,0,14.900,Filip UDE
14,RUS,6.200,8.600,0,14.800,Nikolai KUKSENKOV
15,SUI,6.300,8.500,0,14.800,Christian BAUMANN
16,LTU,6.000,8.733,0,14.733,Rokas GUSCINAS
17,SLO,6.500,8.200,0,14.700,Saso BERTONCELJ
18,BLR,6.100,8.566,0,14.666,Vasili MIKHALITSYN
19,GBR,6.500,8.166,0,14.666,Brinn BEVAN
20,BLR,6.400,8.233,0,14.633,Andrey LIKHOVITSKIY
21,NED,6.200,8.400,0,14.600,Bart DEURLOO
22,TPE,6.100,8.466,0,14.566,Kai LEE Chih
23,JPN,6.200,8.366,0,14.566,Ryohei KATO
24,RUS,6.000,8.533,0,14.533,Nikita NAGORNYY
24,RUS,6.000,8.533,0,14.533,Ivan STRETOVICH
26,BRA,6.100,8.433,0,14.533,Arthur OYAKAWA MARIANO
27,KOR,5.900,8.600,0,14.500,Minsoo PARK
28,GBR,6.100,8.366,0,14.466,Daniel PURVIS
29,ROU,6.500,7.966,0,14.466,Andrei URSACHE Alexandru
30,USA,6.400,8.033,0,14.433,Danell LEYVA
31,SVK,6.300,8.100,0,14.400,Slavomir MICHNAK
32,BRA,6.200,8.166,0,14.366,Francisco BARRETTO JUNIOR
33,BLR,6.000,8.333,0,14.333,Dzmitry BARKALAU
34,ROU,6.600,7.733,0,14.333,Ioan BATAGA Cristian
35,BEL,5.600,8.700,0,14.300,Bram LOUWIJE
36,LAT,6.000,8.300,0,14.300,Dmitrijs TREFILOVS
37,GRE,6.100,8.200,0,14.300,Christos CHATZIEFSTATHIOU Georgios
38,BEL,5.900,8.366,0,14.266,Siemon VOLKAERT
39,BRA,6.300,7.966,0,14.266,Pericles FOURO da SILVA
