Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
1,louis smith,GBR,6.9,8.633,0.0,2015,qual,15.533,0
2,harutyun merdinyan,ARM,6.7,8.766,0.0,2015,qual,15.466,0
3,robert seligman,CRO,6.6,8.8,0.0,2015,qual,15.4,0
4,kazuma kaya,JPN,6.8,8.5,0.0,2015,qual,15.3,1
5,alexander naddour,USA,6.8,8.466,0.0,2015,qual,15.266,0
6,max whitlock,GBR,7.2,8.066,0.0,2015,qual,15.266,1
7,vid hidvegi,HUN,6.6,8.566,0.0,2015,qual,15.166,0
8,oleg verniaiev,UKR,7.0,8.166,0.0,2015,qual,15.166,0
9,kohei uchimura,JPN,6.2,8.933,0.0,2015,qual,15.133,0
10,ruoteng xiao,CHN,6.9,8.233,0.0,2015,qual,15.133,0
11,krisztian berki,HUN,6.3,8.666,0.0,2015,qual,14.966,0
12,david belyavskiy,RUS,6.3,8.6,0.0,2015,qual,14.9,0
13,filip ude,CRO,6.4,8.5,0.0,2015,qual,14.9,0
14,nikolai kuksenkov,RUS,6.2,8.6,0.0,2015,qual,14.8,0
15,christian baumann,SUI,6.3,8.5,0.0,2015,qual,14.8,0
16,rokas guscinas,LTU,6.0,8.733,0.0,2015,qual,14.73,0
17,saso bertoncelj,SLO,6.5,8.2,0.0,2015,qual,14.7,0
18,vasili mikhalitsyn,BLR,6.1,8.566,0.0,2015,qual,14.66,0
19,brinn bevan,GBR,6.5,8.166,0.0,2015,qual,14.66,0
20,andrey likhovitskiy,BLR,6.4,8.233,0.0,2015,qual,14.63,0
21,bart deurloo,NED,6.2,8.4,0.0,2015,qual,14.6,0
22,kai lee chih,TPE,6.1,8.466,0.0,2015,qual,14.56,1
23,ryohei kato,JPN,6.2,8.366,0.0,2015,qual,14.56,0
24,nikita nagornyy,RUS,6.0,8.533,0.0,2015,qual,14.53,0
24,ivan stretovich,RUS,6.0,8.533,0.0,2015,qual,14.53,0
26,arthur oyakawa mariano,BRA,6.1,8.433,0.0,2015,qual,14.53,0
27,minsoo park,KOR,5.9,8.6,0.0,2015,qual,14.5,0
28,daniel purvis,GBR,6.1,8.366,0.0,2015,qual,14.46,0
29,andrei ursache alexandru,ROU,6.5,7.966,0.0,2015,qual,14.46,0
30,danell leyva,USA,6.4,8.033,0.0,2015,qual,14.43,0
31,slavomir michnak,SVK,6.3,8.1,0.0,2015,qual,14.4,0
32,francisco barretto junior,BRA,6.2,8.166,0.0,2015,qual,14.36,0
33,dzmitry barkalau,BLR,6.0,8.333,0.0,2015,qual,14.33,0
34,ioan bataga cristian,ROU,6.6,7.733,0.0,2015,qual,14.33,0
35,bram louwije,BEL,5.6,8.7,0.0,2015,qual,14.3,0
36,dmitrijs trefilovs,LAT,6.0,8.3,0.0,2015,qual,14.3,0
