Rank,NOC,D,E,Pen.,Total,Name
1,GRE,6.800,9.100,0,15.900 Q,Eleftherios PETROUNIAS
2,CHN,6.900,8.966,0,15.866 Q,Yang LIU
3,USA,6.800,8.808,0,15.608 Q,Brandon WYNN
4,ARM,6.600,8.966,0,15.566 Q,Davtyan VAHAGN
5,FRA,6.800,8.766,0,15.566 Q,Samir AIT SAID
6,NED,6.800,8.733,0,15.533 Q,Lambertus van GELDER
7,CHN,7.000,8.500,0,15.500 Q,Hao YOU
8,USA,6.700,8.766,0,15.466 Q,Donnell WHITTENBURG
9,BRA,6.800,8.633,0,15.433 R1,Arthur ZANETTI
10,RUS,6.800,8.600,0,15.400 R2,Denis ABLIAZIN
11,UKR,6.700,8.633,0,15.333 R3,Igor RADIVILOV
12,UKR,6.600,8.666,0,15.266,Oleg VERNIAIEV
13,TUR,6.700,8.400,0,15.100,Ibrahim COLAK
14,TPE,6.700,8.366,0,15.066,Chih-Yu CHEN
15,RUS,6.700,8.333,0,15.033,Nikita IGNATYEV
16,GBR,6.400,8.566,0,14.966,Nile WILSON
17,ROU,6.400,8.533,0,14.933,Vasile MUNTEAN Andrei
18,CUB,6.700,8.233,0,14.933,Manrique LARDUET
19,GBR,6.100,8.800,0,14.900,Daniel PURVIS
20,ARG,6.700,8.200,0,14.900,Federico MOLINARI
21,JPN,6.200,8.600,0,14.800,Kohei UCHIMURA
22,JPN,6.100,8.666,0,14.766,Yusuke TANAKA
23,GER,6.300,8.433,0,14.733,Andreas BRETSCHNEIDER
24,POR,6.000,8.700,0,14.700,Gustavo PALMA SIMOES
25,ROU,6.300,8.400,0,14.700,Ioan BATAGA Cristian
26,USA,6.400,8.266,0,14.666,Alexander NADDOUR
27,COL,6.000,8.633,0,14.633,Kristopher BOHORQUEZ CANTOR
28,ESP,6.200,8.433,0,14.633,Miguel ZAPATA SANTANA Rayderley
29,GER,6.400,8.233,0,14.633,Andreas TOBA
30,AUT,6.500,8.133,0,14.633,Vinzenz HOECK
31,ARM,5.700,8.900,0,14.600,Artur DAVTYAN
32,CAN,6.200,8.400,0,14.600,Kevin LYTWYN
33,KOR,6.500,8.100,0,14.600,Wonchul YOO
34,CHN,6.800,7.800,0,14.600,Shudi DENG
35,ESP,6.000,8.566,0,14.566,Nestor ABAD
35,GER,6.000,8.566,0,14.566,Philipp HERDER
37,CAN,6.500,8.066,0,14.566,Scott MORGAN
38,ITA,6.600,7.933,0,14.533,Andrea CINGOLANI
39,PUR,6.700,7.833,0,14.533,Tommy RAMOS
40,RUS,5.600,8.900,0,14.500,Nikita NAGORNYY
41,USA,5.900,8.600,0,14.500,Christopher BROOKS
,,,,0,Official Results Provider,
,,,,0,Page 1/6,22:09 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
42,GER,6.100,8.400,0,14.500,Marcel NGUYEN
43,RUS,6.000,8.466,0,14.466,Nikolai KUKSENKOV
44,GBR,5.700,8.733,0,14.433,Max WHITLOCK
45,LTU,5.600,8.800,0,14.400,Rokas GUSCINAS
46,USA,5.800,8.600,0,14.400,Danell LEYVA
47,BRA,6.100,8.266,0,14.366,Lucas de SOUZA BITENCOURT
48,KOR,5.800,8.533,0,14.333,Minsoo PARK
49,GER,5.900,8.433,0,14.333,Fabian HAMBUECHEN
50,BRA,6.400,7.933,0,14.333,Caio CAMPOS SOUZA
51,ITA,5.500,8.800,0,14.300,Paolo PRINCIPI
51,SUI,5.500,8.800,0,14.300,Christian BAUMANN
53,FRA,5.900,8.400,0,14.300,Axel AUGIS
54,CHN,6.100,8.200,0,14.300,Ruoteng XIAO
55,JPN,6.200,8.100,0,14.300,Ryohei KATO
56,NED,5.800,8.466,0,14.266,Casimir SCHMIDT
57,PUR,6.500,7.766,0,14.266,Alexis TORRES
58,GBR,5.800,8.433,0,14.233,Brinn BEVAN
59,VIE,6.400,7.833,0,14.233,Hung PHAM Phuoc
60,BLR,5.800,8.400,0,14.200,Dzmitry BARKALAU
60,GRE,5.800,8.400,0,14.200,Christos LYMPANOVNOS
62,JAM,6.000,8.200,0,14.200,Reiss BECKFORD
63,SUI,6.100,8.100,0,14.200,Eddy YUSOF
64,BEL,5.500,8.666,0,14.166,Maxime GENTGES
65,KOR,5.800,8.366,0,14.166,Hansol KIM
66,FIN,5.300,8.833,0,14.133,Oskar KIRMES
67,ESP,5.500,8.633,0,14.133,Adria VERA MORA
67,ROU,5.500,8.633,0,14.133,Andrei URSACHE Alexandru
69,ESP,6.500,7.633,0,14.133,Ruben LOPEZ
70,SUI,5.100,9.000,0,14.100,Pablo BRAEGGER
71,JPN,5.900,8.200,0,14.100,Kenzo SHIRAI
72,RUS,6.200,7.900,0,14.100,David BELYAVSKIY
73,IRL,5.600,8.466,0,14.066,Kieran BEHAN
74,BRA,5.700,8.333,0,14.033,Arthur OYAKAWA MARIANO
74,NED,5.700,8.333,0,14.033,Bart DEURLOO
76,JPN,6.100,7.933,0,14.033,Kazuma KAYA
76,PUR,6.100,7.933,0,14.033,Nestor RODRIGUEZ COLON
78,ITA,5.900,8.100,0,14.000,Paolo OTTAVI
79,BEL,5.100,8.866,0,13.966,Florian LANDUYT
80,KOR,5.200,8.766,0,13.966,Junho LEE
81,CAN,5.500,8.466,0,13.966,Rene COURNOYER
82,NZL,5.900,8.066,0,13.966,Devy DYSON
,,,,0,Official Results Provider,
,,,,0,Page 2/6,22:09 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
83,UZB,6.000,7.966,0,13.966,Anton FOKIN
84,FIN,5.300,8.633,0,13.933,Tomi TUUHA
85,FRA,5.500,8.433,0,13.933,Jim ZONA
85,SUI,5.500,8.433,0,13.933,Oliver HEGI
87,HUN,5.700,8.233,0,13.933,Norbert DUDAS
88,COL,6.000,7.933,0,13.933,Jorge GIRALDO
89,AZE,6.200,7.733,0,13.933,Oleg STEPKO
90,NOR,5.100,8.800,0,13.900,Stian SKJERAHAUG
91,ISR,5.300,8.600,0,13.900,Alexander SHATILOV
92,HUN,5.400,8.500,0,13.900,Adam BABOS
93,GBR,5.600,8.300,0,13.900,Kristian THOMAS
94,FRA,5.700,8.200,0,13.900,Arnaud WILLIG
95,BEL,5.800,8.100,0,13.900,Jonathan VROLIX
96,GEO,4.900,8.966,0,13.866,Paata NOZADZE
97,NED,5.100,8.766,0,13.866,Frank RIJKEN
98,ITA,5.400,8.466,0,13.866,Ludovico EDALLI
99,IND,5.800,8.066,0,13.866,Rakesh PATRA
100,AUS,6.100,7.766,0,13.866,Naoya TSUKAHARA
101,CHN,6.200,7.666,0,13.866,Chaopan LIN
101,ESP,6.200,7.666,0,13.866,Alberto TALLON FERNANDEZ
103,HUN,5.100,8.733,0,13.833,Levente VAGNER
104,TUR,5.400,8.433,0,13.833,Ferhat ARICAN
105,ROU,5.100,8.700,0,13.800,Marian DRAGULESCU
106,AUT,5.200,8.600,0,13.800,Fabian LEIMLEHNER
107,UKR,5.300,8.466,0,13.766,Vladyslav HRYKO
108,POR,5.600,8.166,0,13.766,Simao ALMEIDA
109,COL,6.200,7.566,0,13.766,Orlando CALVO MORENO Jossimar
110,POR,5.300,8.433,0,13.733,Bernardo da COSTA ALMEIDA
111,GRE,5.500,8.200,0,13.700,Nikolaos ILIOPOULOS
111,VIE,5.500,8.200,0,13.700,Tung le Thanh
113,BLR,5.700,8.000,0,13.700,Andrey LIKHOVITSKIY
114,UKR,5.100,8.566,0,13.666,Volodymyr OKACHEV
115,CYP,5.400,8.266,0,13.666,Marios GEORGIOU
116,CAN,5.700,7.966,0,13.666,Hugh SMITH Jay
116,UKR,5.700,7.966,0,13.666,Mykyta YERMAK
118,MEX,6.200,7.466,0,13.666,Fabian de LUNA
119,BEL,5.100,8.533,0,13.633,Bram LOUWIJE
120,CYP,5.900,7.733,0,13.633,Irodotos GEORGALLAS
121,CRO,4.800,8.800,0,13.600,Filip UDE
122,AUT,5.200,8.400,0,13.600,Lukas KRANZLMUELLER
122,NZL,5.200,8.400,0,13.600,Mikhail KOUDINOV
,,,,0,Official Results Provider,
,,,,0,Page 3/6,22:09 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
124,CHI,5.700,7.900,0,13.600,Tomas GONZALEZ
124,NED,5.700,7.900,0,13.600,Jeffrey WAMMES
126,EGY,5.700,7.866,0,13.566,Sherif EL SAHARTY Mohamed
127,BLR,6.000,7.566,0,13.566,Ilya YAKAULEU
128,MEX,6.300,7.266,0,13.566,Javier BALBOA GONZALEZ
129,GRE,4.900,8.633,0,13.533,Christos CHATZIEFSTATHIOU Georgios
130,GRE,5.300,8.233,0,13.533,Dimitrios MARKOUSIS
130,KOR,5.300,8.233,0,13.533,Sangwook LEE
132,FRA,5.700,7.833,0,13.533,Hamilton SABOT
133,ITA,5.100,8.400,0,13.500,Nicola BARTOLINI
134,AUS,5.200,8.300,0,13.500,Luke WIWATOWSKI
135,HUN,5.300,8.200,0,13.500,Vid HIDVEGI
136,ARG,5.200,8.266,0,13.466,Osvaldo MARTINEZ ERAZUN
137,NOR,5.300,8.166,0,13.466,Marcus CONRADI
138,CZE,4.900,8.533,0,13.433,David JESSEN
139,RSA,5.000,8.433,0,13.433,Ryan PATTERSON
140,ARG,5.100,8.333,0,13.433,Nicolas CORDOBA
140,FIN,5.100,8.333,0,13.433,Heikki NIVA
142,KAZ,5.700,7.733,0,13.433,Ilya KORNEV
143,HUN,4.800,8.600,0,13.400,David VECSERNYES
144,BUL,5.200,8.200,0,13.400,Yordan ALEKSANDROV
145,CUB,5.700,7.700,0,13.400,Randy LERU
146,HKG,4.800,8.566,0,13.366,Hung SHEK Wai
147,IRL,4.800,8.533,0,13.333,Andrew SMITH
148,LTU,5.000,8.333,0,13.333,Robert TVOROGAL
149,ALG,5.100,8.233,0,13.333,Abdeldjalil BOURGUIEG Mohamed
150,SRB,5.300,8.033,0,13.333,Milos PAUNOVIC
151,BEL,5.400,7.933,0,13.333,Jimmy VERBAEYS
152,LAT,4.800,8.500,0,13.300,Dmitrijs TREFILOVS
153,PUR,5.600,7.700,0,13.300,Rafael MORALES CASADO
153,TPE,5.600,7.700,0,13.300,Wei YU Chao
155,DEN,4.700,8.566,0,13.266,Joao FUGLSIG
156,PRK,5.900,7.366,0,13.266,Hyok HAN Jong
157,SVK,4.400,8.800,0,13.200,Slavomir MICHNAK
158,KAZ,4.800,8.400,0,13.200,Nikolay NAM
159,TPE,5.400,7.800,0,13.200,Chien HSU Ping
160,BRA,5.900,7.300,0,13.200,Francisco BARRETTO JUNIOR
161,CHI,5.500,7.600,0,13.100,Christian BRUNO DECIDET
161,CHI,5.500,7.600,0,13.100,Juan RAFFO
163,MEX,6.300,6.800,0,13.100,Daniel CORRAL
164,LTU,4.600,8.466,0,13.066,Tomas KUZMICKAS
,,,,0,Official Results Provider,
,,,,0,Page 4/6,22:09 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
165,DEN,4.700,8.333,0,13.033,Marcus FRANDSEN
166,CRC,4.500,8.500,0,13.000,Tarik SOTO BYFIELD
167,ALG,4.600,8.400,0,13.000,Hellal METIDJI
168,SLO,5.100,7.900,0,13.000,Alen DIMIC
169,ALG,4.500,8.466,0,12.966,Mohamed REGHIB
170,SWE,4.900,8.066,0,12.966,Michael TRANE
171,VEN,5.100,7.866,0,12.966,Junior ROJO MENDOZA
172,HKG,5.200,7.766,0,12.966,Chung NG Kiu
173,JAM,5.300,7.666,0,12.966,Caleb FAULK
174,MEX,5.700,7.266,0,12.966,Kevin CERDA GASTELUM
175,TPE,4.600,8.333,0,12.933,Kai LEE Chih
176,SVK,4.800,8.133,0,12.933,Samuel PIASECKY
177,GUA,4.900,8.033,0,12.933,Jorge VEGA LOPEZ
178,THA,5.500,7.433,0,12.933,Tee KRIANGKUM Robert
179,COL,6.200,6.733,0,12.933,Carlos CALVO
180,BLR,4.800,8.100,0,12.900,Dzianis SANUVONH
181,BUL,5.000,7.900,0,12.900,Aleksandar BATINKOV
182,PER,4.700,8.166,0,12.866,Daniel AGUERO BARRERA
183,CZE,4.900,7.966,0,12.866,Daniel RADOVESNICKY
184,LAT,4.500,8.333,0,12.833,Vitalijs KARDASOVS
185,EGY,5.300,7.533,0,12.833,Ashraf ELMARAGHY Ahmed
186,UZB,4.700,8.066,0,12.766,Eduard SHAULOV
187,TPE,5.100,7.633,0,12.733,Chiang HUANG Ko
188,SWE,4.800,7.900,0,12.700,Christopher SOOS
189,MAS,5.000,7.700,0,12.700,Xing LOO Phay
190,QAT,5.100,7.600,0,12.700,Ahmed ALDYANI
191,AZE,5.700,7.000,0,12.700,Petro PAKHNYUK
192,MGL,5.300,7.333,0,12.633,Erdenebold GANBAT
193,LAT,3.900,8.700,0,12.600,Aleksejs PAJADA
194,RSA,4.600,7.933,0,12.533,Tiaan GROBLER
195,PER,5.200,7.233,0,12.433,Maurcio GALLEGOS CHACON
196,NZL,4.000,8.400,0,12.400,David BISHOP
197,MEX,5.500,6.866,0,12.366,Heron BONILLA RUIZ Rodolfo
198,POL,4.300,8.033,0,12.333,Adam RZEPA
199,SVK,4.900,7.433,0,12.333,Ivan VARGOVSKY
200,DOM,5.400,6.900,0,12.300,Audrys NIN REYES
201,IRL,3.700,8.566,0,12.266,Jack NEILL
202,EGY,4.800,7.466,0,12.266,Mohamed AHMED Amr Essam
203,BUL,3.500,8.733,0,12.233,Martin ANGELOV
204,SRB,4.300,7.900,0,12.200,Petar VELICKOVIC
205,MAR,4.400,7.800,0,12.200,Abderrazak NASSER
