Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
1,eleftherios petrounias,GRE,6.8,9.1,0.0,2015,qual,15.9,1
2,yang liu,CHN,6.9,8.966,0.0,2015,qual,15.866,1
3,brandon wynn,USA,6.8,8.808,0.0,2015,qual,15.608,0
4,davtyan vahagn,ARM,6.6,8.966,0.0,2015,qual,15.566,0
5,samir ait said,FRA,6.8,8.766,0.0,2015,qual,15.566,0
6,lambertus van gelder,NED,6.8,8.733,0.0,2015,qual,15.533,0
7,hao you,CHN,7.0,8.5,0.0,2015,qual,15.5,1
8,donnell whittenburg,USA,6.7,8.766,0.0,2015,qual,15.466,0
9,arthur zanetti,BRA,6.8,8.633,0.0,2015,qual,15.433,0
10,denis abliazin,RUS,6.8,8.6,0.0,2015,qual,15.4,0
11,igor radivilov,UKR,6.7,8.633,0.0,2015,qual,15.333,0
12,oleg verniaiev,UKR,6.6,8.666,0.0,2015,qual,15.26,0
13,ibrahim colak,TUR,6.7,8.4,0.0,2015,qual,15.1,0
14,chih-yu chen,TPE,6.7,8.366,0.0,2015,qual,15.06,0
15,nikita ignatyev,RUS,6.7,8.333,0.0,2015,qual,15.03,0
16,nile wilson,GBR,6.4,8.566,0.0,2015,qual,14.96,0
17,vasile muntean andrei,ROU,6.4,8.533,0.0,2015,qual,14.93,0
18,manrique larduet,CUB,6.7,8.233,0.0,2015,qual,14.93,0
19,daniel purvis,GBR,6.1,8.8,0.0,2015,qual,14.9,0
20,federico molinari,ARG,6.7,8.2,0.0,2015,qual,14.9,0
21,kohei uchimura,JPN,6.2,8.6,0.0,2015,qual,14.8,0
22,yusuke tanaka,JPN,6.1,8.666,0.0,2015,qual,14.76,0
23,andreas bretschneider,GER,6.3,8.433,0.0,2015,qual,14.73,0
24,gustavo palma simoes,POR,6.0,8.7,0.0,2015,qual,14.7,0
25,ioan bataga cristian,ROU,6.3,8.4,0.0,2015,qual,14.7,0
26,alexander naddour,USA,6.4,8.266,0.0,2015,qual,14.66,0
27,kristopher bohorquez cantor,COL,6.0,8.633,0.0,2015,qual,14.63,0
28,miguel zapata santana rayderley,ESP,6.2,8.433,0.0,2015,qual,14.63,0
29,andreas toba,GER,6.4,8.233,0.0,2015,qual,14.63,0
30,vinzenz hoeck,AUT,6.5,8.133,0.0,2015,qual,14.63,0
31,artur davtyan,ARM,5.7,8.9,0.0,2015,qual,14.6,0
32,kevin lytwyn,CAN,6.2,8.4,0.0,2015,qual,14.6,0
33,wonchul yoo,KOR,6.5,8.1,0.0,2015,qual,14.6,0
34,shudi deng,CHN,6.8,7.8,0.0,2015,qual,14.6,0
35,nestor abad,ESP,6.0,8.566,0.0,2015,qual,14.56,0
35,philipp herder,GER,6.0,8.566,0.0,2015,qual,14.56,0
37,scott morgan,CAN,6.5,8.066,0.0,2015,qual,14.56,0
38,andrea cingolani,ITA,6.6,7.933,0.0,2015,qual,14.53,0
39,tommy ramos,PUR,6.7,7.833,0.0,2015,qual,14.53,0
40,nikita nagornyy,RUS,5.6,8.9,0.0,2015,qual,14.5,0
41,christopher brooks,USA,5.9,8.6,0.0,2015,qual,14.5,0
42,marcel nguyen,GER,6.1,8.4,0.0,2015,qual,14.5,0
43,nikolai kuksenkov,RUS,6.0,8.466,0.0,2015,qual,14.46,0
44,max whitlock,GBR,5.7,8.733,0.0,2015,qual,14.43,0
45,rokas guscinas,LTU,5.6,8.8,0.0,2015,qual,14.4,0
46,danell leyva,USA,5.8,8.6,0.0,2015,qual,14.4,0
47,lucas de souza bitencourt,BRA,6.1,8.266,0.0,2015,qual,14.36,0
48,minsoo park,KOR,5.8,8.533,0.0,2015,qual,14.33,0
49,fabian hambuechen,GER,5.9,8.433,0.0,2015,qual,14.33,0
