Rank,NOC,D,E,Pen.,Total,Name
1,JPN,6.200,9.433,0,15.633,Kohei UCHIMURA
2,JPN,6.000,9.533,0,15.533,Kenzo SHIRAI
2,RUS,6.400,9.133,0,15.533,Denis ABLIAZIN
4,PRK,6.400,9.116,0,15.516,Gwang RI Se
5,KOR,6.000,9.400,0,15.400,Hansol KIM
5,ROU,6.000,9.400,0,15.400,Marian DRAGULESCU
7,HKG,6.000,9.300,0,15.300,Hung SHEK Wai
7,ROU,6.000,9.300,0,15.300,Vasile MUNTEAN Andrei
7,USA,5.800,9.500,0,15.300,Paul RUGGERI III
10,CHN,6.000,9.233,0,15.233,Shudi DENG
10,CHN,6.000,9.233,0,15.233,Chaopan LIN
10,GBR,6.000,9.233,0,15.233,Kristian THOMAS
10,RUS,6.000,9.233,0,15.233,David BELYAVSKIY
14,JPN,6.000,9.200,0,15.200,Naoto HAYASAKA
14,UKR,6.000,9.300,-0.1,15.200,Igor RADIVILOV
16,CHN,6.000,9.266,-0.1,15.166,Ruoteng XIAO
16,GBR,6.000,9.266,-0.1,15.166,Max WHITLOCK
18,RUS,6.000,9.133,0,15.133,Nikita NAGORNYY
19,UKR,6.000,9.066,0,15.066,Oleg VERNIAIEV
20,ESP,5.600,9.433,0,15.033,Ruben LOPEZ
20,USA,6.000,9.033,0,15.033,Donnell WHITTENBURG
22,BUL,5.600,9.400,0,15.000,Martin ANGELOV
22,GBR,5.600,9.400,0,15.000,Daniel PURVIS
22,SUI,6.000,9.000,0,15.000,Eddy YUSOF
25,BRA,5.600,9.366,0,14.966,Caio CAMPOS SOUZA
25,CHI,5.600,9.366,0,14.966,Tomas GONZALEZ
27,KOR,5.600,9.333,0,14.933,Donghyen SHIN
27,RUS,5.600,9.333,0,14.933,Nikolai KUKSENKOV
29,BRA,5.600,9.300,0,14.900,Arthur OYAKAWA MARIANO
29,CUB,5.600,9.300,0,14.900,Randy LERU
29,ESP,5.600,9.300,0,14.900,Adria VERA MORA
29,USA,5.600,9.300,0,14.900,Christopher BROOKS
29,VIE,6.000,9.000,-0.1,14.900,Tung le Thanh
34,NED,5.600,9.266,0,14.866,Bart DEURLOO
35,ESP,5.600,9.233,0,14.833,Alberto TALLON FERNANDEZ
35,VEN,5.600,9.233,0,14.833,Junior ROJO MENDOZA
37,BRA,5.600,9.216,0,14.816,Arthur ZANETTI
38,CRC,5.400,9.400,0,14.800,Tarik SOTO BYFIELD
38,FRA,5.600,9.200,0,14.800,Axel AUGIS
38,SUI,5.600,9.200,0,14.800,Pablo BRAEGGER
41,BRA,5.600,9.166,0,14.766,Lucas de SOUZA BITENCOURT
,,,,0,Official Results Provider,
,,,,0,Page 1/6,22:01 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
41,CAN,5.600,9.166,0,14.766,Kevin LYTWYN
41,GBR,5.600,9.166,0,14.766,Nile WILSON
41,JPN,5.600,9.166,0,14.766,Kazuma KAYA
41,KOR,5.600,9.166,0,14.766,Junho LEE
41,NED,5.600,9.266,-0.1,14.766,Jeffrey WAMMES
41,RUS,5.600,9.166,0,14.766,Nikita IGNATYEV
48,ALG,5.600,9.133,0,14.733,Abdeldjalil BOURGUIEG Mohamed
48,DOM,6.000,9.033,-0.3,14.733,Audrys NIN REYES
48,FRA,5.600,9.133,0,14.733,Samir AIT SAID
48,GER,5.600,9.133,0,14.733,Andreas TOBA
48,MGL,5.600,9.133,0,14.733,Erdenebold GANBAT
48,SUI,5.600,9.233,-0.1,14.733,Claudio CAPELLI
54,ARM,5.200,9.500,0,14.700,Artur DAVTYAN
55,CAN,5.600,9.066,0,14.666,Hugh SMITH Jay
55,ITA,5.600,9.066,0,14.666,Andrea CINGOLANI
57,NED,5.600,9.033,0,14.633,Casimir SCHMIDT
57,USA,6.000,8.633,0,14.633,Alexander NADDOUR
59,BEL,5.600,9.000,0,14.600,Florian LANDUYT
59,CAN,5.600,9.000,0,14.600,Scott MORGAN
59,MEX,5.600,9.000,0,14.600,Fabian de LUNA
62,ROU,5.600,9.066,-0.1,14.566,Ioan BATAGA Cristian
62,TPE,5.600,9.266,-0.3,14.566,Kai LEE Chih
64,FRA,5.200,9.333,0,14.533,Jim ZONA
64,GRE,5.200,9.333,0,14.533,Nikolaos ILIOPOULOS
64,ISR,5.200,9.333,0,14.533,Artem DOLGOPYAT
64,ISR,5.200,9.333,0,14.533,Alexander SHATILOV
64,KAZ,5.200,9.333,0,14.533,Stepan GORBACHEV
64,KOR,5.600,8.933,0,14.533,Minsoo PARK
64,LAT,5.200,9.333,0,14.533,Vitalijs KARDASOVS
71,GER,5.200,9.300,0,14.500,Fabian HAMBUECHEN
71,MEX,5.200,9.300,0,14.500,Kevin CERDA GASTELUM
71,POR,5.200,9.300,0,14.500,Gustavo PALMA SIMOES
71,SUI,5.200,9.300,0,14.500,Oliver HEGI
71,USA,5.200,9.300,0,14.500,Danell LEYVA
76,CYP,5.200,9.233,0,14.433,Marios GEORGIOU
76,IND,5.600,8.833,0,14.433,Ashish KUMAR
76,NOR,5.200,9.233,0,14.433,Stian SKJERAHAUG
79,PRK,5.200,9.216,0,14.416,Hyok HAN Jong
80,BEL,5.200,9.200,0,14.400,Maxime GENTGES
80,KAZ,5.200,9.200,0,14.400,Nikolay NAM
80,THA,5.200,9.200,0,14.400,Tee KRIANGKUM Robert
,,,,0,Official Results Provider,
,,,,0,Page 2/6,22:01 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
80,TPE,5.200,9.200,0,14.400,Chih-Yu CHEN
84,BLR,5.200,9.166,0,14.366,Dzmitry BARKALAU
84,CAN,5.200,9.166,0,14.366,Anderson LORAN
84,CHN,5.200,9.166,0,14.366,Chenglong ZHANG
84,ITA,5.200,9.166,0,14.366,Ludovico EDALLI
88,COL,5.200,9.133,0,14.333,Carlos CALVO
88,CRO,5.200,9.133,0,14.333,Filip UDE
88,GER,5.200,9.133,0,14.333,Marcel NGUYEN
88,GRE,5.200,9.233,-0.1,14.333,Vlasios MARAS
88,NED,5.200,9.133,0,14.333,Frank RIJKEN
88,UZB,5.200,9.133,0,14.333,Eduard SHAULOV
94,BLR,5.600,8.716,0,14.316,Ilya YAKAULEU
95,FRA,5.200,9.100,0,14.300,Cyril TOMMASONE
95,GER,5.200,9.100,0,14.300,Sebastian KRIMMER
95,PER,5.200,9.100,0,14.300,Daniel AGUERO BARRERA
95,ROU,5.200,9.100,0,14.300,Andrei URSACHE Alexandru
95,RSA,5.200,9.100,0,14.300,Ryan PATTERSON
95,SRB,5.200,9.100,0,14.300,Bojan DEJANOVIC
95,SUI,5.200,9.100,0,14.300,Christian BAUMANN
95,UKR,5.200,9.100,0,14.300,Mykyta YERMAK
103,GRE,5.200,9.166,-0.1,14.266,Dimitrios MARKOUSIS
103,HUN,5.200,9.066,0,14.266,Norbert DUDAS
103,IRL,5.200,9.166,-0.1,14.266,Andrew SMITH
103,LTU,5.200,9.066,0,14.266,Robert TVOROGAL
107,AUT,5.200,9.033,0,14.233,Fabian LEIMLEHNER
107,CHI,5.200,9.033,0,14.233,Christian BRUNO DECIDET
107,IND,5.200,9.033,0,14.233,Rakesh PATRA
107,LTU,5.200,9.033,0,14.233,Tomas KUZMICKAS
107,MAR,5.200,9.133,-0.1,14.233,Abderrazak NASSER
107,UKR,5.200,9.033,0,14.233,Vladyslav HRYKO
113,BEL,5.200,9.000,0,14.200,Siemon VOLKAERT
113,CHI,5.200,9.000,0,14.200,Juan RAFFO
113,SWE,5.200,9.000,0,14.200,Christopher SOOS
116,ALG,5.200,9.066,-0.1,14.166,Hellal METIDJI
116,AUS,5.200,9.066,-0.1,14.166,Naoya TSUKAHARA
116,BEL,5.200,9.066,-0.1,14.166,Jimmy VERBAEYS
116,COL,5.600,8.866,-0.3,14.166,Orlando CALVO MORENO Jossimar
116,COL,5.200,9.066,-0.1,14.166,Andres MARTINEZ MORENO
116,JPN,5.600,8.566,0,14.166,Yusuke TANAKA
116,POR,5.200,9.066,-0.1,14.166,Simao ALMEIDA
116,PUR,5.200,8.966,0,14.166,Alexis TORRES
,,,,0,Official Results Provider,
,,,,0,Page 3/6,22:01 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
116,TPE,5.200,8.966,0,14.166,Chien HSU Ping
125,BLR,5.200,8.933,0,14.133,Dzianis SANUVONH
125,FRA,5.200,9.033,-0.1,14.133,Arnaud WILLIG
125,ISR,6.000,8.133,0,14.133,Andrey MEDVEDEV
125,LAT,5.200,9.033,-0.1,14.133,Aleksejs PAJADA
125,MGL,5.200,8.933,0,14.133,Nomondalai JAMIYANKHUU
125,PUR,5.200,8.933,0,14.133,Rafael MORALES CASADO
125,TPE,5.200,9.033,-0.1,14.133,Chiang HUANG Ko
125,UZB,5.200,9.033,-0.1,14.133,Anton FOKIN
125,VEN,5.200,9.033,-0.1,14.133,Jostyn FUENMAYOR BERROETA
134,AUS,5.200,8.900,0,14.100,Luke WIWATOWSKI
134,BEL,5.200,8.900,0,14.100,Bram LOUWIJE
134,KOR,5.200,9.000,-0.1,14.100,Wonchul YOO
134,NZL,5.200,8.900,0,14.100,Mikhail KOUDINOV
134,SRB,5.200,8.900,0,14.100,Milos PAUNOVIC
139,ITA,5.200,8.891,0,14.091,Paolo PRINCIPI
140,BLR,5.200,8.966,-0.1,14.066,Andrey LIKHOVITSKIY
140,EGY,5.200,8.866,0,14.066,Sherif EL SAHARTY Mohamed
140,KAZ,5.200,8.866,0,14.066,Ilya KORNEV
140,MEX,5.200,8.966,-0.1,14.066,Javier BALBOA GONZALEZ
144,CZE,5.200,8.933,-0.1,14.033,David JESSEN
144,ESP,6.000,8.033,0,14.033,Miguel ZAPATA SANTANA Rayderley
144,NOR,5.200,8.833,0,14.033,Marcus CONRADI
144,PUR,5.200,8.933,-0.1,14.033,Tristian PEREZ RIVERA
148,BRA,4.800,9.216,0,14.016,Francisco BARRETTO JUNIOR
149,BUL,4.800,9.200,0,14.000,Yordan ALEKSANDROV
149,COL,5.200,9.100,-0.3,14.000,Alexander MUNOZ PEREZ Jhonny
149,IRL,5.200,8.900,-0.1,14.000,Kieran BEHAN
152,PUR,5.200,8.766,0,13.966,Nestor RODRIGUEZ COLON
153,SLO,5.200,8.733,0,13.933,Alen DIMIC
154,NZL,4.800,9.100,0,13.900,David BISHOP
154,ROU,5.200,8.800,-0.1,13.900,Daniel BERBECAR Marius
154,VIE,5.200,8.700,0,13.900,Thanh DINH Phuong
157,EGY,4.800,9.066,0,13.866,Ashraf ELMARAGHY Ahmed
157,GBR,6.000,7.966,-0.1,13.866,Brinn BEVAN
157,LTU,4.800,9.066,0,13.866,Rokas GUSCINAS
157,SVK,5.200,8.766,-0.1,13.866,Ivan VARGOVSKY
161,CUB,6.000,8.133,-0.3,13.833,Manrique LARDUET
162,ARG,4.800,9.000,0,13.800,Nicolas CORDOBA
162,ITA,4.800,9.000,0,13.800,Paolo OTTAVI
162,MGL,5.600,8.200,0,13.800,Otgonbat PUREVDORJ
,,,,0,Official Results Provider,
,,,,0,Page 4/6,22:01 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
165,GRE,5.200,8.866,-0.3,13.766,Christos LYMPANOVNOS
166,BUL,5.200,8.833,-0.3,13.733,Aleksandar BATINKOV
166,JAM,5.600,8.133,0,13.733,Reiss BECKFORD
168,ISL,4.800,8.866,0,13.666,Eythor BALDURSSON
168,QAT,5.200,8.466,0,13.666,Ahmed ALDYANI
170,CRC,5.200,8.733,-0.3,13.633,Henry GONZALEZ VEGA
170,FIN,4.400,9.333,-0.1,13.633,Heikki NIVA
170,MEX,5.600,8.033,0,13.633,Daniel CORRAL
170,TUR,5.600,8.033,0,13.633,Ferhat ARICAN
170,TPE,4.400,9.233,0,13.633,Wei YU Chao
175,AUT,5.200,8.500,-0.1,13.600,Lukas KRANZLMUELLER
175,CAN,5.600,8.000,0,13.600,Rene COURNOYER
175,GEO,4.400,9.200,0,13.600,Paata NOZADZE
175,GER,5.600,8.000,0,13.600,Andreas BRETSCHNEIDER
179,AZE,5.600,8.066,-0.1,13.566,Oleg STEPKO
179,ESP,5.600,8.266,-0.3,13.566,Nestor ABAD
179,FIN,4.800,8.866,-0.1,13.566,Oskar KIRMES
179,HUN,4.400,9.166,0,13.566,Levente VAGNER
179,ITA,5.600,8.066,-0.1,13.566,Nicola BARTOLINI
184,EGY,4.400,9.133,0,13.533,Mohamed AHMED Amr Essam
184,HKG,6.000,7.833,-0.3,13.533,Hin JIM Man
184,SVK,4.400,9.133,0,13.533,Slavomir MICHNAK
187,BLR,4.400,9.100,0,13.500,Vasili MIKHALITSYN
187,LAT,4.400,9.100,0,13.500,Dmitrijs TREFILOVS
187,SIN,4.400,9.100,0,13.500,Timothy TAY Kai Cheng
187,SWE,4.400,9.100,0,13.500,Michael TRANE
191,POL,4.400,9.066,0,13.466,Adam RZEPA
191,RSA,4.400,9.066,0,13.466,Tiaan GROBLER
193,PER,4.400,9.133,-0.1,13.433,Luis PIZARRO SILVA
193,TUR,4.400,9.033,0,13.433,Ibrahim COLAK
195,HUN,4.400,9.000,0,13.400,Adam BABOS
196,CYP,4.400,8.966,0,13.366,Irodotos GEORGALLAS
196,SIN,4.400,8.966,0,13.366,Gabriel GAN Zi Jie
196,SVK,4.400,8.966,0,13.366,Samuel PIASECKY
199,SRB,4.400,8.933,0,13.333,Petar VELICKOVIC
200,AZE,5.600,8.000,-0.3,13.300,Petro PAKHNYUK
201,CZE,4.400,8.866,0,13.266,Daniel RADOVESNICKY
201,HUN,4.400,8.866,0,13.266,Vid HIDVEGI
201,IND,5.200,8.366,-0.3,13.266,Siddharth VERMA
201,NZL,4.400,8.866,0,13.266,Devy DYSON
205,POR,4.400,8.933,-0.1,13.233,Bernardo da COSTA ALMEIDA
