Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
1,kohei uchimura,JPN,6.2,9.433,0.0,2015,qual,15.63,0
2,kenzo shirai,JPN,6.0,9.533,0.0,2015,qual,15.53,0
2,denis abliazin,RUS,6.4,9.133,0.0,2015,qual,15.53,1
4,gwang ri se,PRK,6.4,9.116,0.0,2015,qual,15.51,0
5,hansol kim,KOR,6.0,9.4,0.0,2015,qual,15.4,0
5,marian dragulescu,ROU,6.0,9.4,0.0,2015,qual,15.4,0
7,hung shek wai,HKG,6.0,9.3,0.0,2015,qual,15.3,0
7,vasile muntean andrei,ROU,6.0,9.3,0.0,2015,qual,15.3,0
7,paul ruggeri iii,USA,5.8,9.5,0.0,2015,qual,15.3,0
10,shudi deng,CHN,6.0,9.233,0.0,2015,qual,15.23,0
10,chaopan lin,CHN,6.0,9.233,0.0,2015,qual,15.23,0
10,kristian thomas,GBR,6.0,9.233,0.0,2015,qual,15.23,0
10,david belyavskiy,RUS,6.0,9.233,0.0,2015,qual,15.23,0
14,naoto hayasaka,JPN,6.0,9.2,0.0,2015,qual,15.2,0
14,igor radivilov,UKR,6.0,9.3,-0.1,2015,qual,15.2,0
16,ruoteng xiao,CHN,6.0,9.266,-0.1,2015,qual,15.16,0
16,max whitlock,GBR,6.0,9.266,-0.1,2015,qual,15.16,0
18,nikita nagornyy,RUS,6.0,9.133,0.0,2015,qual,15.13,0
19,oleg verniaiev,UKR,6.0,9.066,0.0,2015,qual,15.06,0
20,ruben lopez,ESP,5.6,9.433,0.0,2015,qual,15.03,0
20,donnell whittenburg,USA,6.0,9.033,0.0,2015,qual,15.03,0
22,martin angelov,BUL,5.6,9.4,0.0,2015,qual,15.0,0
22,daniel purvis,GBR,5.6,9.4,0.0,2015,qual,15.0,0
22,eddy yusof,SUI,6.0,9.0,0.0,2015,qual,15.0,0
25,caio campos souza,BRA,5.6,9.366,0.0,2015,qual,14.96,0
25,tomas gonzalez,CHI,5.6,9.366,0.0,2015,qual,14.96,0
27,donghyen shin,KOR,5.6,9.333,0.0,2015,qual,14.93,0
27,nikolai kuksenkov,RUS,5.6,9.333,0.0,2015,qual,14.93,0
29,arthur oyakawa mariano,BRA,5.6,9.3,0.0,2015,qual,14.9,0
29,randy leru,CUB,5.6,9.3,0.0,2015,qual,14.9,0
29,adria vera mora,ESP,5.6,9.3,0.0,2015,qual,14.9,0
29,christopher brooks,USA,5.6,9.3,0.0,2015,qual,14.9,0
29,tung le thanh,VIE,6.0,9.0,-0.1,2015,qual,14.9,0
34,bart deurloo,NED,5.6,9.266,0.0,2015,qual,14.86,0
35,alberto tallon fernandez,ESP,5.6,9.233,0.0,2015,qual,14.83,0
35,junior rojo mendoza,VEN,5.6,9.233,0.0,2015,qual,14.83,0
37,arthur zanetti,BRA,5.6,9.216,0.0,2015,qual,14.81,0
38,tarik soto byfield,CRC,5.4,9.4,0.0,2015,qual,14.8,0
38,axel augis,FRA,5.6,9.2,0.0,2015,qual,14.8,0
38,pablo braegger,SUI,5.6,9.2,0.0,2015,qual,14.8,0
41,lucas de souza bitencourt,BRA,5.6,9.166,0.0,2015,qual,14.76,0
41,kevin lytwyn,CAN,5.6,9.166,0.0,2015,qual,14.76,0
41,nile wilson,GBR,5.6,9.166,0.0,2015,qual,14.76,0
41,kazuma kaya,JPN,5.6,9.166,0.0,2015,qual,14.76,0
41,junho lee,KOR,5.6,9.166,0.0,2015,qual,14.76,0
41,jeffrey wammes,NED,5.6,9.266,-0.1,2015,qual,14.76,0
41,nikita ignatyev,RUS,5.6,9.166,0.0,2015,qual,14.76,0
48,abdeldjalil bourguieg mohamed,ALG,5.6,9.133,0.0,2015,qual,14.73,0
48,audrys nin reyes,DOM,6.0,9.033,-0.3,2015,qual,14.73,0
48,samir ait said,FRA,5.6,9.133,0.0,2015,qual,14.73,0
48,andreas toba,GER,5.6,9.133,0.0,2015,qual,14.73,0
48,erdenebold ganbat,MGL,5.6,9.133,0.0,2015,qual,14.73,0
48,claudio capelli,SUI,5.6,9.233,-0.1,2015,qual,14.73,0
54,artur davtyan,ARM,5.2,9.5,0.0,2015,qual,14.7,1
55,hugh smith jay,CAN,5.6,9.066,0.0,2015,qual,14.66,0
55,andrea cingolani,ITA,5.6,9.066,0.0,2015,qual,14.66,0
57,casimir schmidt,NED,5.6,9.033,0.0,2015,qual,14.63,0
57,alexander naddour,USA,6.0,8.633,0.0,2015,qual,14.63,0
59,florian landuyt,BEL,5.6,9.0,0.0,2015,qual,14.6,0
59,scott morgan,CAN,5.6,9.0,0.0,2015,qual,14.6,0
59,fabian de luna,MEX,5.6,9.0,0.0,2015,qual,14.6,0
62,ioan bataga cristian,ROU,5.6,9.066,-0.1,2015,qual,14.56,0
62,kai lee chih,TPE,5.6,9.266,-0.3,2015,qual,14.56,0
64,jim zona,FRA,5.2,9.333,0.0,2015,qual,14.53,0
64,nikolaos iliopoulos,GRE,5.2,9.333,0.0,2015,qual,14.53,0
64,artem dolgopyat,ISR,5.2,9.333,0.0,2015,qual,14.53,0
64,alexander shatilov,ISR,5.2,9.333,0.0,2015,qual,14.53,0
64,stepan gorbachev,KAZ,5.2,9.333,0.0,2015,qual,14.53,0
64,minsoo park,KOR,5.6,8.933,0.0,2015,qual,14.53,0
64,vitalijs kardasovs,LAT,5.2,9.333,0.0,2015,qual,14.53,0
71,fabian hambuechen,GER,5.2,9.3,0.0,2015,qual,14.5,0
71,kevin cerda gastelum,MEX,5.2,9.3,0.0,2015,qual,14.5,0
71,gustavo palma simoes,POR,5.2,9.3,0.0,2015,qual,14.5,0
71,oliver hegi,SUI,5.2,9.3,0.0,2015,qual,14.5,0
71,danell leyva,USA,5.2,9.3,0.0,2015,qual,14.5,0
76,marios georgiou,CYP,5.2,9.233,0.0,2015,qual,14.43,0
76,ashish kumar,IND,5.6,8.833,0.0,2015,qual,14.43,0
76,stian skjerahaug,NOR,5.2,9.233,0.0,2015,qual,14.43,0
79,hyok han jong,PRK,5.2,9.216,0.0,2015,qual,14.41,0
80,maxime gentges,BEL,5.2,9.2,0.0,2015,qual,14.4,0
80,nikolay nam,KAZ,5.2,9.2,0.0,2015,qual,14.4,0
80,tee kriangkum robert,THA,5.2,9.2,0.0,2015,qual,14.4,0
80,chih-yu chen,TPE,5.2,9.2,0.0,2015,qual,14.4,0
84,dzmitry barkalau,BLR,5.2,9.166,0.0,2015,qual,14.36,0
84,anderson loran,CAN,5.2,9.166,0.0,2015,qual,14.36,0
84,chenglong zhang,CHN,5.2,9.166,0.0,2015,qual,14.36,0
84,ludovico edalli,ITA,5.2,9.166,0.0,2015,qual,14.36,0
88,carlos calvo,COL,5.2,9.133,0.0,2015,qual,14.33,0
88,filip ude,CRO,5.2,9.133,0.0,2015,qual,14.33,0
88,marcel nguyen,GER,5.2,9.133,0.0,2015,qual,14.33,0
88,vlasios maras,GRE,5.2,9.233,-0.1,2015,qual,14.33,0
88,frank rijken,NED,5.2,9.133,0.0,2015,qual,14.33,0
88,eduard shaulov,UZB,5.2,9.133,0.0,2015,qual,14.33,0
94,ilya yakauleu,BLR,5.6,8.716,0.0,2015,qual,14.31,0
95,cyril tommasone,FRA,5.2,9.1,0.0,2015,qual,14.3,0
95,sebastian krimmer,GER,5.2,9.1,0.0,2015,qual,14.3,0
95,daniel aguero barrera,PER,5.2,9.1,0.0,2015,qual,14.3,0
95,andrei ursache alexandru,ROU,5.2,9.1,0.0,2015,qual,14.3,0
95,ryan patterson,RSA,5.2,9.1,0.0,2015,qual,14.3,0
95,bojan dejanovic,SRB,5.2,9.1,0.0,2015,qual,14.3,0
95,christian baumann,SUI,5.2,9.1,0.0,2015,qual,14.3,0
95,mykyta yermak,UKR,5.2,9.1,0.0,2015,qual,14.3,0
103,dimitrios markousis,GRE,5.2,9.166,-0.1,2015,qual,14.26,0
103,norbert dudas,HUN,5.2,9.066,0.0,2015,qual,14.26,0
103,andrew smith,IRL,5.2,9.166,-0.1,2015,qual,14.26,0
103,robert tvorogal,LTU,5.2,9.066,0.0,2015,qual,14.26,0
107,fabian leimlehner,AUT,5.2,9.033,0.0,2015,qual,14.23,0
107,christian bruno decidet,CHI,5.2,9.033,0.0,2015,qual,14.23,0
107,rakesh patra,IND,5.2,9.033,0.0,2015,qual,14.23,0
107,tomas kuzmickas,LTU,5.2,9.033,0.0,2015,qual,14.23,0
107,abderrazak nasser,MAR,5.2,9.133,-0.1,2015,qual,14.23,0
107,vladyslav hryko,UKR,5.2,9.033,0.0,2015,qual,14.23,0
113,siemon volkaert,BEL,5.2,9.0,0.0,2015,qual,14.2,0
113,juan raffo,CHI,5.2,9.0,0.0,2015,qual,14.2,0
113,christopher soos,SWE,5.2,9.0,0.0,2015,qual,14.2,0
116,hellal metidji,ALG,5.2,9.066,-0.1,2015,qual,14.16,0
116,naoya tsukahara,AUS,5.2,9.066,-0.1,2015,qual,14.16,0
116,jimmy verbaeys,BEL,5.2,9.066,-0.1,2015,qual,14.16,0
116,orlando calvo moreno jossimar,COL,5.6,8.866,-0.3,2015,qual,14.16,0
116,andres martinez moreno,COL,5.2,9.066,-0.1,2015,qual,14.16,0
116,yusuke tanaka,JPN,5.6,8.566,0.0,2015,qual,14.16,0
116,simao almeida,POR,5.2,9.066,-0.1,2015,qual,14.16,0
116,alexis torres,PUR,5.2,8.966,0.0,2015,qual,14.16,0
116,chien hsu ping,TPE,5.2,8.966,0.0,2015,qual,14.16,0
125,dzianis sanuvonh,BLR,5.2,8.933,0.0,2015,qual,14.13,0
125,arnaud willig,FRA,5.2,9.033,-0.1,2015,qual,14.13,0
125,andrey medvedev,ISR,6.0,8.133,0.0,2015,qual,14.13,0
125,aleksejs pajada,LAT,5.2,9.033,-0.1,2015,qual,14.13,0
125,nomondalai jamiyankhuu,MGL,5.2,8.933,0.0,2015,qual,14.13,0
125,rafael morales casado,PUR,5.2,8.933,0.0,2015,qual,14.13,0
125,chiang huang ko,TPE,5.2,9.033,-0.1,2015,qual,14.13,0
125,anton fokin,UZB,5.2,9.033,-0.1,2015,qual,14.13,0
125,jostyn fuenmayor berroeta,VEN,5.2,9.033,-0.1,2015,qual,14.13,0
134,luke wiwatowski,AUS,5.2,8.9,0.0,2015,qual,14.1,0
134,bram louwije,BEL,5.2,8.9,0.0,2015,qual,14.1,0
134,wonchul yoo,KOR,5.2,9.0,-0.1,2015,qual,14.1,0
134,mikhail koudinov,NZL,5.2,8.9,0.0,2015,qual,14.1,0
134,milos paunovic,SRB,5.2,8.9,0.0,2015,qual,14.1,0
139,paolo principi,ITA,5.2,8.891,0.0,2015,qual,14.09,0
140,andrey likhovitskiy,BLR,5.2,8.966,-0.1,2015,qual,14.06,0
140,sherif el saharty mohamed,EGY,5.2,8.866,0.0,2015,qual,14.06,0
140,ilya kornev,KAZ,5.2,8.866,0.0,2015,qual,14.06,0
140,javier balboa gonzalez,MEX,5.2,8.966,-0.1,2015,qual,14.06,0
144,david jessen,CZE,5.2,8.933,-0.1,2015,qual,14.03,0
144,miguel zapata santana rayderley,ESP,6.0,8.033,0.0,2015,qual,14.03,0
144,marcus conradi,NOR,5.2,8.833,0.0,2015,qual,14.03,0
144,tristian perez rivera,PUR,5.2,8.933,-0.1,2015,qual,14.03,0
148,francisco barretto junior,BRA,4.8,9.216,0.0,2015,qual,14.01,0
149,yordan aleksandrov,BUL,4.8,9.2,0.0,2015,qual,14.0,0
149,alexander munoz perez jhonny,COL,5.2,9.1,-0.3,2015,qual,14.0,0
149,kieran behan,IRL,5.2,8.9,-0.1,2015,qual,14.0,0
152,nestor rodriguez colon,PUR,5.2,8.766,0.0,2015,qual,13.96,0
153,alen dimic,SLO,5.2,8.733,0.0,2015,qual,13.93,0
154,david bishop,NZL,4.8,9.1,0.0,2015,qual,13.9,0
154,daniel berbecar marius,ROU,5.2,8.8,-0.1,2015,qual,13.9,0
154,thanh dinh phuong,VIE,5.2,8.7,0.0,2015,qual,13.9,0
157,ashraf elmaraghy ahmed,EGY,4.8,9.066,0.0,2015,qual,13.86,0
157,brinn bevan,GBR,6.0,7.966,-0.1,2015,qual,13.86,0
157,rokas guscinas,LTU,4.8,9.066,0.0,2015,qual,13.86,0
157,ivan vargovsky,SVK,5.2,8.766,-0.1,2015,qual,13.86,0
161,manrique larduet,CUB,6.0,8.133,-0.3,2015,qual,13.83,0
162,nicolas cordoba,ARG,4.8,9.0,0.0,2015,qual,13.8,0
162,paolo ottavi,ITA,4.8,9.0,0.0,2015,qual,13.8,0
162,otgonbat purevdorj,MGL,5.6,8.2,0.0,2015,qual,13.8,0
165,christos lympanovnos,GRE,5.2,8.866,-0.3,2015,qual,13.76,0
166,aleksandar batinkov,BUL,5.2,8.833,-0.3,2015,qual,13.73,0
166,reiss beckford,JAM,5.6,8.133,0.0,2015,qual,13.73,0
168,eythor baldursson,ISL,4.8,8.866,0.0,2015,qual,13.66,0
168,ahmed aldyani,QAT,5.2,8.466,0.0,2015,qual,13.66,0
